,classes,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,stalk-shape,veil-color,ring-number,population,latitude,longitude
123,0,3,3,3,-2.9,2,0,1,2,1,21.0,57.60332239,-97.18432001
124,0,2,3,9,1.35,2,-1,0,2,1,2.0,57.41656865,-95.89091897
125,0,2,3,8,5.37,2,0,1,2,1,3.0,57.21825759,-98.98355662
126,0,0,3,9,4.38,2,-1,0,2,1,10.0,57.7101021,-96.98528265
127,0,3,0,3,-0.58,2,0,1,2,1,27.0,57.18156377,-98.64836329
128,0,2,3,8,-1.13,2,-1,0,2,1,7.0,57.75416423,-97.89927707
129,0,0,3,0,-1.8,2,-1,0,2,1,5.0,57.84323051,-98.50388337
130,0,0,3,8,5.92,2,-1,0,2,1,0.0,57.05201142,-100.8887308
131,0,0,2,8,6.79,2,-1,0,2,1,8.0,57.63228977,-98.26195596
132,0,3,3,8,-0.6,2,0,1,2,1,-3.0,57.7226091,-96.40595009
133,0,2,2,0,8.28,2,-1,0,2,1,6.0,57.13588486,-96.90622878
134,0,3,3,8,-4.09,2,0,1,2,1,0.0,57.82634264,-99.67935703
135,1,2,2,8,0.89,2,-1,0,2,1,8.0,57.019995,-98.58531413
136,0,3,0,8,2.63,2,0,1,2,1,3.0,57.3436698,-98.07096813
137,0,2,2,9,-5.45,2,-1,0,2,1,1.0,58.05180134,-99.03641846
138,1,2,3,0,11.97,2,-1,0,2,1,-6.0,57.65537584,-97.71146151
139,0,0,3,9,-1.0,2,-1,0,2,1,9.0,57.76647437,-97.49326274
140,0,2,2,0,7.18,2,-1,0,2,1,4.0,58.06828455,-100.962487
141,0,0,2,9,3.89,2,-1,0,2,1,12.0,57.6940775,-97.78695497
142,0,5,0,0,1.79,2,-1,0,2,1,4.0,57.45107733,-97.24210789
143,0,3,2,0,3.55,2,-1,0,2,1,1.0,57.93516396,-97.89965174
144,0,2,2,9,-1.31,2,-1,0,2,1,10.0,57.58523022,-98.26940674
145,0,2,0,3,2.61,2,0,1,2,1,6.0,58.02428943,-97.44776304
146,0,3,0,8,3.37,2,0,1,2,1,17.0,57.4855531,-98.80219268
147,0,2,2,0,2.53,2,-1,0,2,1,12.0,57.54315163,-99.28931963
148,0,0,3,9,11.14,2,-1,0,2,1,12.0,57.81944599,-96.29690567
149,0,0,2,8,0.8,2,-1,0,2,1,8.0,57.3589042,-97.01076959
150,0,2,2,8,1.13,2,-1,0,2,1,6.0,57.92092838,-97.05605245
151,0,2,3,0,0.07,2,0,1,2,1,22.0,57.64255551,-98.22497135
152,0,2,2,8,-0.73,2,-1,0,2,1,6.0,57.01640324,-99.157596
153,0,5,0,0,-0.27,2,-1,0,2,1,9.0,57.22129589,-98.90986344
154,0,2,3,8,-2.44,2,0,1,2,1,3.0,57.46222121,-97.32620297
155,0,2,2,0,5.11,2,-1,0,2,1,3.0,57.18100684,-97.58335913
156,0,0,2,9,-4.71,2,-1,0,2,1,18.0,57.51934906,-98.06281196
157,0,2,2,8,15.44,2,-1,0,2,1,9.0,56.84201965,-97.85183391
158,0,0,2,8,-2.12,2,-1,0,2,1,4.0,57.22677708,-97.38786203
159,0,0,3,9,-2.58,2,-1,0,2,1,-1.0,57.3890791,-97.63203196
160,0,0,3,9,4.62,2,-1,0,2,1,16.0,57.57042682,-99.01729926
161,0,0,2,9,0.5,2,-1,0,2,1,12.0,57.75585607,-97.47746785
162,0,2,0,0,-3.92,2,-1,0,2,1,-1.0,58.08697168,-98.84776254
163,0,3,2,0,4.83,2,-1,0,2,1,2.0,57.82084589,-99.29155349
164,0,2,2,8,-4.56,2,-1,0,2,1,2.0,57.35205718,-97.29759471
165,0,3,2,9,0.48,2,-1,0,2,1,6.0,57.73746788,-97.20435746
166,0,0,3,8,-0.25,2,-1,0,2,1,5.0,57.29608899,-99.12514731
167,0,0,3,8,4.58,2,-1,0,2,1,10.0,57.8462015,-97.64127142
168,0,2,2,0,0.69,2,-1,0,2,1,-10.0,57.62697884,-99.20912193
169,0,0,3,8,-1.57,2,-1,0,2,1,3.0,57.48462274,-98.63851148
170,0,2,0,3,-7.52,2,-1,0,2,1,-1.0,57.40763105,-98.44647268
171,0,0,3,9,1.22,2,-1,0,2,1,7.0,57.46486109,-98.50670847
172,0,2,0,9,4.16,2,0,1,2,1,13.0,57.92389237,-99.25341897
173,0,0,2,0,4.35,2,-1,0,2,1,-2.0,57.49805869,-97.63147946
174,0,3,2,9,8.34,2,-1,0,2,1,15.0,57.63819184,-98.78941144
175,0,0,2,8,4.92,2,-1,0,2,1,10.0,57.80507568,-97.06606965
176,0,0,2,8,0.2,2,-1,0,2,1,7.0,57.55329277,-96.49469654
177,0,0,2,9,0.76,2,-1,0,2,1,5.0,57.59747652,-97.89237238
178,0,2,2,9,7.91,2,-1,0,2,1,11.0,57.25186102,-98.78005799
179,0,0,3,9,-0.77,2,-1,0,2,1,10.0,58.01349176,-99.00997815
180,1,2,2,8,8.14,2,-1,0,2,1,0.0,57.45620687,-96.01923977
181,0,5,0,0,4.51,2,-1,0,2,1,3.0,57.98382976,-98.31476284
182,0,3,0,0,0.69,2,-1,0,2,1,0.0,57.94069779,-95.43513783
183,0,2,3,9,0.37,2,-1,0,2,1,3.0,57.05425334,-97.41512469
184,0,3,2,0,-1.44,2,-1,0,2,1,5.0,57.63210608,-98.23395282
185,1,2,2,8,7.67,2,-1,0,2,1,7.0,57.5443057,-97.57777844
186,0,0,3,8,5.53,2,-1,0,2,1,6.0,57.55781041,-98.27532233
187,0,3,0,3,-9.77,2,-1,0,2,1,4.0,57.33011688,-98.46019812
188,0,0,2,9,-5.26,2,-1,0,2,1,5.0,57.73581116,-98.99154725
189,0,2,2,0,6.47,2,-1,0,2,1,-3.0,57.75154809,-95.69578984
190,0,2,0,8,1.65,2,0,1,2,1,6.0,57.76060425,-97.29546678
191,0,2,3,8,-1.59,2,0,1,2,1,2.0,57.44629393,-98.22550076
192,0,0,3,8,5.99,2,-1,0,2,1,15.0,57.74433505,-97.65127758
193,0,3,3,9,9.07,2,0,1,2,1,1.0,58.02253229,-98.00107163
194,0,2,3,9,0.03,2,-1,0,2,1,17.0,57.85164256,-97.39345111
195,0,3,0,3,-5.24,2,-1,0,2,1,0.0,57.16887944,-100.1999925
196,0,0,3,9,1.61,2,-1,0,2,1,5.0,57.55780025,-98.04243934
197,0,2,3,8,-3.57,2,-1,0,2,1,14.0,57.48053632,-99.03970798
198,0,2,2,8,-6.39,2,-1,0,2,1,8.0,57.45591286,-97.83815214
199,0,3,3,8,0.27,2,0,1,2,1,5.0,57.45203294,-97.497781
200,0,2,2,9,-1.85,2,-1,0,2,1,11.0,57.60948886,-96.93208261
201,0,0,3,8,-8.46,2,-1,0,2,1,7.0,57.727619,-97.08411168
202,0,2,3,8,5.88,2,-1,0,2,1,12.0,57.47512713,-97.52977947
203,0,2,0,8,4.06,2,0,1,2,1,10.0,57.41419864,-98.46417352
204,0,3,2,0,2.16,2,-1,0,2,1,-2.0,57.37714759,-99.53676032
205,1,2,3,8,10.22,2,-1,0,2,1,3.0,57.46526923,-98.73170494
206,0,0,3,8,2.85,2,-1,0,2,1,13.0,57.74817072,-96.88336995
207,0,0,3,8,7.82,2,-1,0,2,1,1.0,57.24500999,-97.65427823
208,0,0,2,8,6.47,2,-1,0,2,1,13.0,58.04640383,-96.37965254
209,0,0,2,8,4.22,2,-1,0,2,1,9.0,57.65063378,-97.80629853
210,0,2,3,9,0.24,2,-1,0,2,1,3.0,57.46184271,-96.62482153
211,0,0,3,8,2.16,2,-1,0,2,1,7.0,57.6672565,-98.88166755
212,0,2,0,9,-2.41,2,0,1,2,1,1.0,57.81166992,-98.64637655
213,0,2,0,3,1.25,2,-1,0,2,1,3.0,57.52811795,-99.41409722
214,0,3,2,9,3.2,2,-1,0,2,1,9.0,57.48030583,-98.12527855
215,0,0,3,8,-0.31,2,-1,0,2,1,10.0,57.23093552,-98.76393244
216,0,2,3,9,-4.24,2,-1,0,2,1,2.0,56.89555783,-96.21670172
217,0,2,2,9,2.49,2,-1,0,2,1,10.0,57.73231263,-97.70514662
218,0,2,2,8,3.98,2,-1,0,2,1,8.0,57.88033732,-96.62169932
219,0,5,0,3,2.71,2,-1,0,2,1,3.0,57.64827544,-97.85849542
220,0,2,3,0,-0.45,2,-1,0,2,1,11.0,57.50507731,-97.31944326
221,1,2,3,8,-0.25,2,-1,0,2,1,15.0,57.35514143,-97.07092742
222,0,2,2,9,-1.26,2,-1,0,2,1,-1.0,57.56693187,-98.84385563
223,0,3,0,8,-5.69,2,0,1,2,1,3.0,57.43350222,-98.0583827
224,0,2,2,8,6.54,2,-1,0,2,1,14.0,57.39555003,-98.3774513
225,0,0,2,8,7.23,2,-1,0,2,1,4.0,57.8096323,-98.92345386
226,0,2,3,8,1.41,2,-1,0,2,1,1.0,58.17298539,-98.97108673
227,0,2,3,9,-2.47,2,-1,0,2,1,1.0,57.18125782,-99.21936633
228,1,2,2,0,1.93,2,-1,0,2,1,7.0,57.41437289,-99.43429768
229,0,0,3,9,-2.85,2,-1,0,2,1,10.0,57.96304837,-96.58160512
230,0,2,0,3,-5.9,2,-1,0,2,1,3.0,57.69018799,-98.09557085
231,1,2,2,0,4.32,2,-1,0,2,1,7.0,57.50702275,-99.20814369
232,0,2,2,0,7.75,2,-1,0,2,1,4.54,57.49887089,-99.70216005
233,0,3,0,0,-2.59,2,-1,0,2,1,0.0,57.58292198,-96.2362852
234,0,0,3,8,10.69,2,-1,0,2,1,15.0,57.34328304,-99.17000085
235,0,2,0,8,-4.56,2,0,1,2,1,-1.0,57.2944455,-96.82003858
236,0,2,2,8,-3.5,2,-1,0,2,1,4.0,57.18600613,-97.29979652
237,0,0,2,9,8.06,2,-1,0,2,1,0.0,57.50890632,-96.67256624
238,0,2,2,0,4.57,2,-1,0,2,1,7.0,57.84891388,-97.1977542
239,0,3,2,9,-2.89,2,-1,0,2,1,5.0,57.60281391,-99.30687526
240,0,3,2,9,-0.7,2,-1,1,2,1,1.0,57.60405519,-98.58365967
241,0,2,3,8,2.75,2,-1,0,2,1,5.0,57.63580942,-98.91717724
242,0,2,3,8,2.12,2,-1,0,2,1,14.0,58.19659192,-97.45844318
243,1,2,3,8,5.58,2,-1,0,2,1,1.0,57.53817605,-98.27270721
244,0,3,0,8,-6.44,2,0,1,2,1,4.0,57.74062312,-97.774526
245,0,2,3,8,9.45,2,-1,0,2,1,-9.0,57.29356333,-97.64092182
246,0,2,3,0,7.38,2,0,1,2,1,6.0,57.62748584,-96.72878825
247,0,2,2,8,-0.07,2,-1,0,2,1,-1.0,57.52454219,-96.64742849
248,0,3,2,9,-2.38,2,-1,0,2,1,-3.0,57.00061564,-98.76057891
249,0,2,3,0,-4.49,2,0,1,2,1,5.0,57.85751341,-97.11409726
250,0,3,2,9,-3.25,2,-1,0,2,1,3.0,57.38308228,-96.91214451
251,1,2,3,0,11.03,2,-1,0,2,1,8.0,10.0,-98.34258095
252,0,5,0,0,4.29,2,-1,0,2,1,1.0,57.3117624,-98.77870153
253,0,0,2,9,0.81,2,-1,0,2,1,2.0,57.42628646,-99.31163266
254,0,0,3,8,0.17,2,-1,0,2,1,5.0,57.22907967,-99.3092009
255,0,0,2,8,1.07,2,-1,0,2,1,9.0,57.86847587,-99.35728226
256,0,3,0,0,5.17,2,-1,0,2,1,7.0,57.78450094,-99.62658171
257,0,2,3,8,7.15,2,-1,0,2,1,12.0,57.34353422,-99.14600978
258,0,0,2,8,0.38,2,-1,0,2,1,11.0,57.63085742,-97.353205
259,0,0,2,8,9.11,2,-1,0,2,1,12.0,57.71190957,-97.26057359
260,0,3,2,0,5.89,2,-1,0,2,1,3.0,57.70245992,-98.18035867
261,1,2,2,8,4.07,2,-1,0,2,1,1.0,57.45925485,-97.88739853
262,0,2,3,8,0.94,2,-1,0,2,1,3.0,57.45829349,-98.39522694
263,0,2,2,8,5.18,2,-1,0,2,1,0.0,57.54788247,-98.21543733
264,0,3,0,8,4.12,2,0,1,2,1,3.0,57.72161618,-98.22830911
265,0,3,0,3,6.99,2,-1,0,2,1,5.0,57.39238112,-98.72541055
266,0,3,3,3,2.96,2,0,1,2,1,25.0,57.62254365,-97.9808173
267,0,2,2,9,2.38,2,-1,0,2,1,7.0,57.88433192,-99.48332656
268,0,0,3,8,-0.95,2,-1,0,2,1,7.0,57.31574529,-97.33119746
269,1,3,2,0,5.31,2,-1,0,2,1,3.0,57.40223965,-98.06457946
270,0,2,3,8,-2.26,2,-1,0,2,1,6.0,57.64420182,-97.93112908
271,1,3,3,0,9.55,2,-1,0,2,1,1.0,58.18657967,-98.84585635
272,0,2,2,8,8.84,2,-1,0,2,1,-1.0,57.38576379,-99.28821245
273,0,2,2,9,-1.64,2,-1,0,2,1,3.0,57.62284111,-97.46471938
274,0,3,2,9,4.36,2,-1,0,2,1,1.0,57.79814354,-98.8343837
275,0,2,2,0,2.88,2,-1,0,2,1,10.0,57.36785897,-97.59521882
276,0,3,2,0,10.44,2,-1,0,2,1,7.0,57.13618449,-97.49526171
277,0,2,2,8,0.15,2,-1,0,2,1,4.0,57.69141798,-98.65092188
278,0,3,0,0,-10.54,2,0,1,2,1,6.0,57.29129727,-97.43687002
279,0,2,3,0,1.7,2,-1,0,2,1,13.0,57.67683924,-98.39899356
280,1,2,2,8,2.24,2,-1,0,2,1,-1.0,10.0,-97.35777464
281,0,0,2,9,4.24,2,-1,0,2,1,14.0,57.68475973,-98.70807133
282,0,5,0,0,2.42,2,-1,0,2,1,3.0,57.66419132,-98.00554621
283,0,2,3,9,2.68,2,-1,0,2,1,8.0,57.70113489,-95.67792947
284,0,0,2,8,6.62,2,-1,0,2,1,8.0,10.0,-98.66417164
285,0,3,2,0,9.35,2,-1,0,2,1,3.0,57.41674925,-98.0109885
286,0,0,2,9,38.67,2,-1,0,2,1,3.0,57.9717978,-99.35771908
287,0,0,2,8,2.71,2,-1,0,2,1,8.0,57.79847451,-98.34487714
288,0,2,2,0,6.27,2,-1,0,2,1,-6.0,57.68200925,-98.87377627
289,0,3,0,3,-7.35,2,-1,0,2,1,-3.0,57.60486148,-96.63145576
290,0,2,0,3,-6.59,2,-1,0,2,1,3.0,57.48971053,-99.47343421
291,0,0,2,9,-3.4,2,-1,0,2,1,8.0,57.89323774,-96.65295633
292,0,2,3,9,0.55,2,-1,0,2,1,9.0,57.0984151,-98.73469327
293,0,0,2,8,2.71,2,-1,0,2,1,8.0,57.74322991,-96.25560045
294,0,2,3,8,-2.33,2,-1,0,2,1,3.0,57.53365236,-100.7529232
295,0,0,3,9,-6.09,2,-1,0,2,1,7.0,57.4921649,-98.08961105
296,0,2,3,9,0.11,2,-1,0,2,1,6.0,57.05207426,-97.09308786
297,0,2,0,3,-4.62,2,0,1,2,1,10.0,57.19406158,-98.42823949
298,0,3,3,9,-3.09,2,0,1,2,1,0.0,57.46434752,-98.4647432
299,1,2,2,8,6.26,2,-1,0,2,1,11.0,57.21035391,-97.88770396
300,0,2,0,8,1.13,2,0,1,2,1,20.0,57.39735754,-96.01909021
301,0,0,2,8,1.47,2,-1,0,2,1,7.0,57.17854756,-98.12069076
302,0,2,3,9,12.1,2,0,1,2,1,8.0,57.95609838,-97.18909134
303,0,0,2,8,0.35,2,-1,0,2,1,6.0,57.34386605,-97.31998026
304,0,2,2,8,10.31,2,-1,0,2,1,3.0,57.5644625,-97.51987566
305,0,2,0,0,-6.39,2,-1,1,2,1,-1.0,57.56403145,-97.73397351
306,0,0,2,8,-2.87,2,-1,0,2,1,6.0,57.67247815,-99.86377606
307,0,2,3,9,1.28,2,-1,0,2,1,6.0,57.54911483,-97.93624124
308,0,3,2,0,2.05,2,-1,0,2,1,2.0,57.92293136,-97.9638186
309,0,2,0,8,1.02,2,0,1,2,1,12.0,57.39196506,-98.9076944
310,0,2,3,9,6.52,2,-1,0,2,1,6.0,57.36539204,-98.32246934
311,1,2,2,8,8.51,2,-1,0,2,1,2.0,57.52623093,-99.85118722
312,0,2,2,9,2.11,2,-1,0,2,1,6.0,57.67437402,-98.81125493
313,0,2,0,8,3.85,2,0,1,2,1,6.0,57.62185374,-98.82132357
314,0,0,3,9,-2.2,2,-1,0,2,1,10.0,57.72539211,-96.83616682
315,1,2,2,8,2.71,2,-1,0,2,1,5.0,57.58982574,-97.42556376
316,0,2,3,9,2.14,2,0,1,2,1,3.0,57.8131912,-98.69338254
317,0,2,2,8,-0.7,2,-1,0,2,1,5.0,57.18162823,-99.42949648
318,0,2,0,8,7.31,2,0,1,2,1,-1.0,57.8682393,-97.75526904
319,0,3,3,8,7.4,2,0,1,2,1,13.0,57.6958957,-97.71662807
320,0,2,2,9,3.3,2,-1,0,2,1,5.0,57.9239535,-99.09692739
321,0,3,0,9,1.27,2,0,1,2,1,2.0,57.29808802,-98.32426752
322,0,2,3,8,-0.11,2,-1,0,2,1,-7.0,56.98950932,-98.84420499
323,0,0,2,9,6.56,2,-1,0,2,1,8.0,57.30856517,-98.71714822
324,0,2,2,0,-7.2,2,-1,0,2,1,10.0,57.63132674,-99.2031107
325,0,0,2,8,5.48,2,-1,0,2,1,15.0,57.60530521,-97.43261336
326,0,2,3,9,3.27,2,-1,0,2,1,-2.0,57.70071453,-98.80789295
327,1,2,2,0,0.41,2,-1,0,2,1,-1.0,57.88012802,-100.0611268
