,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,month,year
17,1,3.0,1.0,1250.0,9774,1.0,0.0,0.0,4,7.0,1250,0,1969.0,0,47.10836399476675,-116.61143170341944,1280,8850.0,4,2015
18,3,4.0,1.75,1620.0,4980,1.0,0.0,0.0,4,7.0,860,760,1947.0,0,47.92589668852501,-117.8020248228628,1400,12799.79,5,2014
19,5,3.0,2.75,3050.0,44867,1.0,0.0,4.0,3,9.0,2330,720,1968.0,0,47.3214970888042,-118.43677827070304,4110,20336.0,8,2014
20,2,5.0,2.5,2270.0,6300,2.0,0.0,0.0,3,8.0,2270,0,1995.0,0,47.28864420015624,-117.4852524271323,2240,7005.0,7,2014
21,2,2.0,1.5,1070.0,9643,1.0,0.0,0.0,3,7.0,1070,0,1985.0,0,47.15021318778345,-119.2057344846136,1220,12799.79,5,2014
22,2,3.0,2.25,2450.0,6500,2.0,0.0,0.0,4,8.0,2450,0,1985.0,0,47.60428970487808,-117.48105330650333,2200,6865.0,11,2014
23,1,3.0,2.0,1710.0,4697,1.5,0.0,0.0,5,6.0,1710,0,1941.0,0,47.11837044204746,-118.50258162171949,1030,4705.0,11,2014
24,5,3.0,1.75,2450.0,2691,2.0,0.0,0.0,3,8.0,1750,700,1915.0,0,48.11117452549459,-118.42929221559731,1760,3573.0,6,2014
25,4,3.0,1.0,1400.0,1581,1.5,0.0,0.0,5,8.0,1400,0,1909.0,0,47.95817974087827,-118.25284343980805,1860,3861.0,12,2014
26,3,3.0,1.75,1520.0,6380,1.0,0.0,0.0,3,7.0,790,730,1948.0,0,47.51352418386995,-118.23388574019675,1520,6235.0,6,2014
27,4,4.0,2.5,2570.0,7173,2.0,0.0,0.0,3,8.0,2570,0,2005.0,0,47.53870913181167,-117.78105669745447,2630,6026.0,3,2015
28,3,3.0,2.5,2079.27,3980,2.0,0.0,0.0,3,8.0,2320,0,2003.0,0,47.68061127391095,-118.5224180934293,2580,3980.0,11,2014
29,2,2.0,1.5,1190.0,1265,3.0,0.0,0.0,3,7.0,1190,0,2005.0,0,47.73891476972227,-118.17648587514591,1390,1756.0,12,2014
30,4,4.0,1.75,2330.0,5000,1.5,0.0,0.0,4,7.0,1510,820,1929.0,0,47.54031948115121,-119.15599549306354,1460,5000.0,6,2014
31,3,3.0,1.0,1090.0,3000,1.5,0.0,0.0,4,8.0,1090,0,1929.0,0,47.87332076456552,-119.95072477552452,1570,12799.79,11,2014
32,2,4.0,2.75,2060.0,6659,1.0,0.0,0.0,3,7.0,1280,780,1981.0,0,47.43161986560112,-118.0505035332628,2020,8720.0,12,2014
33,4,3.0,2.5,2300.0,3060,1.5,0.0,0.0,3,8.0,1510,790,1930.0,2002,47.62620368913154,-118.56221647570196,1590,3264.0,6,2014
34,3,4.0,1.0,1660.0,34848,1.0,0.0,0.0,1,5.0,930,730,1933.0,0,47.66742903643736,-117.06163034165137,2160,11467.0,5,2014
35,1,4.0,1.0,1220.0,8075,1.0,0.0,0.0,2,7.0,890,330,1969.0,0,46.95658068173376,-118.5549484379355,1290,12799.79,2,2015
36,4,4.0,2.5,2620.0,7553,2.0,0.0,0.0,3,8.0,2620,0,1996.0,0,47.686939862522046,-118.55055167225647,2620,11884.0,6,2014
37,4,4.0,2.5,2570.0,5520,2.0,0.0,0.0,3,9.0,2570,0,2000.0,0,47.57113269613793,-118.04530826225448,2470,5669.0,7,2014
38,4,4.0,2.25,4220.0,24186,1.0,0.0,0.0,3,8.0,2600,1620,1984.0,0,47.261417528708456,-117.86416546111847,2410,30617.0,8,2014
39,4,5.0,2.75,3595.0,5639,2.0,0.0,0.0,3,9.0,3595,0,2014.0,0,47.48898606453159,-119.6112912205514,3625,5639.0,7,2014
40,4,3.0,1.0,1570.0,2280,2.0,0.0,0.0,3,7.0,1570,0,1922.0,0,47.59793006747904,-117.79099043814468,1580,2640.0,10,2014
41,2,3.0,1.0,1280.0,9656,1.0,0.0,0.0,4,6.0,920,360,1959.0,0,47.355228377837314,-117.06129445984736,1340,8808.0,7,2014
42,3,3.0,2.5,3160.0,13603,2.0,0.0,0.0,3,8.0,3160,0,2003.0,0,47.40666401579778,-117.40404539795378,3050,9232.0,7,2014
43,1,3.0,2.5,990.0,8528,1.0,0.0,0.0,3,6.0,990,0,1966.0,0,47.50093327551247,-118.40747625650911,1228,8840.0,3,2015
44,3,3.0,1.75,1250.0,5963,1.0,0.0,0.0,4,7.0,1250,0,1953.0,0,47.68330286329161,-119.46995226056843,970,5100.0,4,2015
45,5,3.0,2.5,2753.0,65005,1.0,1.0,2.0,5,9.0,2165,588,1953.0,0,47.44287528190497,-117.8884709741849,2680,72513.0,3,2015
46,1,3.0,1.0,1190.0,9199,1.0,0.0,0.0,3,7.0,1190,0,1955.0,0,47.12789557588313,-118.2964338530412,1190,9364.0,9,2014
47,2,5.0,2.5,3150.0,9134,1.0,0.0,0.0,4,8.0,1640,1510,1966.0,0,47.37279755462939,-118.6507378790226,1990,9133.0,2,2015
48,3,3.0,1.75,1410.0,4080,1.0,0.0,0.0,4,7.0,1000,410,1950.0,0,47.71740050164404,-118.1006500324426,1410,4080.0,12,2014
49,3,2.0,1.75,1980.0,8550,1.0,0.0,0.0,3,7.0,990,990,1981.0,0,47.61295426540912,-116.78789621659706,1480,6738.0,2,2015
50,5,5.0,2.25,2730.0,6000,1.5,0.0,0.0,3,8.0,2130,600,1927.0,0,47.817255122249776,-118.51600382711298,2730,6000.0,3,2015
51,4,4.0,2.5,2830.0,5000,2.0,0.0,0.0,3,9.0,2830,0,1995.0,0,47.80963992911885,-118.51411435752934,1950,5000.0,5,2014
52,2,4.0,2.5,2250.0,4495,2.0,0.0,0.0,3,7.0,2250,0,2008.0,0,47.36317750411553,-117.05104012351688,2250,4500.0,8,2014
53,2,3.0,2.5,2420.0,4750,2.0,0.0,0.0,3,8.0,2420,0,2003.0,0,47.42824322503428,-117.44936804624982,2690,4750.0,4,2015
54,5,5.0,3.25,3250.0,14342,2.0,0.0,4.0,4,8.0,3250,0,1968.0,0,47.60914432132843,-117.97835941384812,2960,11044.0,8,2014
55,3,4.0,3.0,1850.0,9976,2.0,0.0,0.0,3,8.0,1850,0,1991.0,0,47.4675987085004,-119.17231935326838,2270,8542.0,2,2015
56,4,3.0,2.25,2150.0,21235,1.0,0.0,3.0,4,8.0,1590,560,1959.0,0,47.354414005644266,-119.6261418728091,2570,18900.0,12,2014
57,3,3.0,1.75,2519.0,8690,2.0,0.0,0.0,5,8.0,2519,0,1973.0,0,47.21916251448143,-118.69775195328675,2500,9500.0,10,2014
58,3,3.0,2.25,1660.0,6000,1.0,0.0,0.0,3,7.0,1110,550,1979.0,0,47.56812651170636,-117.52407619339232,1440,4080.0,6,2014
59,5,4.0,2.5,2720.0,11049,2.0,0.0,0.0,3,10.0,2720,0,1989.0,0,47.52999428731773,-118.07278772709196,2750,11049.0,9,2014
60,2,4.0,2.5,2240.0,4648,2.0,0.0,0.0,3,7.0,2240,0,2005.0,0,47.25555874223963,-118.165658207244,2221,4557.0,10,2014
61,1,3.0,1.0,1000.0,12070,1.0,0.0,0.0,4,7.0,1000,0,1968.0,0,47.04965250928933,-117.84997132959916,1010,12635.0,8,2014
62,5,5.0,2.5,3200.0,20158,1.0,0.0,0.0,3,8.0,1600,1600,1965.0,0,47.859118455137775,-119.22905009818192,3390,20158.0,6,2014
63,5,5.0,3.25,4770.0,50094,1.0,0.0,0.0,4,11.0,3070,1700,1973.0,0,47.69305094140228,-119.1703453904496,3530,38917.0,9,2014
64,2,3.0,2.0,1260.0,5612,1.0,0.0,0.0,4,7.0,1260,0,1972.0,0,48.02449581046419,-117.70840720888047,1640,4745.0,1,2015
65,2,4.0,2.5,2380.0,5000,2.0,0.0,0.0,3,8.0,2380,0,2005.0,0,47.31979149869364,-117.39540407831086,2420,5000.0,7,2014
66,2,3.0,1.75,1790.0,50529,1.0,0.0,0.0,5,7.0,1090,700,1965.0,0,47.37416560855819,-119.05628284425848,1940,50529.0,3,2015
67,4,4.0,4.0,3430.0,35102,2.0,0.0,0.0,4,10.0,2390,1040,1986.0,0,47.50537119733898,-116.86156967618976,3240,35020.0,11,2014
68,3,4.0,1.75,1760.0,7300,1.0,0.0,0.0,3,7.0,880,880,1956.0,0,47.76995948828461,-117.53591501131052,1680,7500.0,10,2014
69,3,3.0,1.0,1040.0,5060,1.0,0.0,0.0,3,7.0,1040,0,1941.0,0,47.55070485672478,-118.45916142051396,890,5060.0,4,2015
70,3,3.0,1.0,1410.0,5060,1.0,0.0,0.0,4,7.0,910,500,1956.0,0,47.74592694860833,-118.65764922954718,1130,5693.0,6,2014
71,4,4.0,2.5,3450.0,39683,2.0,0.0,0.0,3,10.0,3450,0,2002.0,0,47.38541615627819,-119.77303771089534,3350,39750.0,3,2015
72,3,3.0,2.5,2350.0,5100,2.0,0.0,0.0,3,8.0,2350,0,2003.0,0,47.26260427403593,-117.81620931252064,2350,5363.0,12,2014
73,2,4.0,2.5,1900.0,5889,2.0,0.0,0.0,3,7.0,1900,0,1992.0,0,47.75950742630182,-117.00439697425678,1870,6405.0,12,2014
74,2,2.0,1.0,2020.0,6720,1.0,0.0,0.0,3,7.0,1010,1010,1948.0,0,47.49287711407306,-118.78866732973688,1720,6720.0,10,2014
75,2,3.0,1.5,1680.0,8712,1.0,0.0,0.0,3,8.0,1680,0,1964.0,0,47.69522714792492,-117.8260955523918,1850,8797.0,1,2015
76,2,3.0,1.0,960.0,6634,1.0,0.0,0.0,3,6.0,960,0,1952.0,0,47.42810723823349,-118.44627700988408,1570,7203.0,6,2014
77,3,3.0,3.25,2770.0,6278,2.0,0.0,0.0,3,9.0,1980,790,2006.0,0,47.82862770843415,-119.2670745444459,1900,7349.0,6,2014
78,1,2.0,2.25,1610.0,2040,2.0,0.0,0.0,4,7.0,1610,0,1979.0,0,47.72100320542228,-119.738440473491,1950,12799.79,5,2014
79,2,2.0,1.75,1030.0,1066,2.0,0.0,0.0,3,7.0,765,265,2006.0,0,47.77725804044095,-117.17699313993188,1030,12799.79,9,2014
80,5,5.0,2.75,3520.0,6353,2.0,0.0,0.0,4,10.0,3520,0,2001.0,0,47.78059971970161,-116.71834273524436,2520,6250.0,3,2015
81,1,3.0,1.0,1200.0,10500,1.0,0.0,0.0,3,7.0,1200,0,1962.0,0,47.53940288914938,-118.17502192185113,1350,10500.0,2,2015
82,3,3.0,1.5,1580.0,5000,1.0,0.0,0.0,3,8.0,1290,290,1939.0,0,47.54501537599842,-117.76392257108652,1570,4500.0,7,2014
83,4,3.0,1.5,1580.0,5000,1.0,0.0,0.0,3,8.0,1290,290,1939.0,0,47.5832979578076,-118.70192845885182,1570,4500.0,12,2014
84,5,4.0,2.5,3300.0,10250,1.0,0.0,0.0,3,7.0,2390,910,1946.0,1991,47.81212160340131,-118.8363146227259,1950,6045.0,9,2014
85,1,3.0,1.75,1960.0,15681,1.0,0.0,0.0,3,7.0,1960,0,1967.0,0,47.11761959997184,-117.38449877291808,1750,15616.0,3,2015
86,1,4.0,1.5,1160.0,6400,1.0,0.0,0.0,4,7.0,1160,0,1975.0,0,47.27256387573575,-119.43800410637132,1160,6400.0,9,2014
87,3,3.0,2.5,2320.0,36847,2.0,0.0,2.0,3,9.0,2320,0,1992.0,0,47.62033536372584,-117.1459538677661,2550,35065.0,5,2014
88,3,3.0,2.0,1980.0,3478,1.5,0.0,0.0,4,7.0,1440,540,1929.0,0,47.84171746269339,-118.13600134413475,1610,3478.0,10,2014
89,4,3.0,2.25,2190.0,107593,2.0,0.0,0.0,4,8.0,2190,0,1983.0,0,47.80404437859791,-119.04943329857012,2570,47777.0,12,2014
90,5,3.0,2.5,2920.0,8113,2.0,0.0,0.0,3,8.0,2920,0,1950.0,2010,47.71223520434434,-117.26010605635756,2370,8113.0,10,2014
91,2,3.0,1.0,1210.0,33919,1.0,0.0,0.0,3,7.0,1210,0,1954.0,0,47.73138013215144,-116.98989117166136,1640,14910.0,9,2014
92,3,3.0,2.5,2340.0,10005,1.0,0.0,0.0,4,8.0,1460,880,1978.0,0,47.60729649730404,-117.446071129369,2250,8162.0,4,2015
93,3,3.0,1.0,1670.0,4005,1.5,0.0,0.0,4,7.0,1170,500,1939.0,0,48.002206711910574,-118.32135706967584,1240,4005.0,5,2014
94,1,2.0,1.75,1240.0,2493,1.0,0.0,0.0,4,8.0,1240,0,1985.0,0,47.38735040366404,-116.79291807852996,1270,4966.0,7,2014
95,4,4.0,2.5,3140.0,28037,2.0,0.0,0.0,4,10.0,3140,0,1991.0,0,47.87599226185358,-119.72373995669616,2990,35001.0,3,2015
96,3,5.0,1.75,2030.0,12342,2.0,0.0,0.0,4,7.0,2030,0,1942.0,0,47.6846443913016,-118.95830033327502,2500,9433.0,8,2014
97,3,4.0,2.5,2310.0,9624,2.0,0.0,0.0,3,8.0,2310,0,1984.0,0,47.77063544315735,-117.6807321153133,1940,9636.0,7,2014
98,3,3.0,1.75,1260.0,3328,1.0,0.0,0.0,5,6.0,700,560,1905.0,0,47.73358145267067,-118.96875226685816,1380,3536.0,3,2015
99,2,3.0,1.75,1540.0,12600,1.0,0.0,0.0,4,7.0,1160,380,1980.0,0,47.33898102618988,-120.38568328641102,1540,11656.0,9,2014
100,2,3.0,1.75,2080.0,5969,1.0,0.0,2.0,3,7.0,1080,1000,1971.0,0,47.381980633094905,-117.51398786622636,2090,12799.79,11,2014
101,3,4.0,2.5,3230.0,16171,2.0,0.0,3.0,3,9.0,2520,710,2001.0,0,47.31406812156105,-118.44739739205068,2640,8517.0,10,2014
102,4,3.0,3.5,4380.0,6350,2.0,0.0,0.0,3,8.0,2780,1600,1900.0,1999,47.66237586720584,-120.6668695908188,1830,6350.0,11,2014
103,3,3.0,3.5,1590.0,1102,3.0,0.0,0.0,3,8.0,1590,0,2010.0,0,47.65015238892592,-119.44890483559062,1620,12799.79,6,2014
104,1,2.0,1.0,880.0,6780,1.0,0.0,0.0,4,6.0,880,0,1945.0,0,47.794667680587416,-116.979229490915,1190,6780.0,6,2014
105,1,4.0,2.0,1570.0,9600,1.0,0.0,0.0,3,6.0,1570,0,1950.0,0,47.43751297544647,-118.8538525627363,1880,9000.0,1,2015
106,3,4.0,1.0,1610.0,2982,1.5,0.0,0.0,4,7.0,1610,0,1925.0,0,47.52826502530801,-118.47024891677412,1610,4040.0,5,2015
107,3,3.0,2.0,1450.0,9132,1.0,0.0,0.0,3,7.0,1450,0,1987.0,0,47.48483487449017,-117.89244892660624,1580,9104.0,11,2014
108,3,2.0,1.0,770.0,6000,1.0,0.0,0.0,3,6.0,770,0,1953.0,0,47.57606164536352,-118.503814873298,1710,6000.0,4,2015
109,3,4.0,1.75,2100.0,4400,1.5,0.0,0.0,5,7.0,1720,380,1924.0,0,47.60332239247321,-117.18432001116716,1850,4400.0,11,2014
110,4,3.0,2.25,2910.0,10204,2.0,0.0,0.0,3,9.0,2910,0,1990.0,0,47.41656865087978,-115.89091896620648,2700,13992.0,6,2014
111,5,4.0,2.75,2750.0,17789,1.5,0.0,0.0,3,8.0,1980,770,1914.0,1992,47.21825759126303,-118.98355662123473,3060,11275.0,3,2015
112,3,3.0,2.25,2100.0,8201,1.0,0.0,2.0,3,8.0,1620,480,1967.0,0,47.71010210381076,-116.985282650768,2660,8712.0,7,2014
113,2,4.0,2.25,2160.0,8811,1.0,0.0,0.0,3,8.0,1360,800,1978.0,0,47.18156376890874,-118.64836329045951,2090,8400.0,7,2014
114,4,5.0,3.5,2320.0,4960,2.0,0.0,0.0,5,7.0,1720,600,1926.0,0,47.75416423195546,-117.8992770697098,1700,4960.0,6,2014
115,3,4.0,2.5,2070.0,4310,2.0,0.0,0.0,3,7.0,2070,0,2004.0,0,47.84323051316026,-118.50388336602776,1970,3748.0,4,2015
116,1,3.0,1.75,1060.0,7875,1.0,0.0,0.0,4,7.0,1060,0,1986.0,0,47.05201142300625,-120.88873075417274,1420,7680.0,1,2015
117,4,4.0,2.25,2010.0,9603,1.0,0.0,0.0,3,8.0,1440,570,1986.0,0,47.63228977316299,-118.261955964876,2060,9793.0,4,2015
118,4,3.0,3.5,3950.0,111078,1.5,0.0,0.0,3,9.0,2460,1490,1989.0,0,47.72260909817882,-116.40595009135592,2480,88500.0,6,2014
119,3,3.0,2.5,2010.0,2287,2.0,0.0,0.0,3,8.0,1390,620,2014.0,0,47.13588486168738,-116.90622877815537,1690,1662.0,5,2014
120,4,4.0,3.5,2140.0,2278,3.0,0.0,0.0,3,9.0,2140,0,2005.0,0,47.82634263842395,-119.67935702807164,1540,2285.0,1,2015
121,1,4.0,1.75,2020.0,7840,1.0,0.0,0.0,3,7.0,1010,1010,1968.0,0,47.34366979858799,-118.07096812933176,1750,8140.0,8,2014
122,3,4.0,2.25,2590.0,10002,1.0,0.0,0.0,4,8.0,1340,1250,1968.0,0,48.05180134002081,-119.0364184569038,1550,10436.0,5,2014
123,3,2.0,1.0,1190.0,4440,1.0,0.0,0.0,3,6.0,1190,0,1981.0,0,47.655375835314615,-117.71146151093276,1060,5715.0,7,2014
124,3,3.0,2.25,1170.0,1249,3.0,0.0,0.0,3,8.0,1170,0,2014.0,0,47.76647436557881,-117.49326273786312,1350,12799.79,5,2014
125,4,2.0,1.0,1110.0,3200,1.0,0.0,0.0,3,7.0,1110,0,1925.0,0,48.06828454925511,-120.96248704807654,1170,3600.0,6,2014
126,3,5.0,2.5,2820.0,9375,1.0,0.0,0.0,4,8.0,1550,1270,1968.0,0,47.69407750455061,-117.78695496628896,2820,9375.0,7,2014
127,1,3.0,1.0,1610.0,8579,1.0,0.0,0.0,4,7.0,1010,600,1962.0,0,47.45107732547503,-117.24210788863446,1610,8579.0,5,2015
128,5,4.0,2.5,3670.0,315374,2.0,0.0,0.0,4,9.0,3670,0,1994.0,0,48.02428943240002,-117.44776304293124,2840,87991.0,12,2014
129,4,4.0,1.0,2550.0,4000,2.0,0.0,0.0,3,8.0,2370,180,1905.0,0,47.48555309968093,-118.80219267764102,2200,4000.0,6,2014
130,3,2.0,2.5,2079.27,60984,2.0,0.0,0.0,3,7.0,2420,0,2007.0,0,47.54315163164229,-119.28931963435996,1940,193842.0,8,2014
131,2,5.0,2.0,2260.0,12500,1.0,0.0,0.0,4,8.0,1130,1130,1960.0,0,47.8194459880346,-116.29690566964057,1360,18000.0,10,2014
132,3,3.0,1.0,2079.27,3455,1.0,0.0,0.0,3,7.0,980,450,1947.0,0,47.35890420200907,-117.01076959346258,1450,4599.0,11,2014
133,3,3.0,2.0,1360.0,3090,2.0,0.0,0.0,3,8.0,1360,0,1990.0,0,47.92092838429399,-117.0560524509635,1500,3090.0,8,2014
134,3,3.0,1.0,1110.0,5000,1.5,0.0,0.0,3,7.0,1110,0,1947.0,0,47.64255551243193,-118.22497135387792,1420,5000.0,4,2015
135,2,3.0,1.0,1250.0,8200,1.0,0.0,0.0,4,7.0,1250,0,1954.0,0,47.01640323547054,-119.15759600072226,1680,8633.0,3,2015
136,5,4.0,3.25,5180.0,19850,2.0,0.0,3.0,3,12.0,3540,1640,2006.0,0,47.22129589269736,-118.9098634428238,3160,9750.0,4,2015
137,2,1.0,1.0,700.0,5100,1.0,0.0,0.0,3,7.0,700,0,1942.0,0,47.46222121131025,-117.3262029689336,1010,5100.0,5,2014
138,1,3.0,1.0,1180.0,7669,1.0,0.0,0.0,4,7.0,1180,0,1967.0,0,47.18100684443829,-117.58335912605295,1190,7669.0,7,2014
139,4,5.0,3.5,3960.0,25245,2.0,0.0,0.0,3,9.0,2500,1460,1996.0,0,47.51934905843226,-118.06281196408352,2640,13675.0,11,2014
140,2,4.0,2.75,2640.0,7500,1.0,0.0,0.0,3,8.0,1620,1020,1967.0,0,46.8420196549466,-117.85183391289408,1980,7875.0,8,2014
141,1,3.0,2.0,1270.0,7198,1.5,0.0,0.0,3,7.0,1270,0,1916.0,2013,47.22677707707052,-117.38786203499284,1160,7198.0,11,2014
142,2,4.0,1.75,1760.0,11180,1.0,0.0,0.0,4,7.0,1760,0,1968.0,0,47.38907910147616,-117.63203196031164,1730,11180.0,10,2014
143,2,5.0,2.25,2060.0,8632,1.0,0.0,0.0,3,7.0,1030,1030,1962.0,0,47.57042682490268,-119.01729926005136,1010,12799.79,5,2014
144,3,3.0,1.75,1780.0,9660,1.0,0.0,0.0,3,7.0,1780,0,1962.0,0,47.75585607406397,-117.47746784517764,1200,9660.0,3,2015
145,4,3.0,2.5,3400.0,16603,2.0,0.0,0.0,3,10.0,3400,0,2000.0,0,48.08697168383489,-118.8477625412178,3400,12601.0,3,2015
146,3,3.0,2.75,1910.0,7280,1.0,0.0,0.0,3,7.0,1160,750,1979.0,0,47.82084589386562,-119.29155348646216,1710,8152.0,6,2014
147,3,3.0,2.0,2020.0,38332,1.0,0.0,0.0,4,7.0,1010,1010,1975.0,0,47.35205718323201,-117.2975947111894,2110,12799.79,8,2014
148,2,3.0,1.75,1580.0,7000,1.0,0.0,0.0,3,7.0,1180,400,1976.0,0,47.73746787541855,-117.20435746486224,1640,7500.0,12,2014
149,2,2.0,1.75,1340.0,7250,1.0,0.0,0.0,5,5.0,700,640,1949.0,0,47.29608898681034,-119.12514731148364,1830,9750.0,2,2015
150,4,4.0,2.5,2680.0,4499,2.0,0.0,0.0,3,9.0,2680,0,1999.0,0,47.846201496303536,-117.64127141772003,2920,4500.0,3,2015
151,4,3.0,2.5,2680.0,9750,1.0,0.0,0.0,4,7.0,1610,1070,1979.0,0,47.62697883639018,-119.20912192824902,2480,8750.0,6,2014
152,3,3.0,2.0,1370.0,8336,1.0,0.0,0.0,5,7.0,1370,0,1964.0,0,47.48462273738662,-118.63851148196582,1770,12799.79,6,2014
153,2,3.0,1.75,1560.0,21000,1.0,0.0,0.0,3,7.0,1560,0,1954.0,0,47.4076310469969,-118.4464726848894,1070,7920.0,3,2015
154,2,3.0,1.75,2160.0,7140,1.0,0.0,0.0,4,7.0,1670,490,1978.0,0,47.46486109409087,-118.5067084693959,1930,7350.0,1,2015
155,2,3.0,1.5,1340.0,7912,1.5,0.0,0.0,3,7.0,1340,0,1955.0,0,47.9238923740857,-119.2534189661316,1480,7940.0,5,2014
156,5,4.0,2.5,3880.0,35003,2.0,0.0,0.0,3,10.0,2570,1310,1984.0,0,47.49805869088115,-117.63147945960132,3740,35230.0,1,2015
157,4,4.0,2.25,2590.0,8190,2.0,0.0,0.0,4,8.0,2590,0,1980.0,0,47.6381918415332,-118.7894114367939,2260,8335.0,9,2014
158,3,5.0,2.75,2079.27,5400,1.0,0.0,0.0,3,7.0,1320,650,1986.0,0,47.55329276572827,-116.49469654321818,1280,2150.0,7,2014
159,3,3.0,1.0,1220.0,4800,1.0,0.0,0.0,3,6.0,1220,0,1901.0,0,47.59747651851134,-117.89237237798736,1200,4800.0,5,2014
160,2,3.0,1.5,1950.0,7560,1.0,0.0,2.0,4,7.0,1320,630,1975.0,0,47.25186102458389,-118.78005799433322,1950,8941.0,11,2014
161,2,2.0,1.0,1350.0,8220,1.0,0.0,0.0,3,7.0,1060,290,1949.0,0,48.01349176447488,-119.00997814865218,1540,8280.0,1,2015
162,2,3.0,2.5,1670.0,5797,2.0,0.0,0.0,3,7.0,1670,0,1988.0,0,47.45620687418915,-116.01923976987688,1670,6183.0,7,2014
163,3,4.0,3.0,2380.0,5125,1.5,0.0,0.0,4,7.0,1680,700,1925.0,0,47.98382975714441,-118.31476283920004,1410,5375.0,4,2015
164,3,4.0,3.0,2440.0,9600,2.0,0.0,0.0,5,7.0,2440,0,1961.0,0,47.94069778914229,-115.43513782817844,2290,9600.0,6,2014
165,4,4.0,2.75,3130.0,13412,2.0,0.0,0.0,3,9.0,2140,990,1993.0,0,47.63210608266123,-118.23395281986356,2260,9984.0,9,2014
166,5,5.0,3.0,4090.0,12850,1.0,0.0,2.0,4,10.0,2090,2000,1986.0,0,47.54430570424853,-117.57777844492308,2540,10270.0,11,2014
167,2,4.0,1.75,1490.0,10000,1.0,0.0,0.0,4,8.0,1100,390,1969.0,0,47.55781041392715,-118.27532233301578,2190,8910.0,4,2015
168,3,3.0,2.5,1900.0,8744,2.0,0.0,0.0,3,8.0,1900,0,1987.0,0,47.33011688243456,-118.4601981223183,2030,12799.79,5,2014
169,4,4.0,1.0,1330.0,2400,1.5,0.0,0.0,4,6.0,1330,0,1901.0,0,47.73581116089098,-118.99154725049694,1330,4400.0,4,2015
170,3,3.0,2.25,2230.0,10026,1.0,0.0,0.0,3,8.0,1430,800,1975.0,0,47.75154809234892,-115.6957898409444,2230,9340.0,12,2014
171,2,3.0,1.75,1650.0,9480,1.0,0.0,0.0,3,7.0,1220,430,1977.0,0,47.76060425277573,-117.29546677525192,1540,8400.0,8,2014
