measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
247,2005,2.0,education,425.0,5,-7.0,4.0,1932.0,11.8,19.4,28.9,2391.04,elec
248,2013,7.0,education,545.0,5,19.0,4.0,2002.0,24.0,29.7,34.6,3332.78,elec
249,2011,8.0,commercial,476.0,7,37.0,4.0,2003.0,22.4,29.4,34.4,1615.49,gas
250,2011,11.0,office,435.0,6,117.0,9.0,1990.0,11.5,19.1,24.8,,elec
251,2012,9.0,education,388.0,4,172.0,2.0,1936.0,22.2,27.5,32.4,1423.62,elec
252,2010,9.0,education,508.0,2,19.0,3.0,2006.0,19.7,26.8,30.4,1309.6,gas
253,2011,2.0,commercial,1707.0,4,172.0,6.0,2006.0,12.4,18.5,24.4,16220.09,oil
254,2014,6.0,commercial,378.0,3,117.0,5.0,1922.0,23.7,30.3,36.4,2533.81,elec
255,2007,8.0,commercial,622.0,3,51.0,1.0,1966.0,24.4,28.9,33.1,58.31,gas
256,2013,6.0,factory,595.0,7,37.0,1.0,1999.0,23.8,29.2,34.4,302.27,gas
257,2007,2.0,residential,954.0,8,117.0,27.0,1943.0,12.5,18.8,27.6,28982.92,oil
258,2005,4.0,factory,1005.0,4,172.0,6.0,1953.0,21.5,27.2,33.5,3518.73,oil
259,2007,2.0,factory,788.0,4,117.0,6.0,1998.0,14.6,19.9,28.3,4795.61,elec
260,2014,9.0,residential,394.0,1,37.0,11.0,1940.0,21.1,26.5,33.0,5242.41,elec
261,2006,11.0,commercial,301.0,7,12.0,2.0,1920.0,15.9,20.5,26.8,1383.3,oil
262,2013,6.0,factory,579.0,7,337.0,1.0,1929.0,23.9,29.9,35.7,465.73,oil
263,2011,10.0,education,1013.0,4,117.0,6.0,1977.0,16.8,22.6,26.8,4522.03,gas
264,2014,2.0,residential,880.0,5,12.0,8.0,2000.0,11.1,19.4,26.0,5485.9,gas
265,2008,7.0,commercial,547.0,2,172.0,1.0,1923.0,25.0,30.0,36.0,548.39,gas
266,2005,3.0,factory,788.0,4,117.0,6.0,1998.0,17.4,24.3,30.5,,gas
267,2007,9.0,commercial,1265.0,7,117.0,3.0,1971.0,20.4,26.5,32.7,4166.99,gas
268,2010,11.0,office,549.0,8,19.0,3.0,1972.0,13.6,19.3,23.8,845.5,gas
269,2011,4.0,office,225.0,6,19.0,23.0,1946.0,16.8,26.9,34.8,4562.05,oil
270,2010,2.0,commercial,284.0,1,172.0,2.0,1976.0,10.2,,24.8,517.68,gas
271,2013,3.0,commercial,290.0,2,-7.0,5.0,1981.0,18.1,23.5,29.5,1823.95,oil
272,2007,12.0,education,429.0,5,37.0,5.0,1994.0,6.9,15.2,22.2,2957.63,oil
273,2013,10.0,residential,1172.0,8,12.0,2.0,1997.0,18.4,24.2,31.3,1035.9,gas
274,2008,11.0,,394.0,1,37.0,11.0,1940.0,13.6,19.1,26.3,4150.24,elec
275,2012,11.0,factory,320.0,8,37.0,3.0,1990.0,14.3,20.1,30.2,893.95,oil
