,0,1,2,3,5,6,7,10,17,18,21,22,23
30,e,b,s,y,3.74,f,-1,e,w,o,10,57.68061127,-98.52241809
31,p,x,y,w,5.44,f,-1,e,w,o,9,57.73891477,-98.17648588
32,e,x,y,y,3.46,,-1,e,w,o,6,57.54031948,-99.15599549
33,e,x,y,n,0.78,f,-1,e,w,o,5,57.87332076,-99.95072478
34,e,b,y,y,-0.62,f,-1,e,w,o,5,57.43161987,-98.05050353
35,e,x,f,y,2.35,f,0,t,w,o,-6,57.62620369,-98.56221648
36,e,s,f,g,1.57,f,-1,e,w,o,17,57.66742904,-97.06163034
37,p,x,y,n,3.41,f,-1,e,w,o,10,57.85197599,-97.78389556
38,e,x,f,y,3.54,f,0,t,w,o,9,56.95658068,-98.55494844
39,e,b,s,y,4.47,f,-1,e,w,o,1,57.68693986,-98.55055167
40,e,b,y,y,3.61,f,-1,e,w,o,6,57.5711327,-98.04530826
41,e,x,y,y,-1.13,f,-1,e,w,o,1,57.26141753,-97.86416546
42,e,x,f,n,6.57,f,-1,e,w,o,-6,57.48898606,-99.61129122
43,p,x,y,w,5.97,f,-1,e,w,o,1,57.59793007,-97.79099044
44,e,x,s,y,0.5,f,-1,e,w,o,6,57.35522838,-97.06129446
45,e,x,y,w,10.46,f,-1,e,w,o,7,57.40666402,-97.4040454
46,e,x,y,y,-4.12,f,-1,e,w,o,7,57.50093328,-98.40747626
47,e,x,s,w,-1.8,,-1,e,w,o,15,57.58279611,-95.93771446
48,e,x,y,y,-1.37,f,-1,e,w,o,7,57.68330286,-99.46995226
49,e,f,y,y,-4.49,f,-1,e,w,o,-3,57.44287528,-97.88847097
50,e,x,y,n,3.82,f,,e,w,o,2,57.12789558,-98.29643385
51,e,x,s,w,6.07,f,-1,e,w,o,13,57.37279755,-98.65073788
52,e,b,s,w,8,f,-1,e,w,o,10,57.7174005,-98.10065003
53,p,x,y,n,7.12,f,-1,e,w,o,3,57.61295427,-96.78789622
54,p,x,s,w,3.92,f,-1,e,w,o,1,57.81725512,-98.51600383
55,e,b,y,y,2.26,f,-1,e,w,o,-5,57.80963993,-98.51411436
56,e,f,f,g,1.81,f,0,t,w,o,30,57.3631775,-97.05104012
57,e,b,s,w,10.5,f,-1,e,w,o,13,57.42824323,-97.44936805
58,e,x,s,y,1.52,f,-1,,w,o,12,57.60914432,-97.97835941
59,e,x,y,n,2.58,f,-1,e,w,o,-1,57.46759871,-99.17231935
60,e,s,f,g,1.35,f,-1,e,w,o,4,57.35441401,-99.62614187
61,e,b,y,y,7.69,f,-1,e,w,o,8,57.70936663,-99.45599252
62,e,b,s,y,7.43,f,-1,e,w,o,5,57.21916251,-98.69775195
63,e,b,y,y,5.33,f,-1,e,w,o,12,57.63543229,-99.21984115
64,e,b,y,w,4.29,f,-1,e,w,o,5,57.56812651,-97.52407619
65,e,f,s,n,-3.99,f,0,t,w,o,18,57.42152742,-97.3040628
66,e,x,s,w,2.79,f,-1,e,w,o,6,57.52999429,-98.07278773
67,e,f,y,y,7.03,f,-1,e,w,o,4,57.25555874,-98.16565821
68,e,x,y,y,-9.55,f,-1,e,w,o,2,57.04965251,-97.84997133
69,e,x,f,g,-5.5,f,-1,e,w,o,9,57.85911846,-99.2290501
70,e,f,f,y,11.64,f,0,t,w,o,5,57.69305094,-99.17034539
71,e,b,y,w,1.32,f,-1,e,w,o,0,58.02449581,-97.70840721
72,e,f,f,y,1.34,f,0,,w,o,3,57.64667619,-97.98168958
73,e,x,y,n,-0.71,f,-1,e,w,o,10,57.3197915,-97.39540408
74,e,b,s,y,-5.05,f,-1,e,w,o,4,57.37416561,-99.05628284
75,e,f,s,y,15.66,f,0,t,w,o,3,57.5053712,-96.86156968
76,e,x,s,w,2.54,f,0,t,w,o,1,57.76995949,-97.53591501
77,e,f,y,n,3.04,f,-1,e,w,o,14,57.55070486,-98.45916142
78,p,x,y,n,1.8,f,-1,e,w,o,10,57.74592695,-98.65764923
79,e,f,y,n,-0.74,f,-1,e,w,o,3,57.38541616,-99.77303771
80,e,x,s,n,-2.06,f,0,t,w,o,8,57.26260427,-97.81620931
81,p,x,y,w,2.29,f,-1,e,w,o,15,57.75950743,-97.00439697
82,e,f,f,g,-4.47,f,-1,e,w,o,-1,57.49287711,-98.78866733
83,e,x,f,g,-2.19,,0,t,w,o,5,57.69522715,-97.82609555
84,e,x,y,y,3.79,f,-1,e,w,o,4,57.42810724,-98.44627701
85,e,x,s,n,-3.02,f,0,t,w,o,8,57.61054332,-97.90514093
86,e,b,s,w,0.23,f,-1,e,w,o,5,57.0206159,-98.43112649
87,e,x,s,w,2.08,f,-1,e,w,o,0,57.82862771,-99.26707454
88,e,f,y,n,5.52,f,-1,e,w,o,0,57.72100321,-99.73844047
89,e,s,f,n,-0.47,f,-1,e,w,o,9,57.77725804,-97.17699314
90,e,x,f,n,-10.64,f,-1,e,w,o,-1,57.10233721,-97.17418035
91,e,b,s,w,-1.18,f,-1,e,w,o,-2,57.78059972,-96.71834274
92,e,x,y,y,-4.35,f,-1,e,w,o,4,57.53940289,-98.17502192
93,e,x,y,y,-0.47,f,-1,e,w,o,10,57.54501538,-97.76392257
94,e,x,s,n,0.13,f,0,t,w,o,24,57.58329796,-98.70192846
95,e,x,s,w,3.47,f,-1,e,w,o,7,57.8121216,-98.83631462
96,e,f,y,n,-2.1,f,-1,e,w,o,0,57.1176196,-97.38449877
97,e,x,s,y,3.75,f,-1,e,w,o,8,57.27256388,-99.43800411
98,e,b,s,w,-6.24,f,-1,e,w,o,5,57.27728943,-98.06841855
99,e,x,y,w,-1.36,f,-1,e,w,o,7,57.62033536,-97.14595387
100,e,x,f,n,-5.02,f,0,t,w,o,0,57.72912969,-98.7245
101,e,b,s,y,0.98,f,-1,e,w,o,10,57.84171746,-98.13600134
102,e,f,y,y,5.06,f,-1,e,w,o,9,57.80404438,-99.0494333
103,e,x,y,y,0.45,f,,e,w,o,0,57.7122352,-97.26010606
104,e,b,y,w,5.21,f,-1,e,w,o,14,57.73138013,-96.98989117
105,e,x,y,y,1.58,f,-1,e,w,o,9,57.6072965,-97.44607113
106,e,x,y,y,-3.43,f,-1,e,w,o,-2,58.00220671,-98.32135707
107,e,b,y,w,-2.54,f,-1,e,w,o,4,57.3873504,-96.79291808
108,e,b,y,w,2.75,f,-1,e,w,o,5,57.87599226,-99.72373996
109,e,x,s,y,-4.04,f,-1,e,w,o,9,57.68464439,-98.95830033
110,e,x,s,y,4.03,f,-1,e,w,o,9,57.77063544,-97.68073212
111,e,s,f,g,3.11,f,-1,e,w,o,1,57.73358145,-98.96875227
112,e,x,f,w,1.92,f,0,t,w,o,-1,57.33898103,-100.3856833
113,e,x,s,y,-5.01,f,-1,e,w,o,9,57.38198063,-97.51398787
114,p,x,y,w,2.38,f,-1,e,w,o,-3,57.31406812,-98.44739739
115,e,x,y,y,4.97,f,-1,e,w,o,5,57.66237587,-100.6668696
116,e,s,f,g,0.57,,-1,e,w,o,-1,57.65015239,-99.44890484
117,e,x,y,y,2.94,f,-1,e,w,o,3,57.79466768,-96.97922949
118,e,x,s,y,5.3,,0,t,w,o,12,57.43751298,-98.85385256
119,e,s,f,n,1.72,f,-1,e,w,o,3,57.52826503,-98.47024892
120,p,x,s,w,4.36,f,-1,,w,o,3,57.77395941,-98.04425197
121,e,x,y,w,0.39,f,-1,e,w,o,17,57.48483487,-97.89244893
122,p,f,y,n,15.92,f,-1,e,w,o,1,57.57606165,-98.50381487
123,e,f,s,g,3.22,f,0,t,w,o,16,57.60332239,-97.18432001
124,e,x,s,y,3.31,f,-1,e,w,o,9,57.41656865,-95.89091897
125,e,x,s,w,2.68,f,0,t,w,o,9,57.21825759,-98.98355662
126,e,b,s,y,0.44,f,-1,e,w,o,13,57.7101021,-96.98528265
127,e,f,f,g,1.37,f,0,t,w,o,23,57.18156377,-98.64836329
128,e,x,s,w,5.69,f,-1,e,w,o,5,57.75416423,-97.89927707
129,e,b,s,w,4.12,f,-1,e,w,o,4,57.84323051,-98.50388337
130,e,b,s,w,0.74,f,-1,e,w,o,10,57.05201142,-100.8887308
131,e,b,y,w,-3.77,f,-1,e,w,o,5,57.63228977,-98.26195596
132,e,f,s,w,1.62,f,0,t,w,o,7,57.7226091,-96.40595009
133,e,x,y,y,6.66,f,-1,e,w,o,4,57.13588486,-96.90622878
134,e,f,s,w,-5.94,f,0,t,w,o,4,57.82634264,-99.67935703
135,p,x,y,w,-1.51,f,-1,e,w,o,6,57.019995,-98.58531413
136,e,f,f,w,4.8,f,0,t,w,o,4,57.3436698,-98.07096813
137,e,x,y,y,6.2,f,-1,e,w,o,-2,58.05180134,-99.03641846
138,p,x,s,n,5.89,f,-1,e,w,o,8,57.65537584,-97.71146151
139,e,b,s,y,7.94,f,-1,e,w,o,8,57.76647437,-97.49326274
140,e,x,y,n,-1.46,f,-1,e,w,o,0,58.06828455,-100.962487
141,e,b,y,y,-2.26,f,-1,e,w,o,11,57.6940775,-97.78695497
142,e,s,f,n,2.09,f,-1,e,w,o,-1,57.45107733,-97.24210789
143,e,f,y,n,-0.25,f,-1,e,w,o,7,57.93516396,-97.89965174
144,e,x,y,y,2.21,f,-1,e,w,o,8,57.58523022,-98.26940674
145,e,x,f,g,2.12,f,0,t,w,o,5,58.02428943,-97.44776304
146,e,f,f,w,-2.82,f,0,t,w,o,26,57.4855531,-98.80219268
147,e,x,y,y,4.61,f,-1,e,w,o,12,57.54315163,-99.28931963
148,e,b,s,y,8.47,f,-1,e,w,o,8,57.81944599,-96.29690567
149,e,b,y,w,-2.49,f,-1,e,w,o,10,57.3589042,-97.01076959
150,e,x,y,w,-0.92,f,-1,e,w,o,6,57.92092838,-97.05605245
151,e,x,s,n,-3.92,f,0,t,w,o,24,57.64255551,-98.22497135
152,e,x,y,w,6.56,f,-1,e,w,o,3,57.01640324,-99.157596
153,e,s,f,n,-3.86,f,-1,e,w,o,3,57.22129589,-98.90986344
154,e,x,s,w,-5.97,f,0,t,w,o,0,57.46222121,-97.32620297
155,e,x,y,n,3.48,f,-1,e,w,o,6,57.18100684,-97.58335913
156,e,b,y,y,2.68,f,-1,e,w,o,11,57.51934906,-98.06281196
157,e,x,y,w,-1.68,f,-1,e,w,o,17,56.84201965,-97.85183391
158,e,b,y,w,6.13,f,-1,e,w,o,15,57.22677708,-97.38786203
159,e,b,s,y,2.62,f,-1,e,w,o,2,57.3890791,-97.63203196
160,e,b,s,y,2.55,f,-1,e,w,o,3,57.57042682,-99.01729926
161,e,b,y,y,1.61,f,-1,e,w,o,14,57.75585607,-97.47746785
162,e,x,f,n,2.75,f,-1,e,w,o,-5,58.08697168,-98.84776254
163,e,f,y,n,5.04,f,-1,e,w,o,1,57.82084589,-99.29155349
164,e,x,y,w,-0.07,f,-1,e,w,o,10,57.35205718,-97.29759471
165,e,f,y,y,-0.64,,-1,e,w,o,-2,57.73746788,-97.20435746
166,e,b,s,w,1.38,f,-1,e,w,o,4,57.29608899,-99.12514731
167,e,b,s,w,-2.59,,-1,e,w,o,11,57.8462015,-97.64127142
168,e,x,y,n,1.79,f,-1,e,w,o,5,57.62697884,-99.20912193
169,e,b,s,w,-2.72,f,-1,e,w,o,12,57.48462274,-98.63851148
170,e,x,f,g,-1.39,f,-1,e,w,o,1,57.40763105,-98.44647268
171,e,b,s,y,-2.01,f,-1,e,w,o,10,57.46486109,-98.50670847
172,e,x,f,y,2.32,f,0,t,w,o,0,57.92389237,-99.25341897
173,e,b,y,y,-1.87,f,-1,e,w,o,9,57.49805869,-97.63147946
174,e,f,y,y,7.49,,-1,e,w,o,-3,57.63819184,-98.78941144
175,e,b,y,w,9.25,f,-1,e,w,o,12,57.80507568,-97.06606965
176,e,b,y,w,7.98,f,-1,e,w,o,8,57.55329277,-96.49469654
177,e,b,y,y,2.39,f,-1,e,w,o,5,57.59747652,-97.89237238
178,e,x,y,y,4.7,f,-1,e,w,o,11,57.25186102,-98.78005799
179,e,b,s,y,5.92,f,-1,e,w,o,14,58.01349176,-99.00997815
180,p,x,y,w,0.14,f,,e,w,o,6,57.45620687,-96.01923977
181,e,s,f,n,-3.63,f,-1,e,w,o,1,57.98382976,-98.31476284
182,e,f,f,n,6,f,-1,e,w,o,1,57.94069779,-95.43513783
183,e,x,s,y,1.21,f,-1,e,w,o,7,57.05425334,-97.41512469
184,e,f,y,n,1.05,f,-1,e,w,o,9,57.63210608,-98.23395282
185,p,x,y,w,2.49,f,-1,e,w,o,1,57.5443057,-97.57777844
186,e,b,s,w,4.89,f,-1,e,w,o,6,57.55781041,-98.27532233
187,e,f,f,g,2.54,f,-1,e,w,o,-2,57.33011688,-98.46019812
188,e,b,y,y,8.24,f,-1,e,w,o,8,57.73581116,-98.99154725
189,e,x,y,n,0.44,f,-1,e,w,o,3,57.75154809,-95.69578984
190,e,x,f,w,-4.56,f,0,t,w,o,-3,57.76060425,-97.29546678
191,e,x,s,w,1.16,f,0,t,w,o,3,57.44629393,-98.22550076
192,e,b,s,w,9.99,f,-1,e,w,o,3,57.74433505,-97.65127758
193,e,f,s,y,4.56,f,0,t,w,o,-1,58.02253229,-98.00107163
194,e,x,s,y,-0.24,f,-1,e,w,o,10,57.85164256,-97.39345111
195,e,f,f,g,0.73,f,-1,e,w,o,2,57.16887944,-100.1999925
196,e,b,s,y,0.51,f,-1,e,w,o,1,57.55780025,-98.04243934
197,e,x,s,w,0.56,f,-1,e,w,o,10,57.48053632,-99.03970798
198,e,x,y,w,6.98,f,,e,w,o,11,57.45591286,-97.83815214
199,e,f,s,w,-4.01,f,0,t,w,o,-3,57.45203294,-97.497781
200,e,x,y,y,0.92,f,-1,e,w,o,2,57.60948886,-96.93208261
201,e,b,s,w,-0.96,f,-1,e,w,o,12,57.727619,-97.08411168
202,e,x,s,w,-3.41,f,-1,e,w,o,8,57.47512713,-97.52977947
203,e,x,f,w,0.76,f,0,t,w,o,6,57.41419864,-98.46417352
204,e,f,y,n,-4.93,f,-1,e,w,o,-7,57.37714759,-99.53676032
205,p,x,s,w,4.08,f,-1,e,w,o,10,57.46526923,-98.73170494
206,e,b,s,w,3.53,f,-1,e,w,o,5,57.74817072,-96.88336995
207,e,b,s,w,-0.41,f,-1,e,w,o,9,57.24500999,-97.65427823
208,e,b,y,w,4.91,f,-1,e,w,o,8,58.04640383,-96.37965254
209,e,b,y,w,0.65,f,-1,e,w,o,15,57.65063378,-97.80629853
210,e,x,s,y,-6.08,f,-1,e,w,o,3,57.46184271,-96.62482153
211,e,b,s,w,9.61,f,-1,e,w,o,3,57.6672565,-98.88166755
212,e,x,f,y,-0.28,f,0,t,w,o,9,57.81166992,-98.64637655
213,e,x,f,g,6.75,f,-1,e,w,o,-2,57.52811795,-99.41409722
214,e,f,y,y,-7.27,f,-1,e,w,o,10,57.48030583,-98.12527855
215,e,b,s,w,9.14,f,-1,e,w,o,7,57.23093552,-98.76393244
216,e,x,s,y,4.26,f,-1,e,w,o,2,56.89555783,-96.21670172
217,e,x,y,y,1.07,f,-1,e,w,o,5,57.73231263,-97.70514662
218,e,x,y,w,0.58,f,-1,e,w,o,2,57.88033732,-96.62169932
219,e,s,f,g,0.01,f,-1,e,w,o,4,57.64827544,-97.85849542
220,e,x,s,w,-0.48,f,-1,,w,o,8,57.50507731,-97.31944326
221,p,x,s,w,3.1,f,-1,e,w,o,1,57.35514143,-97.07092742
222,e,x,y,y,2.11,f,-1,e,w,o,6,57.56693187,-98.84385563
223,e,f,f,w,9.61,f,0,t,w,o,-2,57.43350222,-98.0583827
224,e,x,y,w,2.17,f,-1,e,w,o,9,57.39555003,-98.3774513
225,e,b,y,w,16.21,f,-1,e,w,o,7,57.8096323,-98.92345386
226,e,x,s,w,0.64,f,-1,e,w,o,9,58.17298539,-98.97108673
227,e,x,s,y,-1.29,f,-1,e,w,o,8,57.18125782,-99.21936633
228,p,x,y,n,10.69,f,-1,e,w,o,2,57.41437289,-99.43429768
229,e,b,s,y,-0.54,f,-1,e,w,o,11,57.96304837,-96.58160512
230,e,x,f,g,-3.1,,-1,e,w,o,2,57.69018799,-98.09557085
231,p,x,y,w,3.09,f,-1,e,w,o,13,57.50702275,-99.20814369
232,e,x,y,y,7.91,f,-1,e,w,o,3,57.49887089,-99.70216005
233,e,f,f,n,2.33,f,-1,e,w,o,-1,57.58292198,-96.2362852
234,e,b,s,w,3.81,f,-1,e,w,o,5,57.34328304,-99.17000085
235,e,x,f,w,-2.46,f,0,t,w,o,-6,57.2944455,-96.82003858
236,e,x,y,w,3.51,f,-1,e,w,o,2,57.18600613,-97.29979652
237,e,b,y,y,-8.11,f,-1,e,w,o,7,57.50890632,-96.67256624
238,e,x,y,y,1.15,f,,e,w,o,-3,57.84891388,-97.1977542
239,e,f,y,y,1.75,f,-1,e,w,o,4,57.60281391,-99.30687526
240,e,f,y,y,-1.69,f,-1,e,w,o,5,57.60405519,-98.58365967
241,e,x,s,w,6.1,f,-1,e,w,o,5,57.63580942,-98.91717724
242,e,x,s,w,7.89,f,-1,e,w,o,10,58.19659192,-97.45844318
243,p,x,s,w,5.01,,-1,e,w,o,-2,57.53817605,-98.27270721
244,e,f,f,w,-4,f,0,t,w,o,5,57.74062312,-97.774526
245,e,x,s,w,11.79,f,-1,e,w,o,8,57.29356333,-97.64092182
246,e,x,s,w,6.92,f,0,t,w,o,0,57.62748584,-96.72878825
247,e,x,y,w,5.24,f,-1,e,w,o,13,57.52454219,-96.64742849
248,e,f,y,y,0.62,f,-1,e,w,o,12,57.00061564,-98.76057891
249,e,x,s,n,4.28,,0,t,w,o,6,57.85751341,-97.11409726
250,e,f,y,y,-1.84,f,-1,e,w,o,1,57.38308228,-96.91214451
251,p,x,s,n,1.51,f,-1,e,w,o,7,10,-98.34258095
252,e,s,f,n,1.49,,-1,e,w,o,1,57.3117624,-98.77870153
253,e,b,y,y,-2.75,f,-1,e,w,o,12,57.42628646,-99.31163266
254,e,b,s,w,9.15,f,-1,e,w,o,6,57.22907967,-99.3092009
255,e,b,y,w,1.88,f,-1,e,w,o,10,57.86847587,-99.35728226
256,e,f,f,n,2.95,f,-1,e,w,o,9,57.78450094,-99.62658171
257,e,x,s,w,-7.98,f,,e,w,o,4,57.34353422,-99.14600978
258,e,b,y,w,6.15,f,-1,e,w,o,4,57.63085742,-97.353205
259,e,b,y,w,-4.45,f,-1,e,w,o,9,57.71190957,-97.26057359
260,e,f,y,n,6.53,f,-1,e,w,o,9,57.70245992,-98.18035867
261,p,x,y,w,4.66,f,-1,e,w,o,1,57.45925485,-97.88739853
262,e,x,s,w,8.44,f,-1,e,w,o,3,57.45829349,-98.39522694
263,e,x,y,w,7.26,f,-1,e,w,o,3,57.54788247,-98.21543733
264,e,f,f,w,1.62,f,0,t,w,o,-4,57.72161618,-98.22830911
265,e,f,f,g,-2.88,f,-1,e,w,o,2,57.39238112,-98.72541055
266,e,f,s,g,-1.03,f,0,t,w,o,22,57.62254365,-97.9808173
267,e,x,y,y,2.18,f,-1,e,w,o,9,57.88433192,-99.48332656
268,e,b,s,w,0.25,f,-1,e,w,o,3,57.31574529,-97.33119746
269,p,f,y,n,2.12,f,-1,e,w,o,1,57.40223965,-98.06457946
270,e,x,s,w,6.94,f,-1,e,w,o,11,57.64420182,-97.93112908
271,p,f,s,n,1.63,f,-1,e,w,o,-3,58.18657967,-98.84585635
272,e,x,y,w,-5.21,f,-1,e,w,o,1,57.38576379,-99.28821245
273,e,x,y,y,2.8,,-1,e,w,o,6,57.62284111,-97.46471938
274,e,f,y,y,1.38,f,-1,e,w,o,1,57.79814354,-98.8343837
275,e,x,y,n,3.46,f,-1,e,w,o,10,57.36785897,-97.59521882
276,e,f,y,n,-2.96,f,-1,e,w,o,-1,57.13618449,-97.49526171
277,e,x,y,w,-9.54,f,-1,e,w,o,12,57.69141798,-98.65092188
278,e,f,f,n,-3,f,0,t,w,o,8,57.29129727,-97.43687002
279,e,x,s,y,0.94,f,-1,e,w,o,5,57.67683924,-98.39899356
280,p,x,y,w,10.44,f,-1,e,w,o,10,10,-97.35777464
281,e,b,y,y,-5.62,f,-1,e,w,o,5,57.68475973,-98.70807133
282,e,s,f,n,-0.68,f,-1,e,w,o,-1,57.66419132,-98.00554621
283,e,x,s,y,2.74,f,-1,e,w,o,14,57.70113489,-95.67792947
284,e,b,y,w,9.99,f,-1,e,w,o,10,10,-98.66417164
285,e,f,y,n,0.06,f,-1,e,w,o,5,57.41674925,-98.0109885
286,e,b,y,y,-1.64,f,-1,e,w,o,10,57.9717978,-99.35771908
287,e,b,y,w,-5.36,f,-1,e,w,o,10,57.79847451,-98.34487714
288,e,x,y,n,4.53,f,-1,e,w,o,-4,57.68200925,-98.87377627
289,e,f,f,g,-3.72,f,-1,e,w,o,-5,57.60486148,-96.63145576
290,e,x,f,g,-0.36,f,-1,e,w,o,3,57.48971053,-99.47343421
291,e,b,y,y,6.9,f,-1,e,w,o,9,57.89323774,-96.65295633
292,e,x,s,y,3.57,f,-1,e,w,o,16,57.0984151,-98.73469327
293,e,b,y,w,3.3,f,-1,e,w,o,10,57.74322991,-96.25560045
294,e,x,s,w,3.86,f,,e,w,o,4,57.53365236,-100.7529232
295,e,b,s,y,1.33,f,-1,e,w,o,12,57.4921649,-98.08961105
296,e,x,s,y,-2.49,f,-1,e,w,o,3,57.05207426,-97.09308786
297,e,x,f,g,-0.05,f,0,t,w,o,9,57.19406158,-98.42823949
298,e,f,s,y,-5.4,f,0,t,w,o,-7,57.46434752,-98.4647432
299,p,x,y,w,2.51,f,-1,e,w,o,3,57.21035391,-97.88770396
300,e,x,f,w,1.19,f,0,t,w,o,25,57.39735754,-96.01909021
301,e,b,y,w,1.74,f,-1,e,w,o,9,57.17854756,-98.12069076
302,e,x,s,y,3.92,,0,t,w,o,3,57.95609838,-97.18909134
303,e,b,y,w,-6.84,f,-1,e,w,o,-4,57.34386605,-97.31998026
304,e,x,y,w,0,f,-1,e,w,o,4,57.5644625,-97.51987566
305,e,x,f,n,-2.25,f,-1,t,w,o,-4,57.56403145,-97.73397351
306,e,b,y,w,1.88,f,,e,w,o,0,57.67247815,-99.86377606
307,e,x,s,y,0.05,f,-1,e,w,o,17,57.54911483,-97.93624124
308,e,f,y,n,1.49,f,-1,e,w,o,-2,57.92293136,-97.9638186
309,e,x,f,w,-7.24,f,0,t,w,o,-2,57.39196506,-98.9076944
310,e,x,s,y,6.88,f,-1,e,w,o,5,57.36539204,-98.32246934
311,p,x,y,w,7.96,f,,e,w,o,-1,57.52623093,-99.85118722
312,e,x,y,y,9.35,f,-1,e,w,o,11,57.67437402,-98.81125493
313,e,x,f,w,-5.45,f,0,t,w,o,2,57.62185374,-98.82132357
314,e,b,s,y,5.22,f,-1,e,w,o,12,57.72539211,-96.83616682
315,p,x,y,w,0.65,f,-1,e,w,o,3,57.58982574,-97.42556376
316,e,x,s,y,-4.62,f,0,t,w,o,7,57.8131912,-98.69338254
317,e,x,y,w,-0.04,f,,e,w,o,4,57.18162823,-99.42949648
318,e,x,f,w,0.92,f,0,t,w,o,4,57.8682393,-97.75526904
319,e,f,s,w,1.45,f,0,t,w,o,3,57.6958957,-97.71662807
320,e,x,y,y,-0.22,f,-1,e,w,o,-6,57.9239535,-99.09692739
321,e,f,f,y,-3.83,f,0,t,w,o,1,57.29808802,-98.32426752
322,e,x,s,w,-0.48,f,-1,e,w,o,6,56.98950932,-98.84420499
323,e,b,y,y,-0.78,f,-1,e,w,o,2,57.30856517,-98.71714822
324,e,x,y,n,2.98,f,-1,e,w,o,1,57.63132674,-99.2031107
325,e,b,y,w,-7.48,f,-1,e,w,o,14,57.60530521,-97.43261336
326,e,x,s,y,0.75,f,-1,e,w,o,4,57.70071453,-98.80789295
327,p,x,y,n,-1.8,f,-1,e,w,o,1,57.88012802,-100.0611268
328,e,b,s,y,6.67,f,-1,e,w,o,9,57.54293495,-98.66333516
329,e,b,y,w,-0.55,f,-1,e,w,o,7,57.7334682,-98.13450817
330,p,x,y,n,3.55,f,-1,e,w,o,6,57.58285405,-97.82497323
331,e,b,s,w,3.77,f,-1,e,w,o,2,57.22408973,-98.51395777
332,e,b,y,y,7.12,f,-1,e,w,o,3,57.42104733,-97.98625857
333,e,b,y,y,5.84,f,-1,e,w,o,4,58.0909341,-98.42536488
334,e,x,y,w,4.74,f,-1,e,w,o,10,57.47006639,-98.53546624
335,e,x,f,n,3.07,f,-1,t,w,o,-1,57.34176553,-96.28330613
336,e,x,y,n,7.3,f,-1,e,w,o,3,57.74359138,-98.88885279
337,e,b,s,y,5.42,f,-1,e,w,o,3,57.45234341,-96.87132147
338,e,x,f,g,-3.32,f,-1,e,w,o,1,58.33149503,-98.44465545
339,e,x,y,n,-0.29,f,-1,e,w,o,3,57.48393813,-99.03030167
340,e,x,s,w,8.88,f,-1,e,w,o,7,57.43836035,-98.85014034
341,e,b,y,w,10.23,f,,e,w,o,15,57.29552498,-98.2046796
342,e,x,s,y,3.87,f,-1,e,w,o,-2,57.99101101,-98.32347148
343,e,f,f,y,-4.55,f,0,t,w,o,6,57.19517772,-97.84420335
344,e,b,y,y,2,f,-1,e,w,o,-3,57.29643492,-98.24955887
345,e,x,f,n,3.08,f,0,t,w,o,21,57.70860385,-98.52330645
346,e,x,f,y,1.92,f,0,t,w,o,1,57.35302212,-96.66992788
347,e,x,s,y,-0.79,f,-1,e,w,o,10,57.34067095,-97.86345506
