,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind,kind_num,density_num
134,7.809,0.27,1.1,8.1,0.034,151.0,203.0,high,3.19,0.52,8.9,5,nan,,3.0
135,6.7,0.27,1.55,15.7,0.036,144.0,179.0,very high,3.26,0.56,9.6,5,white,0.0,4.0
136,7.839,0.23,2.4,1.2,0.027,158.0,121.0,low,3.12,0.38,10.7,6,white,0.0,1.0
137,7.1,0.345,3.35,10.5,0.045,145.0,155.0,very high,3.16,0.44,8.7,5,nan,,4.0
138,6.8,0.19,2.52,1.9,0.035,168.0,96.0,low,3.15,0.54,10.8,7,white,0.0,1.0
139,7.291,0.28,2.34,1.9,0.029,142.0,79.0,low,3.23,0.52,11.8,6,white,0.0,1.0
140,7.29,0.352,1.7,2.2,0.045,120.0,77.0,medium,3.3,0.43,10.2,5,white,0.0,2.0
141,7.727,0.37,3.35,10.5,0.045,151.0,155.0,very high,3.16,0.44,8.7,5,white,0.0,4.0
142,7.325,0.21,2.4,1.2,0.039,156.0,107.0,low,3.21,0.54,10.8,6,white,0.0,1.0
143,8.5,0.21,2.46,4.3,0.036,144.0,99.0,medium,3.18,0.53,9.7,6,white,0.0,2.0
144,7.257,0.2,2.4,2.0,0.037,141.0,87.0,low,3.12,0.54,11.2,6,white,0.0,1.0
145,6.3,0.255,2.22,1.1,0.04,153.0,114.0,low,3.0,0.39,10.9,6,white,0.0,1.0
146,5.6,0.16,1.62,1.4,0.044,155.354,168.0,low,3.28,0.37,10.1,6,white,0.0,1.0
147,6.4,0.35,0.56,5.2,0.058,93.0,97.0,high,3.38,0.36,9.0,4,white,0.0,3.0
148,6.3,0.34,2.31,4.6,0.034,157.0,80.0,low,3.38,0.58,12.0,7,white,0.0,1.0
149,6.9,0.394,1.8,4.1,0.054,149.0,116.0,medium,2.99,0.38,9.4,6,white,0.0,2.0
150,7.9,0.22,2.66,8.0,0.043,190.0,152.0,medium,3.12,0.32,11.5,7,white,0.0,2.0
151,7.6,0.18,2.76,10.2,0.055,180.0,135.0,high,3.14,0.573,9.9,6,white,0.0,3.0
152,6.9,0.25,1.8,4.1,0.054,139.0,116.0,medium,2.99,0.38,9.4,6,white,0.0,2.0
153,7.2,0.18,2.05,1.2,0.048,139.0,97.0,low,3.14,0.45,10.4,5,white,0.0,1.0
154,8.2,0.23,2.4,7.5,0.049,134.0,76.0,high,3.06,0.84,9.7,6,white,0.0,3.0
155,7.4,0.24,2.52,14.0,0.066,170.0,198.0,very high,2.89,0.564,8.9,6,white,0.0,4.0
156,7.4,0.24,2.52,14.0,0.066,168.0,198.0,very high,2.89,0.42,8.9,6,white,0.0,4.0
157,6.1,0.32,1.68,1.5,0.036,156.265,124.0,low,3.29,0.42,12.4,7,white,0.0,1.0
158,5.2,0.44,0.32,1.4,0.036,203.0,119.0,low,3.36,0.33,12.1,8,white,0.0,1.0
159,5.2,0.44,0.32,1.4,0.036,199.0,119.0,low,3.36,0.33,12.1,8,white,0.0,1.0
160,6.1,0.32,1.68,1.5,0.036,178.0,124.0,low,3.29,0.42,12.4,7,white,0.0,1.0
161,6.4,0.22,2.8,14.5,0.055,123.0,159.0,very high,2.98,0.4,9.1,5,white,0.0,4.0
162,6.3,0.36,1.5,4.8,0.049,118.0,85.0,medium,3.28,0.39,10.6,5,white,0.0,2.0
163,7.73,0.24,2.52,14.0,0.066,172.0,198.0,very high,2.89,0.42,8.9,6,white,0.0,4.0
164,6.7,0.24,1.75,13.1,0.05,162.0,205.0,very high,3.15,0.5,9.5,5,white,0.0,4.0
165,7.0,0.23,1.8,13.0,0.051,170.0,177.0,very high,3.16,0.49,9.8,5,white,0.0,4.0
166,8.4,0.27,2.211,8.7,0.048,159.0,197.0,very high,3.14,0.59,9.6,6,white,0.0,4.0
167,6.7,0.46,1.26,2.4,0.034,165.0,98.0,low,3.08,0.44,12.6,7,white,0.0,1.0
168,7.5,0.29,1.55,8.95,0.055,118.0,151.0,high,3.08,0.54,9.3,5,white,0.0,3.0
169,9.8,0.42,2.4,9.85,0.034,103.0,110.0,high,2.87,0.29,10.0,5,white,0.0,3.0
170,7.1,0.3,2.76,1.5,0.066,149.0,133.0,low,3.12,0.54,12.7,6,white,0.0,1.0
171,7.9,0.19,2.7,1.5,0.045,139.0,96.0,low,3.13,0.39,11.0,6,white,0.0,1.0
172,7.6,0.48,1.48,0.8,0.037,86.0,100.0,low,3.03,0.39,11.4,4,white,0.0,1.0
173,6.3,0.22,3.01,4.55,0.038,167.0,130.0,low,3.35,0.33,11.5,7,white,0.0,1.0
174,7.5,0.27,1.55,17.7,0.051,133.0,173.0,very high,3.09,0.541,10.2,5,white,0.0,4.0
175,7.581,0.23,2.4,7.5,0.04,174.0,151.0,medium,3.11,0.27,11.4,6,white,0.0,2.0
176,7.2,0.32,1.88,5.1,0.044,97.0,65.0,low,3.03,0.41,12.6,4,white,0.0,1.0
177,5.9,0.23,1.5,12.9,0.054,157.0,170.0,very high,3.28,0.39,9.4,5,white,0.0,4.0
178,6.0,0.67,0.28,1.2,0.06,87.0,108.0,medium,3.11,0.35,8.7,4,white,0.0,2.0
179,6.4,0.25,1.92,5.5,0.049,157.0,176.0,high,3.19,0.68,9.2,6,white,0.0,3.0
180,7.44,0.33,1.86,5.5,0.048,166.0,173.0,high,3.19,0.66,9.3,6,white,0.0,3.0
181,7.1,0.34,0.75,1.2,0.053,163.0,183.0,medium,3.09,0.562,9.2,5,white,0.0,2.0
182,6.8,0.28,2.0,6.944,0.048,150.0,167.0,very high,2.93,0.5,8.7,5,white,0.0,4.0
183,6.9,0.27,2.4,14.0,0.05,186.0,227.0,very high,3.18,0.58,9.6,6,white,0.0,4.0
184,6.8,0.26,2.8,11.9,0.043,164.0,226.0,very high,3.02,0.63,9.3,5,white,0.0,4.0
185,6.8,0.29,2.8,11.9,0.043,162.0,230.0,very high,3.02,0.63,9.3,5,white,0.0,4.0
186,6.7,0.24,2.29,9.4,0.04,165.0,166.0,high,3.12,0.61,9.9,6,white,0.0,3.0
187,5.9,0.3,1.15,4.2,0.038,140.0,119.0,medium,3.15,0.553,11.0,5,white,0.0,2.0
188,6.8,0.53,2.8,3.8,0.034,188.0,109.0,low,3.26,0.57,12.7,8,white,0.0,1.0
189,6.5,0.28,1.12,8.5,0.047,134.0,210.0,high,3.09,0.54,8.9,4,white,0.0,3.0
190,6.6,0.28,1.68,8.5,0.052,171.0,211.0,high,3.09,0.55,8.9,6,white,0.0,3.0
191,6.8,0.28,2.0,6.776,0.048,148.0,167.0,very high,2.93,0.5,8.7,5,white,0.0,4.0
192,6.8,0.28,2.16,8.0,0.045,144.0,123.0,medium,3.02,0.37,11.4,6,white,0.0,2.0
193,6.6,0.15,1.7,5.1,0.055,130.0,125.0,medium,3.36,0.42,9.6,5,white,0.0,2.0
194,7.31,0.29,2.2,3.6,0.063,177.0,181.0,medium,3.02,0.41,9.1,5,white,0.0,2.0
195,6.4,0.3,2.7,3.5,0.064,198.0,180.0,medium,3.02,0.39,9.1,6,nan,,2.0
196,6.4,0.29,2.2,3.6,0.072,171.0,183.0,medium,3.01,0.38,9.1,5,white,0.0,2.0
197,6.8,0.26,1.2,7.8,0.052,152.0,214.0,high,3.13,0.47,8.9,5,white,0.0,3.0
198,7.1,0.32,1.2,13.1,0.05,158.0,204.0,very high,3.1,0.49,8.8,5,white,0.0,4.0
199,6.8,0.26,2.171,7.8,0.052,154.0,214.0,high,3.13,0.47,8.9,5,white,0.0,3.0
200,6.8,0.27,1.3,16.1,0.049,157.0,196.0,very high,3.15,0.5,9.3,5,white,0.0,4.0
201,7.1,0.32,1.2,13.1,0.05,152.0,204.0,very high,3.1,0.49,8.8,5,white,0.0,4.0
202,6.9,0.54,1.6,13.2,0.05,155.0,236.0,very high,3.2,0.5,9.6,5,white,0.0,4.0
203,6.8,0.26,2.04,13.9,0.034,155.0,134.0,high,3.33,0.53,12.0,6,white,0.0,3.0
204,5.8,0.28,1.4,2.3,0.053,148.753,114.0,medium,3.28,0.6,10.2,4,white,0.0,2.0
205,6.4,0.21,2.5,11.6,0.042,139.0,153.0,very high,3.15,0.43,8.8,5,white,0.0,4.0
206,7.0,0.16,1.6,8.3,0.045,140.0,126.0,high,3.21,0.546,9.2,5,white,0.0,3.0
207,10.2,0.341,3.52,6.2,0.049,102.0,124.0,high,2.99,0.574,9.9,4,white,0.0,3.0
208,6.8,0.57,1.45,2.2,0.04,115.0,77.0,medium,3.32,0.74,10.2,5,white,0.0,2.0
209,6.1,0.4,1.86,0.9,0.048,145.0,170.0,medium,3.22,0.77,9.5,6,white,0.0,2.0
210,5.6,0.245,1.25,9.7,0.032,110.0,68.0,medium,3.31,0.34,10.5,5,white,0.0,2.0
211,6.8,0.18,2.66,1.4,0.038,169.0,111.0,low,3.32,0.59,11.2,7,white,0.0,1.0
212,7.0,0.16,1.6,8.3,0.045,134.0,126.0,high,3.21,0.34,9.2,5,white,0.0,3.0
213,6.7,0.13,1.74,5.3,0.051,151.0,122.0,medium,3.44,0.37,9.7,6,white,0.0,2.0
214,6.2,0.25,1.75,1.4,0.03,175.0,105.0,low,3.3,0.44,11.1,7,white,0.0,1.0
215,5.8,0.404,1.2,9.2,0.044,159.0,152.0,high,3.31,0.38,9.4,5,white,0.0,3.0
216,7.5,0.27,1.8,7.0,0.036,147.0,164.0,medium,3.03,0.33,11.0,5,white,0.0,2.0
217,5.8,0.26,1.2,9.2,0.044,151.0,152.0,high,3.31,0.38,9.4,5,white,0.0,3.0
218,5.7,0.28,1.2,17.5,0.044,162.0,167.0,very high,3.31,0.538,9.4,5,white,0.0,4.0
219,7.5,0.374,1.8,7.0,0.036,153.956,161.0,medium,3.04,0.32,11.0,5,white,0.0,2.0
220,7.457,0.27,1.8,7.0,0.036,145.0,164.0,medium,3.03,0.33,11.0,5,white,0.0,2.0
221,7.2,0.685,1.26,9.5,0.07,147.0,172.0,very high,3.0,0.55,9.1,6,white,0.0,4.0
222,6.2,0.25,1.75,1.4,0.03,177.0,105.0,low,3.3,0.44,11.1,7,white,0.0,1.0
223,6.5,0.19,1.8,0.8,0.043,155.0,144.0,medium,3.42,0.39,9.1,6,white,0.0,2.0
224,6.3,0.495,1.32,1.8,0.046,153.0,140.0,medium,3.39,0.54,10.4,6,white,0.0,2.0
225,7.1,0.24,2.05,17.8,0.046,139.0,145.0,very high,3.32,0.39,8.7,5,white,0.0,4.0
226,6.4,0.17,1.92,2.4,0.048,163.0,200.0,medium,3.5,0.5,9.7,6,white,0.0,2.0
227,7.726,0.25,1.92,10.3,0.041,158.761,272.0,high,3.17,0.52,9.1,6,white,0.0,3.0
228,6.4,0.17,1.92,2.4,0.048,161.0,200.0,medium,3.5,0.5,9.7,6,white,0.0,2.0
229,7.1,0.24,2.05,17.8,0.046,141.0,145.0,very high,3.32,0.39,8.7,5,white,0.0,4.0
230,6.8,0.64,0.32,9.7,0.062,106.0,142.0,very high,3.37,0.46,8.9,4,white,0.0,4.0
231,8.3,0.28,2.4,7.8,0.041,149.229,194.0,very high,3.34,0.51,9.6,6,white,0.0,4.0
232,8.2,0.27,2.34,7.8,0.039,169.0,208.0,very high,3.31,0.51,9.5,6,white,0.0,4.0
233,7.2,0.23,2.28,14.3,0.058,177.0,194.0,very high,3.09,0.44,9.0,6,white,0.0,4.0
234,7.728,0.23,2.28,14.3,0.058,177.0,194.0,very high,3.09,0.44,9.0,6,white,0.0,4.0
235,7.2,0.23,2.28,14.3,0.058,177.0,194.0,very high,3.09,0.44,9.0,6,white,0.0,4.0
236,7.2,0.23,2.28,14.3,0.058,169.0,194.0,very high,3.09,0.44,9.0,6,white,0.0,4.0
237,6.8,0.412,1.92,13.2,0.044,174.0,221.0,very high,3.27,0.5,9.6,6,white,0.0,4.0
238,7.0,0.26,4.13,1.4,0.037,186.0,120.0,low,3.34,0.41,11.1,7,white,0.0,1.0
239,6.2,0.25,1.26,15.55,0.039,148.0,159.0,very high,3.48,0.64,9.6,6,white,0.0,4.0
240,7.3,0.32,1.15,13.7,0.05,153.0,197.0,very high,3.2,0.46,8.7,5,white,0.0,4.0
241,7.7,0.31,1.3,7.8,0.031,127.0,90.0,medium,3.13,0.5,10.4,5,white,0.0,2.0
242,7.1,0.21,2.59,2.4,0.026,169.0,100.0,low,3.15,0.38,11.4,7,white,0.0,1.0
243,6.8,0.24,2.04,2.7,0.047,188.5,218.5,medium,3.3,0.58,9.7,6,white,0.0,2.0
244,6.9,0.4,2.8,11.2,0.043,138.0,142.0,very high,3.14,0.46,8.7,5,white,0.0,4.0
