measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
20,2010.0,8.0,residential,689.0,5,51.0,22.0,1931.0,24.7,29.2,35.1,16684.96,elec
21,2009.0,7.0,office,429.0,8,203.0,11.0,1927.0,25.2,31.0,37.9,,gas
22,2011.0,3.0,commercial,803.0,6,203.0,4.0,1964.0,18.3,24.6,30.6,,elec
23,2012.0,8.0,commercial,213.0,1,172.0,3.0,1960.0,22.6,29.5,34.7,669.74,gas
24,2006.0,1.0,factory,,8,37.0,2.0,1963.0,9.5,15.3,22.4,406.09,oil
25,2005.0,11.0,office,804.0,1,337.0,18.0,1995.0,13.5,19.3,29.2,16651.73,oil
26,2005.0,,,557.0,6,37.0,7.0,1925.0,9.6,15.4,22.9,2054.77,gas
27,2011.0,1.0,commercial,230.0,6,203.0,4.0,1967.0,9.5,15.1,26.5,1330.09,oil
28,2011.0,4.0,residential,258.0,3,51.0,9.0,1962.0,21.0,27.2,32.9,104.95,gas
29,2013.0,5.0,residential,661.0,5,-7.0,12.0,1938.0,21.2,29.0,36.0,4602.17,oil
30,2010.0,5.0,office,,3,12.0,20.0,2008.0,24.6,29.1,35.6,1735.6,gas
31,2007.0,5.0,education,451.0,5,203.0,4.0,1978.0,23.4,30.1,34.7,1542.48,oil
32,2008.0,12.0,education,301.0,4,19.0,6.0,1937.0,8.1,13.7,18.7,2803.49,elec
33,2005.0,4.0,factory,520.0,7,117.0,2.0,1964.0,18.1,26.5,30.3,937.05,oil
34,2014.0,5.0,education,857.0,8,37.0,6.0,1966.0,24.0,29.0,38.6,7677.95,elec
35,2005.0,6.0,office,286.0,3,55.0,15.0,1937.0,21.8,31.0,36.6,263.32,gas
36,2010.0,12.0,,243.0,8,19.0,2.0,1983.0,6.9,15.0,21.1,195.26,gas
37,2009.0,5.0,commercial,657.0,5,337.0,1.0,1964.0,23.2,29.5,34.7,,gas
38,2013.0,1.0,commercial,334.0,8,37.0,4.0,2001.0,7.0,14.7,22.2,2002.28,oil
39,2009.0,1.0,residential,648.0,8,172.0,29.0,1937.0,9.0,15.6,21.0,21816.24,oil
40,2012.0,9.0,office,373.0,8,203.0,16.0,1940.0,17.7,26.6,34.2,5500.16,oil
41,2008.0,4.0,office,1122.0,6,37.0,27.0,1958.0,20.4,26.6,33.4,18782.28,gas
42,2006.0,2.0,,,7,117.0,6.0,1966.0,10.9,18.7,26.7,5625.36,gas
43,2013.0,7.0,commercial,,3,12.0,3.0,1948.0,24.6,30.7,36.0,1676.51,elec
44,,3.0,commercial,239.0,7,117.0,6.0,1959.0,19.8,23.8,28.9,2844.37,elec
45,2011.0,10.0,commercial,1029.0,5,117.0,4.0,1956.0,17.4,23.2,31.1,6166.69,elec
46,2005.0,10.0,education,260.0,4,55.0,5.0,1979.0,17.1,23.1,30.0,1926.29,elec
47,2011.0,4.0,office,657.0,5,203.0,24.0,1999.0,21.2,26.9,31.3,11235.17,oil
48,,8.0,residential,258.0,3,51.0,9.0,1962.0,23.2,28.3,33.7,2738.47,elec
49,2009.0,4.0,education,254.0,1,337.0,3.0,1963.0,20.3,26.0,32.5,748.89,oil
50,2007.0,7.0,office,435.0,6,117.0,9.0,1990.0,23.4,30.0,,3664.44,oil
51,2006.0,11.0,factory,,4,117.0,6.0,1998.0,15.4,19.4,24.7,4348.27,oil
52,2011.0,7.0,factory,1272.0,2,19.0,3.0,1922.0,25.1,30.1,37.8,3173.39,elec
53,2010.0,5.0,office,286.0,3,55.0,15.0,1937.0,24.1,29.7,36.9,263.32,gas
54,2012.0,11.0,education,488.0,6,172.0,4.0,2006.0,14.3,19.7,27.5,3017.01,elec
55,2012.0,1.0,,243.0,8,19.0,2.0,1983.0,5.4,15.3,23.8,474.17,elec
56,2005.0,9.0,commercial,334.0,8,,4.0,2001.0,21.2,27.0,33.3,1001.94,gas
57,2012.0,3.0,commercial,157.0,6,12.0,3.0,1921.0,14.3,23.1,28.5,664.68,elec
58,2008.0,10.0,commercial,1128.0,6,172.0,1.0,2008.0,20.1,24.4,29.1,1503.4,elec
59,2005.0,7.0,commercial,599.0,8,,1.0,1948.0,25.0,30.7,36.9,430.5,gas
60,2008.0,12.0,education,861.0,7,19.0,5.0,2003.0,8.5,13.7,19.9,7984.57,elec
61,2008.0,8.0,office,279.0,6,12.0,18.0,1945.0,,30.1,37.2,3525.44,oil
62,2005.0,2.0,commercial,,2,51.0,4.0,2003.0,12.7,20.3,25.3,2000.77,elec
63,2008.0,11.0,office,741.0,2,55.0,9.0,2004.0,14.6,19.5,,7805.4,elec
64,2007.0,4.0,commercial,305.0,2,55.0,4.0,1997.0,20.4,26.5,34.1,2945.96,elec
65,2012.0,7.0,factory,923.0,8,12.0,3.0,1975.0,25.4,30.0,,973.41,gas
66,2008.0,1.0,residential,464.0,3,12.0,3.0,2001.0,10.1,14.9,19.3,1508.72,oil
67,2007.0,4.0,residential,982.0,8,55.0,28.0,1959.0,22.3,27.0,31.5,30792.44,elec
68,2007.0,2.0,residential,177.0,5,337.0,25.0,1947.0,12.5,18.4,26.6,3283.97,gas
69,2014.0,4.0,education,493.0,2,51.0,2.0,1993.0,20.3,25.6,31.1,1603.47,elec
70,2006.0,12.0,,301.0,7,12.0,2.0,1920.0,,14.9,19.2,1404.38,oil
71,2005.0,9.0,commercial,2080.0,2,117.0,,2006.0,18.5,27.2,,22601.78,elec
72,2014.0,3.0,commercial,442.0,1,172.0,5.0,1953.0,17.8,23.8,29.8,3638.54,elec
73,2007.0,8.0,office,804.0,1,337.0,18.0,1995.0,21.2,28.9,35.7,17019.07,elec
74,2007.0,7.0,,1210.0,1,117.0,7.0,2004.0,25.8,30.5,35.4,12332.32,elec
75,2007.0,4.0,commercial,635.0,2,12.0,5.0,2008.0,20.3,27.7,33.2,6297.68,elec
76,2007.0,8.0,office,1084.0,8,19.0,24.0,1924.0,25.4,29.1,,13355.57,gas
77,2011.0,2.0,commercial,776.0,7,117.0,3.0,2002.0,12.7,18.5,25.5,,elec
78,2008.0,6.0,education,1862.0,8,19.0,6.0,1945.0,24.8,30.1,36.5,13594.09,oil
79,2009.0,11.0,commercial,252.0,8,337.0,5.0,1976.0,13.7,19.8,23.7,826.82,gas
80,2006.0,4.0,commercial,488.0,2,55.0,5.0,1995.0,18.7,25.7,31.8,3663.66,oil
81,2007.0,5.0,commercial,425.0,8,117.0,3.0,1956.0,21.5,29.2,36.1,677.3,gas
82,2006.0,11.0,office,575.0,4,172.0,,1940.0,11.0,19.6,24.0,11360.16,elec
83,2006.0,11.0,office,489.0,2,19.0,18.0,2005.0,12.6,19.1,24.8,9217.45,elec
84,2005.0,8.0,commercial,657.0,5,337.0,1.0,1964.0,24.4,28.9,35.7,592.97,oil
85,2009.0,10.0,commercial,,7,337.0,6.0,1921.0,12.6,22.5,30.8,3862.45,elec
86,2013.0,9.0,commercial,215.0,4,37.0,6.0,1981.0,21.4,27.4,32.9,2442.43,elec
87,2011.0,4.0,,525.0,8,117.0,1.0,1993.0,22.4,27.8,33.5,337.48,gas
88,2011.0,1.0,commercial,803.0,6,203.0,4.0,1964.0,10.0,14.9,19.3,6043.7,elec
89,2007.0,10.0,commercial,558.0,2,117.0,3.0,1938.0,18.0,24.8,33.5,2376.78,oil
90,2012.0,4.0,commercial,734.0,3,337.0,6.0,1952.0,22.0,27.7,35.8,4761.08,oil
91,2007.0,3.0,education,1114.0,4,51.0,4.0,1924.0,19.0,23.9,29.6,3315.26,gas
92,2008.0,,education,529.0,1,55.0,4.0,1974.0,21.5,25.7,30.4,1818.32,gas
93,2005.0,4.0,residential,460.0,7,55.0,21.0,1967.0,23.0,27.7,34.5,8476.65,oil
94,2014.0,4.0,education,,1,19.0,6.0,1989.0,20.5,26.7,33.3,3363.09,elec
95,2011.0,2.0,residential,1172.0,8,12.0,2.0,1997.0,15.0,18.9,23.8,2133.13,oil
96,2010.0,10.0,factory,1515.0,3,117.0,6.0,1934.0,18.1,23.2,,5098.64,oil
97,2006.0,9.0,commercial,239.0,7,117.0,6.0,1959.0,21.7,27.5,35.4,1717.7,gas
98,2005.0,11.0,factory,342.0,4,172.0,2.0,1984.0,13.9,19.4,28.8,814.44,elec
99,2013.0,10.0,commercial,372.0,6,55.0,3.0,1997.0,17.6,23.1,29.8,,elec
100,2007.0,8.0,factory,388.0,2,337.0,1.0,1941.0,24.7,29.9,37.7,248.08,gas
101,2008.0,8.0,factory,788.0,4,117.0,6.0,1998.0,21.2,29.7,37.5,4170.1,elec
102,2005.0,12.0,residential,394.0,1,37.0,11.0,1940.0,7.0,14.8,20.2,5460.84,elec
103,2007.0,10.0,commercial,615.0,6,172.0,5.0,1998.0,16.6,23.4,32.0,2936.01,gas
104,,10.0,commercial,1265.0,7,117.0,3.0,1971.0,17.0,23.1,28.4,6620.26,oil
105,2009.0,1.0,commercial,232.0,5,172.0,3.0,1976.0,10.7,15.7,21.4,1057.37,oil
106,2006.0,6.0,,661.0,5,-7.0,12.0,1938.0,23.9,30.0,37.3,4844.39,oil
107,2006.0,8.0,office,423.0,7,37.0,,1991.0,24.4,29.0,34.7,1206.4,gas
108,2008.0,2.0,office,659.0,7,117.0,22.0,1920.0,13.0,19.7,26.5,12404.49,gas
109,2006.0,7.0,commercial,539.0,6,172.0,4.0,2009.0,23.5,30.4,38.3,2001.2,oil
110,2006.0,5.0,commercial,476.0,7,37.0,4.0,2003.0,20.9,28.2,34.5,1995.6,gas
111,2005.0,7.0,education,243.0,8,19.0,6.0,1991.0,25.3,30.0,37.8,2177.06,elec
112,2010.0,8.0,commercial,624.0,6,55.0,6.0,1978.0,23.4,29.1,38.2,6751.18,elec
113,2012.0,11.0,office,1260.0,6,55.0,4.0,1937.0,13.4,19.6,24.7,5432.53,oil
114,2012.0,1.0,office,1266.0,6,37.0,29.0,1952.0,8.2,15.1,20.0,26177.08,gas
115,2013.0,2.0,education,1527.0,5,117.0,3.0,1983.0,10.6,19.9,30.5,6379.17,oil
116,2006.0,8.0,residential,863.0,5,19.0,4.0,1940.0,24.2,28.8,35.4,2818.05,gas
117,2005.0,12.0,factory,320.0,8,37.0,3.0,1990.0,7.6,15.0,22.3,977.36,elec
118,2012.0,12.0,factory,,8,19.0,2.0,1983.0,8.2,14.6,20.3,494.79,elec
119,2010.0,8.0,commercial,854.0,4,337.0,1.0,1936.0,22.4,29.0,35.3,1757.53,elec
120,2014.0,1.0,residential,291.0,6,51.0,13.0,1994.0,6.1,13.8,19.8,4385.25,elec
121,2011.0,5.0,education,1107.0,4,203.0,4.0,1927.0,21.5,29.6,36.5,4569.43,oil
122,2013.0,3.0,office,582.0,4,37.0,3.0,1975.0,18.6,24.2,30.2,1299.02,gas
123,2007.0,1.0,commercial,844.0,3,-7.0,2.0,1996.0,9.5,16.1,21.6,2263.0,elec
124,2005.0,4.0,commercial,372.0,6,55.0,3.0,1997.0,21.2,26.8,32.2,1462.41,oil
125,2008.0,6.0,commercial,1707.0,4,172.0,6.0,2006.0,,31.4,36.9,8890.06,gas
126,2013.0,8.0,,360.0,3,12.0,3.0,1948.0,20.2,28.8,34.9,1371.69,elec
127,2007.0,12.0,commercial,588.0,2,12.0,4.0,1963.0,9.9,15.3,21.7,4746.94,oil
128,2013.0,1.0,commercial,529.0,8,117.0,2.0,1938.0,7.7,15.0,19.5,1591.76,elec
129,2007.0,3.0,commercial,813.0,3,12.0,4.0,1961.0,17.0,23.7,31.5,3834.96,oil
130,2006.0,9.0,commercial,975.0,2,12.0,3.0,1994.0,17.6,26.8,34.1,2932.43,gas
131,2012.0,7.0,commercial,776.0,7,117.0,3.0,2002.0,24.3,29.6,35.7,2788.57,gas
132,2012.0,3.0,office,258.0,4,117.0,11.0,1950.0,16.4,23.2,27.6,2588.25,oil
133,2012.0,8.0,commercial,1003.0,4,-7.0,6.0,1994.0,23.4,28.6,,9908.04,elec
134,2005.0,12.0,commercial,489.0,6,37.0,2.0,1934.0,8.2,14.8,23.1,1981.79,oil
135,2008.0,,commercial,312.0,4,172.0,3.0,1959.0,21.7,26.9,35.8,1126.88,oil
136,2009.0,1.0,commercial,129.0,1,337.0,2.0,1952.0,8.6,15.0,20.3,465.23,elec
137,2008.0,7.0,,529.0,1,55.0,4.0,1974.0,21.7,29.7,34.4,1653.02,gas
138,2011.0,7.0,commercial,1178.0,4,117.0,3.0,1930.0,25.2,30.1,32.9,,gas
139,2014.0,6.0,factory,323.0,5,117.0,3.0,1963.0,25.8,30.6,38.6,569.31,gas
140,2007.0,1.0,education,411.0,4,172.0,2.0,1949.0,7.4,15.9,24.9,580.99,gas
141,2007.0,8.0,residential,982.0,8,55.0,28.0,1959.0,23.5,28.9,34.0,10494.45,gas
142,2006.0,7.0,factory,937.0,3,37.0,4.0,1969.0,23.2,30.9,37.9,1874.66,oil
143,2014.0,3.0,commercial,301.0,7,12.0,2.0,1920.0,14.9,23.0,30.4,1009.33,oil
144,2009.0,12.0,commercial,975.0,2,12.0,,1994.0,9.8,14.4,18.9,,oil
145,2013.0,6.0,education,337.0,8,203.0,1.0,1940.0,25.9,30.2,36.6,378.52,oil
146,2005.0,8.0,residential,863.0,5,19.0,4.0,1940.0,25.2,29.6,33.6,2213.69,oil
147,2007.0,6.0,education,508.0,2,19.0,3.0,2006.0,25.9,30.3,36.1,2703.7,elec
148,2006.0,1.0,office,557.0,6,37.0,7.0,1925.0,8.8,14.9,,5500.5,oil
149,2008.0,6.0,factory,371.0,5,-7.0,6.0,1953.0,21.0,30.6,36.2,2041.87,elec
150,2012.0,3.0,commercial,488.0,2,55.0,5.0,1995.0,18.9,23.2,27.7,3126.86,oil
151,2014.0,7.0,office,399.0,5,37.0,15.0,1922.0,26.3,30.4,37.5,5922.28,gas
152,2005.0,5.0,commercial,635.0,2,12.0,5.0,2008.0,23.2,29.1,35.2,,elec
153,2010.0,12.0,factory,342.0,4,172.0,2.0,1984.0,9.8,15.0,23.0,785.38,oil
154,2012.0,2.0,residential,486.0,2,-7.0,17.0,2006.0,12.3,20.0,28.6,5578.34,gas
155,2014.0,2.0,,249.0,6,337.0,3.0,1940.0,13.6,19.1,27.1,463.14,gas
156,2006.0,5.0,commercial,975.0,2,12.0,3.0,,24.7,29.6,36.0,,gas
157,2013.0,3.0,commercial,489.0,6,37.0,2.0,1934.0,17.1,22.9,30.2,976.24,gas
158,2009.0,10.0,education,173.0,6,51.0,6.0,1999.0,13.9,23.2,30.7,1674.09,elec
159,2013.0,9.0,residential,1085.0,5,37.0,7.0,1928.0,18.0,26.6,,7315.08,elec
160,2006.0,3.0,office,172.0,1,19.0,23.0,1947.0,15.6,24.0,,3450.41,oil
161,2005.0,9.0,commercial,,1,-7.0,,1960.0,,26.4,32.1,2055.65,elec
162,2011.0,9.0,office,460.0,3,12.0,16.0,1981.0,21.8,27.2,,6716.74,oil
163,2010.0,11.0,commercial,1029.0,5,117.0,4.0,1956.0,11.0,19.3,26.4,5938.28,oil
164,2009.0,1.0,residential,661.0,5,-7.0,12.0,1938.0,9.3,15.8,22.8,5297.99,gas
165,2014.0,,residential,1172.0,8,12.0,2.0,1997.0,8.8,15.1,20.2,2386.38,elec
166,2012.0,5.0,commercial,411.0,8,19.0,4.0,1987.0,24.0,28.8,,,gas
167,2005.0,10.0,office,356.0,1,55.0,25.0,1952.0,18.1,24.0,30.9,7981.56,oil
168,2007.0,3.0,education,429.0,5,37.0,5.0,1994.0,19.1,23.6,31.7,2885.76,elec
169,2013.0,6.0,factory,407.0,4,-7.0,4.0,1979.0,20.8,29.8,36.4,1050.0,oil
170,2005.0,7.0,commercial,877.0,2,55.0,2.0,1984.0,23.3,30.7,38.9,3025.3,elec
171,2006.0,3.0,factory,306.0,6,337.0,,1989.0,17.9,22.9,28.6,1156.68,elec
172,2006.0,3.0,factory,987.0,5,203.0,2.0,1934.0,13.8,23.0,29.9,1192.24,oil
173,2008.0,8.0,residential,679.0,2,37.0,4.0,1987.0,22.2,29.2,37.4,,gas
174,2014.0,7.0,education,351.0,6,117.0,1.0,1979.0,19.6,30.1,36.7,405.54,oil
175,2011.0,12.0,commercial,232.0,5,172.0,3.0,1976.0,8.0,15.1,21.1,1142.07,elec
176,2013.0,4.0,residential,317.0,6,203.0,28.0,1999.0,18.9,26.0,33.6,6191.01,gas
177,2014.0,1.0,commercial,539.0,6,172.0,4.0,2009.0,5.2,14.5,20.0,1684.27,gas
178,2010.0,3.0,residential,982.0,8,55.0,28.0,1959.0,18.6,23.7,29.0,8837.43,gas
179,2013.0,2.0,commercial,429.0,8,51.0,1.0,1963.0,11.9,19.8,,281.51,gas
180,2010.0,2.0,residential,486.0,2,-7.0,17.0,2006.0,,18.9,23.3,10993.09,elec
181,2012.0,11.0,,623.0,1,51.0,26.0,1999.0,12.8,19.0,,16904.12,oil
182,2007.0,6.0,factory,497.0,3,51.0,6.0,1957.0,23.6,30.3,38.5,2141.67,elec
183,2010.0,2.0,education,2447.0,8,19.0,6.0,1943.0,14.3,20.7,,20151.78,oil
184,2013.0,5.0,education,429.0,5,37.0,5.0,1994.0,24.3,28.9,34.0,2008.72,oil
185,,12.0,residential,1068.0,1,12.0,11.0,,6.8,14.5,22.1,13026.18,elec
186,2008.0,8.0,commercial,624.0,6,55.0,6.0,1978.0,23.1,28.9,33.2,4292.87,oil
187,2013.0,12.0,commercial,624.0,6,55.0,6.0,1978.0,10.0,16.5,22.4,5870.59,elec
188,2012.0,1.0,factory,368.0,7,-7.0,1.0,1932.0,8.1,15.3,,310.93,oil
189,2005.0,,education,254.0,1,337.0,3.0,1963.0,,30.1,35.4,,oil
190,2010.0,8.0,residential,228.0,1,55.0,22.0,1960.0,24.5,29.7,,3379.71,gas
191,2006.0,5.0,office,976.0,3,19.0,26.0,2001.0,25.6,30.6,36.5,17813.95,oil
192,2007.0,10.0,commercial,1869.0,5,117.0,4.0,1987.0,17.0,22.9,29.7,9600.62,elec
193,2007.0,12.0,commercial,437.0,1,-7.0,3.0,1960.0,9.4,14.2,20.1,1433.81,gas
194,2012.0,2.0,residential,661.0,5,-7.0,12.0,1938.0,14.0,20.9,27.6,5886.65,gas
195,2008.0,6.0,,741.0,2,55.0,9.0,2004.0,25.4,31.0,36.3,9037.83,elec
196,2005.0,5.0,office,1210.0,1,117.0,7.0,2004.0,19.5,28.1,34.0,10435.04,elec
197,2012.0,5.0,education,299.0,6,37.0,5.0,1936.0,21.6,29.3,36.9,1334.74,gas
198,,1.0,commercial,129.0,1,337.0,2.0,,5.2,14.8,22.0,223.38,gas
199,2008.0,7.0,office,575.0,4,172.0,14.0,1940.0,23.4,31.1,,5933.66,oil
200,2010.0,9.0,education,399.0,5,12.0,4.0,1975.0,21.3,27.3,32.4,1364.64,oil
201,2005.0,,education,565.0,5,117.0,5.0,2006.0,26.8,31.2,38.9,3282.33,elec
202,2013.0,10.0,education,451.0,5,203.0,,1978.0,17.9,23.1,29.0,1785.09,gas
203,2009.0,,education,403.0,5,,6.0,1954.0,24.3,31.1,36.9,2273.03,gas
204,2006.0,4.0,commercial,,2,12.0,3.0,1994.0,20.1,26.4,,,oil
205,2006.0,2.0,education,256.0,7,37.0,2.0,1946.0,12.8,19.9,31.3,,oil
206,2006.0,10.0,factory,937.0,3,37.0,4.0,1969.0,,23.1,29.0,2128.43,oil
207,2014.0,7.0,commercial,1003.0,4,-7.0,6.0,1994.0,23.2,30.1,36.0,6900.24,oil
208,2011.0,3.0,residential,179.0,3,12.0,7.0,1978.0,17.4,23.8,32.8,,oil
209,2014.0,12.0,factory,320.0,8,37.0,3.0,1990.0,5.7,14.9,22.0,959.3,oil
210,2013.0,2.0,factory,268.0,8,37.0,2.0,1963.0,11.8,19.7,25.1,477.48,elec
211,2009.0,12.0,commercial,844.0,3,-7.0,2.0,1996.0,9.7,15.0,,2143.9,elec
212,2006.0,5.0,office,943.0,8,37.0,7.0,1925.0,23.0,29.1,37.6,8213.76,elec
213,2014.0,8.0,commercial,734.0,3,337.0,6.0,1952.0,20.6,29.2,36.8,,oil
214,2012.0,1.0,residential,679.0,2,37.0,4.0,1987.0,9.4,14.6,20.0,3162.08,elec
215,2008.0,3.0,commercial,657.0,6,-7.0,1.0,1963.0,13.9,23.2,30.7,,oil
216,2009.0,1.0,commercial,372.0,6,55.0,3.0,1997.0,9.3,15.5,23.1,871.82,gas
217,2010.0,6.0,office,813.0,8,-7.0,20.0,2000.0,24.3,30.4,36.7,6169.69,gas
218,2009.0,3.0,education,442.0,5,337.0,5.0,1922.0,15.1,22.8,31.1,2668.34,oil
219,2007.0,5.0,residential,623.0,8,337.0,26.0,1993.0,23.8,28.6,34.7,15666.32,elec
220,2014.0,9.0,office,843.0,4,203.0,4.0,1941.0,18.6,26.9,,3128.69,oil
221,2007.0,2.0,office,549.0,8,19.0,3.0,1972.0,14.7,19.7,25.8,1676.78,elec
222,2012.0,3.0,office,1418.0,5,12.0,20.0,1964.0,14.1,23.5,26.9,,oil
223,2013.0,1.0,education,,4,117.0,5.0,2007.0,11.1,15.6,22.7,2623.42,elec
224,2008.0,9.0,education,338.0,4,117.0,5.0,2007.0,18.0,26.9,33.0,2981.16,elec
225,2010.0,1.0,office,435.0,6,117.0,9.0,1990.0,9.2,14.9,22.6,5042.52,elec
226,2006.0,9.0,residential,379.0,8,19.0,27.0,1941.0,19.0,26.3,32.2,4522.33,gas
227,2007.0,12.0,factory,625.0,2,51.0,1.0,1975.0,7.1,14.1,20.5,606.38,elec
228,2006.0,3.0,office,821.0,3,51.0,8.0,1993.0,15.9,23.2,29.1,4974.29,oil
229,2007.0,12.0,education,837.0,5,203.0,3.0,1934.0,8.2,14.7,21.4,3378.16,elec
230,2008.0,3.0,commercial,157.0,6,12.0,3.0,1921.0,,23.3,29.2,408.83,gas
231,2010.0,7.0,commercial,239.0,7,117.0,6.0,,25.1,31.1,37.5,2251.02,oil
232,2012.0,7.0,education,222.0,4,117.0,2.0,1982.0,26.0,31.0,37.8,458.18,oil
233,2005.0,12.0,office,575.0,4,172.0,14.0,1940.0,6.8,15.0,21.0,10413.48,elec
234,2009.0,2.0,education,525.0,8,117.0,1.0,1993.0,13.8,19.5,28.8,323.42,gas
235,2013.0,11.0,commercial,323.0,1,117.0,5.0,1927.0,12.4,19.1,24.7,2429.68,oil
236,2014.0,11.0,commercial,831.0,8,172.0,2.0,1933.0,14.3,20.8,28.2,2917.1,oil
237,2014.0,5.0,office,1266.0,6,37.0,29.0,1952.0,20.3,28.8,35.1,,oil
238,2009.0,5.0,education,388.0,4,172.0,2.0,1936.0,23.1,28.6,37.6,779.41,gas
239,2010.0,2.0,education,187.0,1,172.0,4.0,2002.0,13.2,19.5,26.2,1105.84,elec
240,2013.0,1.0,education,453.0,5,55.0,2.0,1937.0,9.1,14.7,21.6,1087.48,oil
241,2005.0,,factory,323.0,5,117.0,3.0,1963.0,20.3,26.9,32.1,569.31,gas
242,2007.0,12.0,office,,6,55.0,,2001.0,6.7,14.8,21.4,7954.58,oil
243,2005.0,12.0,office,493.0,1,51.0,28.0,,8.6,14.6,,17006.53,elec
244,2011.0,12.0,residential,,8,337.0,26.0,1994.0,,14.5,20.7,18867.87,elec
245,2009.0,7.0,,489.0,6,37.0,2.0,1934.0,23.7,30.9,37.1,1334.97,oil
246,2013.0,2.0,office,176.0,6,55.0,24.0,1972.0,9.8,19.0,25.0,5440.51,elec
247,2010.0,10.0,commercial,260.0,4,117.0,4.0,2009.0,16.8,23.2,26.8,947.86,gas
248,2013.0,1.0,commercial,378.0,3,117.0,5.0,1922.0,7.8,15.3,22.4,147.65,gas
249,2010.0,3.0,commercial,547.0,6,37.0,5.0,1992.0,18.6,24.9,33.8,4717.33,elec
250,2014.0,8.0,residential,228.0,1,55.0,22.0,1960.0,23.4,29.3,35.1,,elec
251,2011.0,6.0,commercial,260.0,4,117.0,4.0,2009.0,26.4,30.8,36.1,767.31,gas
252,2011.0,12.0,office,225.0,6,19.0,23.0,1946.0,9.2,15.2,22.6,,oil
253,2005.0,1.0,factory,,3,51.0,6.0,1957.0,8.7,14.5,,2827.85,oil
254,2005.0,7.0,factory,953.0,2,-7.0,1.0,1982.0,26.1,31.2,38.6,968.63,elec
255,2009.0,12.0,commercial,252.0,8,337.0,5.0,1976.0,7.0,14.5,22.0,984.31,gas
256,2006.0,9.0,office,601.0,1,19.0,15.0,1934.0,20.2,26.2,34.1,7042.52,gas
257,2010.0,7.0,education,349.0,1,55.0,3.0,2003.0,21.4,30.6,,1077.99,oil
258,2007.0,7.0,education,1527.0,5,117.0,3.0,1983.0,25.7,29.8,35.0,5882.88,elec
259,2006.0,3.0,commercial,157.0,6,12.0,3.0,1921.0,16.1,23.8,28.0,678.46,oil
260,2007.0,10.0,office,1122.0,6,37.0,27.0,1958.0,17.4,23.4,,30595.24,oil
261,2005.0,10.0,,218.0,4,37.0,6.0,1990.0,18.4,24.1,30.0,1029.69,oil
262,2012.0,5.0,education,337.0,8,203.0,1.0,1940.0,21.6,28.7,33.5,362.75,oil
263,2011.0,12.0,office,575.0,4,172.0,14.0,1940.0,10.8,16.1,23.4,10316.65,oil
264,2005.0,5.0,factory,,3,117.0,6.0,1934.0,24.8,29.6,34.8,5743.06,oil
265,2005.0,3.0,commercial,558.0,2,117.0,3.0,1938.0,,23.1,,2887.32,elec
266,2005.0,9.0,office,331.0,1,55.0,19.0,1964.0,21.8,27.2,35.5,3889.43,gas
267,2005.0,6.0,education,425.0,5,-7.0,4.0,1932.0,24.6,30.2,35.4,1245.91,oil
268,2007.0,10.0,office,649.0,3,172.0,9.0,2008.0,16.1,23.5,29.1,374.82,gas
