,FA,VA,CA,RS,chlorides,FSD,TSD,density,pH,sulphates,alcohol,quality
74,6.7,0.23,2.48,2.1,0.046,188.0,96.0,2,3.33,0.64,10.7,1
75,7.4,0.24,1.45,10.1,0.05,121.0,105.0,0,3.13,0.35,9.5,0
76,7.1,0.18,1.8638096026490105,1.4,0.043,173.0,87.0,1,3.26,0.37,12.7,1
77,7.1831040774234385,0.32,2.38,1.3,0.042,158.0,69.0,1,3.31,0.65,12.0,1
78,7.4,0.18,1.5,8.8,0.064,124.0,115.80207972270364,0,2.94,0.56,9.3,0
79,6.7,0.54,1.4,5.4,0.06,123.0,105.0,0,3.27,0.37,9.0,0
80,6.8,0.22,1.86,1.4,0.053,154.0,114.0,2,3.39,0.77,10.6,1
81,7.1831040774234385,0.2,2.04,16.0,0.05,173.0,166.0,3,3.21,0.6,9.2,1
82,7.1,0.34,1.0,6.1,0.063,146.8341224489796,164.0,2,3.17,0.42,10.0,0
84,7.1,0.43,3.05,11.8,0.045,148.0,115.80207972270364,3,3.11,0.45,8.7,0
85,7.1,0.44,3.72,5.443836575875507,0.044000000000000004,170.0,152.0,3,3.12,0.46,8.7,1
86,7.2,0.39,3.78,11.0,0.044000000000000004,179.0,156.0,3,3.09,0.44,8.7,1
88,7.1,0.43,3.05,11.8,0.045,156.0,155.0,3,3.11,0.45,8.7,0
89,7.1,0.44,3.72,11.8,0.044000000000000004,174.0,152.0,3,3.12,0.46,10.487660536156229,1
90,7.2,0.39,3.78,11.0,0.044000000000000004,173.0,156.0,3,3.09,0.44,8.7,1
92,7.1831040774234385,0.24,1.8638096026490105,1.7,0.035,183.0,136.0,1,3.26,0.4,12.6,1
93,6.9,0.21,2.31,1.8,0.034,194.0,136.0,1,3.25,0.41,12.6,1
94,7.5,0.17,2.24,1.7,0.04,191.0,148.0,1,3.21,0.44,11.5,1
96,6.0,0.34,3.96,15.9,0.046,148.0,164.0,3,3.14,0.5,8.8,1
97,8.6,0.265,2.52,1.2,0.034,155.0,80.0,1,2.95,0.36,11.4,1
98,9.8,0.36,1.84,10.5,0.038,76.0,83.0,0,2.89,0.3,10.1,0
99,6.0,0.34,3.96,15.9,0.046,140.0,164.0,3,3.14,0.5,8.8,1
100,7.4,0.25,1.85,13.5,0.06,154.0,192.0,3,3.0,0.44,9.1,0
101,7.1,0.12,1.6,9.6,0.054000000000000006,166.0,162.0,0,3.4,0.41,9.4,0
102,6.0,0.21,1.8638096026490105,12.1,0.05,146.8341224489796,164.0,3,3.34,0.39,9.4,0
103,7.5,0.305,2.0,18.9,0.059000000000000004,142.0,170.0,3,2.99,0.46,9.0,0
104,7.4,0.25,1.85,13.5,0.06,152.0,192.0,3,3.0,0.44,9.1,0
105,7.3,0.13,1.8638096026490105,14.4,0.051,158.0,115.80207972270364,3,3.2,0.35,9.2,1
106,7.1,0.12,1.6,9.6,0.054000000000000006,162.0,115.80207972270364,0,3.4,0.41,9.4,0
107,7.1,0.23,2.1,16.5,0.04,182.0,171.0,3,3.16,0.59,9.1,1
108,7.1,0.23,1.8638096026490105,16.5,0.04,178.0,171.0,3,3.16,0.59,9.1,1
109,6.9,0.33,1.4,1.3,0.051,137.0,187.0,2,3.27,0.6,10.3,0
110,6.5,0.17,3.24,8.5,0.08199999999999999,184.0,163.0,0,2.89,0.39,8.8,1
112,7.2,0.31,2.5,13.3,0.055999999999999994,172.0,195.0,3,3.01,0.47,9.2,0
113,0.41,6.7,1.7,9.2,0.049,129.0,150.0,0,3.22,0.51,9.1,0
114,6.7,0.41,1.7,5.443836575875507,0.049,146.8341224489796,150.0,0,3.22,0.51,9.1,0
115,5.5,0.485,0.0,1.5,0.065,88.0,103.0,2,3.63,0.4,9.7,0
116,6.0,0.31,1.44,3.3,0.040999999999999995,145.0,143.0,1,3.31,0.44,11.3,1
117,7.0,0.14,2.4,1.7,0.035,140.0,85.0,1,3.19,0.42,11.8,1
118,7.2,0.31,1.8638096026490105,13.3,0.055999999999999994,166.0,195.0,3,3.01,0.47,9.2,0
119,7.3,0.32,2.4,13.3,0.06,151.0,196.0,3,3.04,0.5,9.2,0
120,7.1831040774234385,0.36,0.2,5.7,0.046,119.0,87.0,2,3.22,0.51,10.2,0
121,7.8,0.24,1.6,12.2,0.054000000000000006,136.0,138.0,3,3.01,0.54,8.8,0
122,7.4,0.16,1.55,6.85,0.059000000000000004,131.0,131.0,0,3.29,0.34,9.7,0
123,6.9,0.19,1.68,5.0,0.057999999999999996,134.0,146.0,0,3.29,0.36,9.1,1
124,6.4,0.13,2.82,1.6,0.092,158.0,158.0,2,3.21,0.36,9.8,1
125,6.7,0.19,2.16,1.1,0.026000000000000002,183.0,143.0,1,3.27,0.48,11.0,1
126,7.4,0.39,1.15,7.0,0.033,131.0,126.0,2,3.14,0.42,10.5,0
128,6.1,0.3,3.92,2.8,0.044000000000000004,185.0,115.80207972270364,2,3.3,0.57,10.487660536156229,1
129,6.1,0.3,3.36,2.7,0.046,168.0,115.80207972270364,2,3.31,0.57,10.9,1
130,5.7,0.26,1.25,10.4,0.02,105.0,57.0,2,3.39,0.37,10.6,0
133,6.6,0.24,1.35,15.8,0.035,150.0,188.0,3,3.24,0.51,9.2,0
134,6.8,0.27,1.8638096026490105,8.1,0.034,155.0,115.80207972270364,0,3.19,0.52,8.9,0
135,6.7,0.27,1.55,15.7,0.036000000000000004,146.0,179.0,3,3.26,0.56,9.6,0
136,8.2,0.23,2.4,1.2,0.027000000000000003,156.0,121.0,1,3.12,0.38,10.7,1
137,7.1831040774234385,0.37,1.8638096026490105,10.5,0.045,145.0,115.80207972270364,3,3.16,0.44,8.7,0
138,6.8,0.19,2.52,1.9,0.035,172.0,96.0,1,3.15,0.54,10.8,1
139,8.1,0.28,2.34,1.9,0.028999999999999998,134.0,79.0,1,3.23,0.52,11.8,1
140,6.3,0.31,1.7,2.2,0.045,116.0,77.0,2,3.3,0.43,10.2,0
141,7.1,0.37,3.35,10.5,0.045,146.8341224489796,155.0,3,3.16,0.44,8.7,0
142,7.9,0.21,2.4,1.2,0.039,156.0,107.0,1,3.21,0.54,10.8,1
143,8.5,0.21,2.46,4.3,0.036000000000000004,142.0,115.80207972270364,2,3.18,0.53,9.7,1
144,8.1,0.2,2.4,2.0,0.037000000000000005,141.0,87.0,1,3.12,0.54,11.2,1
145,6.3,0.255,2.22,1.1,0.04,153.0,114.0,1,3.0,0.39,10.9,1
146,5.6,0.16,1.62,1.4,0.044000000000000004,173.0,168.0,1,3.28,0.37,10.1,1
147,6.4,0.595,0.56,5.2,0.057999999999999996,91.0,97.0,0,3.38,0.36,9.0,0
148,6.3,0.34,1.8638096026490105,4.6,0.034,159.0,115.80207972270364,1,3.38,0.58,12.0,1
149,6.9,0.25,1.8,4.1,0.054000000000000006,141.0,116.0,2,2.99,0.38,9.4,1
150,7.9,0.22,2.66,8.0,0.043,188.0,152.0,2,3.12,0.32,11.5,1
151,7.6,0.18,2.76,10.2,0.055,180.0,135.0,0,3.14,0.43,9.9,1
152,6.9,0.25,1.8,4.1,0.054000000000000006,143.0,116.0,2,2.99,0.38,9.4,1
153,7.2,0.18,2.05,1.2,0.048,137.0,97.0,1,3.14,0.45,10.4,0
154,8.2,0.23,1.8638096026490105,7.5,0.049,134.0,76.0,0,3.06,0.84,9.7,1
155,7.4,0.24,2.52,14.0,0.066,170.0,198.0,3,2.89,0.42,8.9,1
156,7.4,0.24,2.52,14.0,0.066,166.0,115.80207972270364,3,2.89,0.42,8.9,1
157,6.1,0.32,1.8638096026490105,1.5,0.036000000000000004,178.0,124.0,1,3.29,0.42,12.4,1
158,5.2,0.44,0.32,5.443836575875507,0.036000000000000004,146.8341224489796,119.0,1,3.36,0.33,12.1,1
159,5.2,0.44,0.32,1.4,0.036000000000000004,209.0,119.0,1,3.36,0.33,12.1,1
160,6.1,0.32,1.68,1.5,0.036000000000000004,180.0,124.0,1,3.29,0.42,12.4,1
161,6.4,0.22,2.8,14.5,0.055,125.0,159.0,3,2.98,0.4,9.1,0
162,6.3,0.36,1.5,4.8,0.049,114.0,85.0,2,3.28,0.39,10.6,0
163,7.4,0.24,2.52,14.0,0.066,172.0,198.0,3,2.89,0.42,8.9,1
165,7.0,0.23,1.8638096026490105,13.0,0.051,174.0,115.80207972270364,3,3.16,0.49,9.8,0
167,6.7,0.46,1.26,2.4,0.034,163.0,98.0,1,3.08,0.44,12.6,1
168,7.5,0.29,1.55,8.95,0.055,116.0,151.0,0,3.08,0.54,9.3,0
169,9.8,0.42,2.4,9.85,0.034,105.0,110.0,0,2.87,0.29,10.0,0
170,7.1,0.3,2.76,1.5,0.066,147.0,133.0,1,3.12,0.54,12.7,1
171,7.9,0.19,2.7,1.5,0.045,133.0,96.0,1,3.13,0.39,11.0,1
172,7.6,0.48,1.8638096026490105,0.8,0.037000000000000005,84.0,100.0,1,3.03,0.39,11.4,0
173,6.3,0.22,3.01,4.55,0.038,167.0,130.0,1,3.35,0.33,11.5,1
174,7.5,0.27,1.8638096026490105,17.7,0.051,139.0,115.80207972270364,3,3.09,0.64,10.2,0
175,6.9,0.23,2.4,7.5,0.04,170.0,151.0,2,3.11,0.27,11.4,1
176,7.2,0.32,1.88,5.1,0.044000000000000004,103.0,65.0,1,3.03,0.41,12.6,0
177,5.9,0.23,1.5,12.9,0.054000000000000006,157.0,170.0,3,3.28,0.39,9.4,0
178,6.0,0.67,0.28,1.2,0.06,87.0,108.0,2,3.11,0.35,8.7,0
179,6.4,0.25,1.92,5.5,0.049,157.0,176.0,0,3.19,0.68,9.2,1
180,6.4,0.33,1.86,5.5,0.048,146.8341224489796,173.0,0,3.19,0.66,9.3,1
181,7.1,0.34,0.75,1.2,0.053,159.0,183.0,2,3.09,0.43,9.2,0
182,6.8,0.28,2.0,22.0,0.048,148.0,167.0,3,2.93,0.5,8.7,0
186,6.7,0.24,2.46,9.4,0.04,165.0,115.80207972270364,0,3.12,0.61,9.9,1
187,5.9,0.3,1.15,4.2,0.038,148.0,119.0,2,3.15,0.5,11.0,0
188,6.8,0.53,2.8,3.8,0.034,190.0,109.0,1,3.26,0.57,12.7,1
191,7.1831040774234385,0.28,2.0,22.0,0.048,148.0,167.0,3,2.93,0.5,8.7,0
192,6.8,0.28,2.16,8.0,0.045,152.0,123.0,2,3.02,0.37,11.4,1
193,6.6,0.15,1.7,5.1,0.055,132.0,125.0,2,3.36,0.42,9.6,0
194,6.4,0.29,2.2,3.6,0.2,173.0,181.0,2,3.02,0.41,9.1,0
195,6.4,0.3,1.8638096026490105,3.5,0.19699999999999998,200.0,180.0,2,3.02,0.39,9.1,1
196,6.4,0.29,2.2,3.6,0.19699999999999998,173.0,183.0,2,3.01,0.38,9.1,0
200,6.8,0.27,1.3,16.1,0.049,146.8341224489796,196.0,3,3.15,0.5,9.3,0
203,6.8,0.26,2.04,13.9,0.034,159.0,115.80207972270364,0,3.33,0.53,12.0,1
204,5.8,0.28,1.4,5.443836575875507,0.053,116.0,114.0,2,3.28,0.5,10.2,0
205,6.4,0.21,2.5,11.6,0.042,145.0,153.0,3,3.15,0.43,8.8,0
206,7.0,0.16,1.6,8.3,0.045,136.0,126.0,0,3.21,0.34,9.2,0
207,10.2,0.44,3.52,6.2,0.049,146.8341224489796,124.0,0,2.99,0.51,9.9,0
208,6.8,0.57,1.45,2.2,0.04,113.0,77.0,2,3.32,0.74,10.2,0
209,6.1,0.4,1.86,0.9,0.048,143.0,170.0,2,3.22,0.77,9.5,1
210,5.6,0.245,1.25,9.7,0.032,110.0,68.0,2,3.31,0.34,10.5,0
211,6.8,0.18,2.66,1.4,0.038,171.0,111.0,1,3.32,0.59,11.2,1
212,7.0,0.16,1.6,8.3,0.045,136.0,126.0,0,3.21,0.34,9.2,0
213,6.7,0.13,1.74,5.3,0.051,149.0,122.0,2,3.44,0.37,9.7,1
214,6.2,0.25,1.75,1.4,0.03,146.8341224489796,105.0,1,3.3,0.44,11.1,1
215,5.8,0.26,1.2,9.2,0.044000000000000004,153.0,152.0,0,3.31,0.38,9.4,0
216,7.5,0.27,1.8,7.0,0.036000000000000004,143.0,164.0,2,3.03,0.33,11.0,0
217,5.8,0.26,1.2,9.2,0.044000000000000004,151.0,115.80207972270364,0,3.31,0.38,9.4,0
218,5.7,0.28,1.2,17.5,0.044000000000000004,160.0,167.0,3,3.31,0.44,9.4,0
219,7.5,0.23,1.8,7.0,0.036000000000000004,141.0,161.0,2,3.04,0.32,11.0,0
220,7.5,0.27,1.8,7.0,0.036000000000000004,147.0,164.0,2,3.03,0.33,11.0,0
221,7.2,0.685,1.8638096026490105,9.5,0.07,149.0,172.0,3,3.0,0.55,9.1,1
222,6.2,0.25,1.75,1.4,0.03,173.0,115.80207972270364,1,3.3,0.44,11.1,1
223,6.5,0.19,1.8,0.8,0.043,155.0,144.0,2,3.42,0.39,9.1,1
224,6.3,0.495,1.32,1.8,0.046,146.8341224489796,140.0,2,3.39,0.54,10.4,1
225,7.1,0.24,2.05,17.8,0.046,137.0,145.0,3,3.32,0.39,8.7,0
229,7.1,0.24,2.05,17.8,0.046,143.0,145.0,3,3.32,0.39,8.7,0
230,6.8,0.64,0.32,9.7,0.062,104.0,115.80207972270364,3,3.37,0.46,8.9,0
231,8.3,0.28,2.4,7.8,0.040999999999999995,160.0,194.0,3,3.34,0.51,9.6,1
233,7.2,0.23,2.28,14.3,0.057999999999999996,146.8341224489796,194.0,3,3.09,0.44,9.0,1
234,7.2,0.23,2.28,14.3,0.057999999999999996,177.0,194.0,3,3.09,0.44,9.0,1
235,7.2,0.23,2.28,14.3,0.057999999999999996,171.0,194.0,3,3.09,0.44,9.0,1
236,7.2,0.23,2.28,14.3,0.057999999999999996,175.0,194.0,3,3.09,0.44,9.0,1
238,7.0,0.26,4.13,1.4,0.037000000000000005,178.0,120.0,1,3.34,0.41,11.1,1
239,7.1831040774234385,0.25,1.26,15.55,0.039,154.0,159.0,3,3.48,0.64,9.6,1
240,7.1831040774234385,0.32,1.15,13.7,0.05,143.0,115.80207972270364,3,3.2,0.46,8.7,0
241,7.7,0.31,1.3,7.8,0.031,123.0,90.0,2,3.13,0.5,10.4,0
242,7.1,0.21,2.59,2.4,0.026000000000000002,163.0,100.0,1,3.15,0.38,11.4,1
244,6.9,0.4,2.8,11.2,0.043,140.0,142.0,3,3.14,0.46,8.7,0
246,6.8,0.21,1.89,2.1,0.03,166.0,139.0,1,3.16,0.61,12.6,1
247,5.8,0.2,1.89,1.4,0.031,152.0,77.0,1,3.25,0.36,10.9,1
248,5.6,0.19,1.82,1.4,0.03,148.0,76.0,1,3.25,0.37,10.9,1
249,6.1,0.41,0.7,10.4,0.037000000000000005,122.0,119.0,0,3.38,0.45,10.0,0
250,5.9,0.21,1.12,4.6,0.053,124.0,199.0,0,3.72,0.7,10.0,0
251,8.5,0.26,0.63,16.2,0.07400000000000001,103.0,115.80207972270364,3,3.02,0.5,9.8,0
252,6.9,0.4,2.8,11.2,0.043,144.0,142.0,3,3.14,0.46,8.7,0
253,5.8,0.24,1.32,3.5,0.028999999999999998,63.0,109.0,1,3.53,0.43,11.7,0
254,5.8,0.24,2.34,1.5,0.054000000000000006,159.0,158.0,2,3.21,0.52,9.3,1
255,6.7,0.26,3.12,1.1,0.04,203.0,147.0,2,3.32,0.58,9.6,1
256,6.3,0.35,2.1,5.7,0.035,148.0,97.0,2,3.27,0.41,11.0,1
257,6.3,0.35,2.1,5.7,0.035,144.0,97.0,2,3.27,0.41,11.0,1
258,6.4,0.23,2.34,1.8,0.032,139.0,115.80207972270364,1,3.32,0.5,11.8,1
259,5.8,0.36,1.52,0.9,0.037000000000000005,85.0,75.0,1,3.28,0.34,11.4,0
260,7.1831040774234385,0.115,2.1,5.4,0.048,156.0,108.0,2,3.32,0.42,10.2,1
261,6.9,0.29,2.0,19.45,0.043,138.0,156.0,3,2.93,0.47,8.9,0
262,6.9,0.28,1.8638096026490105,8.2,0.036000000000000004,113.0,95.0,2,3.17,0.33,10.2,0
264,6.2,0.24,2.1,1.2,0.038,142.0,115.80207972270364,1,3.1,0.48,10.6,1
265,6.9,0.29,2.0,19.45,0.043,138.0,156.0,3,2.93,0.47,8.9,0
266,6.9,0.32,1.56,8.3,0.053,146.8341224489796,180.0,0,3.25,0.51,9.2,1
267,5.3,0.58,0.35,6.9,0.043,132.0,149.0,2,3.34,0.57,9.7,0
268,5.3,0.585,0.42,7.1,0.044000000000000004,152.0,145.0,2,3.34,0.57,9.7,1
269,5.4,0.59,0.42,7.0,0.045,156.0,115.80207972270364,2,3.34,0.57,9.7,1
270,6.9,0.32,1.56,8.3,0.053,150.0,180.0,0,3.25,0.51,9.2,1
271,5.2,0.6,0.35,7.0,0.044000000000000004,131.0,147.0,2,3.33,0.58,9.7,0
272,5.8,0.25,1.3,13.1,0.051,148.0,148.0,3,3.29,0.38,9.3,0
273,6.6,0.58,1.5,5.1,0.057,130.0,123.0,0,3.24,0.38,9.0,0
275,6.6,0.19,2.46,8.9,0.046,171.0,169.0,0,3.14,0.57,9.8,1
276,6.7,0.2,2.46,9.1,0.044000000000000004,168.0,166.0,0,3.14,0.58,9.8,1
277,7.7,0.26,2.0,1.1,0.042,109.0,115.80207972270364,1,2.89,0.5,10.6,0
278,6.8,0.32,1.36,1.2,0.044000000000000004,96.0,67.0,1,3.05,0.47,10.6,0
279,7.0,0.3,3.43,4.7,0.036000000000000004,153.0,105.0,1,3.26,0.68,12.4,1
280,7.0,0.24,2.88,2.8,0.034,178.0,112.0,1,3.19,0.38,12.6,1
281,6.1,0.31,4.64,5.0,0.039,198.0,114.0,1,3.3,0.6,12.3,1
283,6.7,0.34,1.5,15.6,0.054000000000000006,149.0,196.0,3,3.19,0.49,9.3,0
285,7.3,0.32,1.25,7.2,0.055999999999999994,149.0,180.0,0,3.08,0.47,8.8,0
286,6.5,0.28,1.98,15.7,0.053,171.0,115.80207972270364,3,3.22,0.51,9.7,1
287,7.2,0.23,2.73,14.2,0.057999999999999996,187.0,192.0,3,2.98,0.48,9.0,1
288,7.1831040774234385,0.23,2.73,14.2,0.057999999999999996,187.0,192.0,3,2.98,0.48,9.0,1
289,7.2,0.23,2.73,14.2,0.057999999999999996,189.0,115.80207972270364,3,2.98,0.48,9.0,1
290,7.2,0.23,2.73,14.2,0.057999999999999996,191.0,115.80207972270364,3,2.98,0.48,9.0,1
291,5.9,0.15,1.86,5.8,0.040999999999999995,167.0,155.0,2,3.52,0.46,10.5,1
292,7.4,0.28,2.1,19.8,0.066,147.0,195.0,3,2.96,0.44,9.1,0
293,7.1831040774234385,0.28,1.54,7.3,0.040999999999999995,166.0,157.0,0,3.44,0.64,9.8,1
294,9.1,0.59,1.14,1.6,0.066,94.0,182.0,0,3.23,0.38,8.5,0
295,6.3,0.33,1.62,1.2,0.046,152.0,175.0,2,3.37,0.54,9.4,1
296,8.3,0.39,3.5,10.6,0.045,135.0,115.80207972270364,3,3.09,0.57,9.4,0
297,7.2,0.19,3.22,3.8,0.040999999999999995,222.0,187.0,2,3.19,0.6,11.2,1
298,7.5,0.17,2.64,11.3,0.046,183.0,146.0,3,3.17,0.45,10.0,1
299,6.7,0.17,3.0,2.1,0.043,147.0,122.0,1,3.15,0.45,10.3,1
300,6.1,0.41,0.0,1.6,0.063,152.0,87.0,1,3.27,0.67,10.8,1
301,8.3,0.2,2.1,0.9,0.05,130.0,74.0,1,3.13,0.38,10.5,1
302,6.1,0.41,0.0,1.6,0.063,158.0,87.0,1,3.27,0.67,10.8,1
303,6.0,0.29,1.26,1.3,0.055,164.0,168.0,1,3.32,0.43,11.1,1
304,7.3,0.41,1.44,6.8,0.057,161.0,163.0,0,3.2,0.41,9.9,1
305,7.3,0.41,1.44,6.8,0.057,157.0,163.0,0,3.2,0.41,9.9,1
306,7.2,0.43,1.2,6.7,0.057999999999999996,140.0,115.80207972270364,0,3.2,0.41,9.9,0
307,7.3,0.4,1.44,6.7,0.057999999999999996,165.0,166.0,0,3.2,0.41,9.9,1
308,6.2,0.33,1.89,4.9,0.036000000000000004,166.0,134.0,2,3.2,0.42,10.4,1
309,6.2,0.31,1.56,4.8,0.037000000000000005,154.0,148.0,2,3.21,0.41,10.4,1
310,6.1,0.36,1.8638096026490105,2.1,0.035,156.0,100.0,1,3.4,0.71,11.5,1
311,5.0,0.55,1.8638096026490105,8.3,0.032,195.0,164.0,1,3.53,0.51,12.5,1
312,7.8,0.25,2.46,3.7,0.042,157.0,149.0,0,3.36,0.45,10.0,1
313,5.7,0.36,1.26,6.7,0.038,167.0,166.0,2,3.29,0.63,10.0,1
314,5.8,0.34,1.05,6.6,0.04,150.0,167.0,2,3.29,0.62,10.0,0
315,6.8,0.28,3.6,1.1,0.132,162.0,127.0,2,3.09,0.44,9.1,1
316,6.8,0.25,2.04,4.7,0.031,154.0,134.0,2,3.21,0.38,10.6,1
317,6.6,0.24,1.75,7.7,0.031,132.0,135.0,2,3.19,0.37,10.5,0
318,5.9,0.3,3.29,7.85,0.03,157.0,133.0,2,3.52,0.43,11.5,1
320,6.0,0.1,1.68,1.1,0.040999999999999995,153.0,65.0,2,3.61,0.61,10.3,1
321,6.6,0.24,1.75,7.7,0.031,136.0,115.80207972270364,2,3.19,0.37,10.5,0
322,6.8,0.25,2.04,4.7,0.031,150.0,134.0,2,3.21,0.38,10.6,1
323,6.8,0.28,2.64,9.3,0.031,159.0,137.0,2,3.16,0.36,10.4,1
