,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
32,Male,No,19.0,No,Healthcare,1.0,Low,3.0,2.0,-0.9079999999999999,1.804,9.454,8.877,D
33,Male,No,26.0,No,Homemaker,9.0,Low,3.0,6.0,7.212000000000001,6.899,5.455,5.702999999999999,D
35,Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,1.0,8.351,9.551,2.622,10.890999999999998,D
36,Male,No,32.0,No,Doctor,5.0,Low,1.0,4.0,8.689,4.019,7.627999999999999,1.148,D
37,Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,3.0,7.707000000000001,2.855,7.809,3.727,D
38,Female,Yes,28.0,Yes,Artist,8.0,Low,2.0,6.0,4.93,2.14,6.506,6.204,A
40,Female,No,47.0,Yes,Artist,4.0,Low,1.0,6.0,4.518,2.471,-0.496,2.944,B
41,Female,No,22.0,No,Healthcare,0.0,Low,2.0,6.0,10.895,10.668,9.072000000000001,-0.45,D
42,Female,No,27.0,Yes,Artist,14.0,Low,3.0,6.0,6.629,3.495,2.3680000000000003,2.259,A
44,Male,Yes,40.0,No,Engineer,8.0,Low,1.0,6.0,5.757999999999999,2.281,7.683,3.9560000000000004,A
45,Female,Yes,79.0,No,Lawyer,1.0,High,2.0,6.0,2.798,5.37,2.385,-0.14800000000000002,A
46,Male,Yes,41.0,Yes,Artist,0.0,Average,4.0,4.0,2.585,3.972,3.605,2.185,B
47,Female,No,29.0,Yes,Healthcare,1.0,Low,1.0,7.0,5.747999999999999,1.06,4.9239999999999995,2.167,A
48,Male,No,19.0,No,Healthcare,0.0,Low,4.0,6.0,12.274000000000001,-4.841,8.24,2.885,D
50,Female,Yes,61.0,No,Artist,1.0,Average,2.0,2.0,-1.442,-0.146,2.102,-0.684,B
51,Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,6.0,19.754,18.425,10.135,10.774000000000001,C
53,Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,6.0,15.902999999999999,7.546,16.953,2.783,C
55,Male,Yes,32.0,Yes,Artist,1.0,Average,2.0,6.0,4.093,-1.4680000000000002,-0.067,1.141,B
56,Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,6.0,6.521,10.315,7.421,11.157,D
59,Male,Yes,72.0,Yes,Lawyer,1.0,Low,3.0,4.0,5.6370000000000005,1.473,7.952999999999999,-1.107,D
60,Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,6.0,7.376,6.484,10.26,2.748,C
61,Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,1.0,9.138,10.940999999999999,10.307,5.3629999999999995,C
62,Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,6.0,13.062000000000001,6.04,12.679,11.808,D
63,Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,6.0,8.468,2.233,3.016,7.564,A
64,Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,6.0,8.024,8.226,3.855,4.657,A
65,Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,6.0,11.298,8.623,3.6519999999999997,-0.5529999999999999,A
66,Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,6.0,5.09,3.782,3.4619999999999997,2.057,A
67,Male,No,27.0,No,Artist,8.0,Low,4.0,6.0,5.4239999999999995,3.005,1.631,1.642,A
68,Male,Yes,57.0,Yes,Artist,0.0,Average,4.0,6.0,5.659,0.32799999999999996,6.756,1.555,B
69,Female,Yes,39.0,Yes,Homemaker,1.0,High,2.0,6.0,7.171,2.485,3.053,4.446000000000001,A
70,Male,Yes,27.0,Yes,Healthcare,8.0,Low,2.0,6.0,8.847999999999999,2.824,8.682,7.074,D
71,Female,Yes,51.0,Yes,Entertainment,8.0,Average,2.0,6.0,5.901,5.477,3.6,3.801,A
72,Female,Yes,47.0,No,Artist,0.0,Average,5.0,6.0,2.084,1.851,3.497,1.4980000000000002,B
73,Female,No,33.0,No,Healthcare,8.0,Low,4.0,6.0,17.194000000000003,2.986,8.541,6.454,D
74,Male,Yes,56.0,Yes,Artist,0.0,Average,4.0,6.0,12.642000000000001,3.7939999999999996,8.077,6.108,C
75,Female,No,33.0,No,Homemaker,0.0,Low,3.0,6.0,5.394,-1.479,1.216,4.5680000000000005,B
76,Female,No,36.0,Yes,Doctor,0.0,Low,2.0,6.0,8.736,0.7709999999999999,7.471,4.992,D
77,Male,Yes,51.0,No,Artist,1.0,Low,3.0,4.0,6.246,5.973,7.617999999999999,-1.751,A
78,Male,Yes,45.0,Yes,Engineer,2.0,Average,2.0,6.0,19.369,9.949,2.386,9.257,C
80,Male,No,30.0,No,Healthcare,0.0,Low,4.0,6.0,18.7,14.269,9.713,4.433,C
81,Female,No,26.0,No,Healthcare,6.0,Low,3.0,5.0,9.074,3.346,4.7860000000000005,9.818,D
82,Male,Yes,63.0,Yes,Artist,8.0,Low,1.0,6.0,5.468,3.15,3.5780000000000003,7.02,A
84,Female,No,19.0,No,Marketing,1.0,Low,3.0,4.0,8.389,3.3480000000000003,3.625,3.516,A
85,Male,No,32.0,No,Healthcare,7.0,Low,5.0,6.0,2.56,6.882999999999999,6.785,3.8789999999999996,D
86,Male,Yes,52.0,Yes,Artist,0.0,Average,3.0,6.0,7.822,4.7219999999999995,7.88,11.804,C
87,Female,Yes,36.0,Yes,Artist,5.0,Low,2.0,6.0,7.809,6.004,3.717,10.109,C
88,Female,No,42.0,No,Entertainment,7.0,Low,3.0,4.0,5.71,2.843,8.982000000000001,7.15,D
89,Male,Yes,40.0,No,Doctor,0.0,Average,2.0,3.0,14.257,2.775,7.721,10.844000000000001,D
90,Male,No,39.0,Yes,Entertainment,0.0,Low,3.0,1.0,1.8969999999999998,0.5579999999999999,-2.408,2.985,B
91,Female,Yes,47.0,Yes,Artist,1.0,Average,4.0,3.0,13.945,14.444,6.577000000000001,7.617000000000001,C
92,Female,Yes,61.0,Yes,Artist,1.0,High,2.0,6.0,13.532,3.62,22.531999999999996,6.233,C
93,Male,Yes,32.0,No,Entertainment,1.0,Low,2.0,3.0,6.273,8.719,9.856,2.5869999999999997,D
94,Male,Yes,55.0,No,Artist,0.0,Low,1.0,6.0,0.5589999999999999,-0.669,0.787,1.161,B
95,Male,Yes,58.0,Yes,Artist,1.0,Average,1.0,6.0,9.98,7.296,2.303,6.45,D
96,Female,No,38.0,Yes,Artist,0.0,Low,1.0,6.0,8.53,0.72,11.123,1.6769999999999998,D
97,Male,Yes,63.0,Yes,Artist,0.0,High,2.0,6.0,12.55,13.232000000000001,13.388,7.183,C
98,Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0,6.0,9.505,1.964,10.263,9.503,C
99,Male,Yes,30.0,No,Engineer,3.0,Average,3.0,4.0,6.535,4.706,8.762,11.617,D
100,Male,Yes,60.0,Yes,Artist,0.0,Average,4.0,6.0,12.325,2.3819999999999997,10.219,8.793,C
101,Male,Yes,68.0,No,Executive,1.0,High,7.0,6.0,3.0980000000000003,6.867000000000001,-0.01,7.705,B
102,Male,Yes,52.0,No,Artist,0.0,Low,3.0,4.0,5.63,1.446,7.047999999999999,0.8390000000000001,A
104,Female,Yes,35.0,Yes,Healthcare,10.0,Low,2.0,6.0,-1.528,2.964,4.988,6.311,B
105,Male,No,18.0,No,Doctor,1.0,Low,2.0,6.0,15.318,2.911,11.495,3.885,D
106,Male,Yes,30.0,Yes,Homemaker,3.0,Low,2.0,1.0,10.841,6.19,6.629,6.08,D
107,Male,No,86.0,No,Lawyer,1.0,Low,1.0,6.0,6.013999999999999,5.607,6.077000000000001,5.0360000000000005,D
109,Male,No,43.0,No,Healthcare,9.0,Low,3.0,6.0,3.714,0.001,8.275,0.187,D
110,Male,Yes,43.0,Yes,Entertainment,1.0,Low,4.0,4.0,5.278,3.957,3.71,4.46,A
111,Female,No,39.0,Yes,Artist,0.0,Low,1.0,6.0,9.633,4.171,5.622999999999999,1.0859999999999999,A
112,Female,Yes,50.0,Yes,Doctor,1.0,Low,3.0,6.0,-3.117,6.561,3.424,4.689,B
113,Male,No,47.0,Yes,Artist,1.0,Low,1.0,6.0,14.57,12.247,14.342,9.552,C
114,Male,Yes,43.0,Yes,Executive,0.0,High,3.0,6.0,9.372,11.481,3.415,9.963,D
115,Male,Yes,36.0,No,Executive,8.0,Average,4.0,1.0,3.8169999999999997,2.552,5.402,5.457000000000001,B
116,Male,Yes,80.0,No,Lawyer,1.0,Low,1.0,6.0,3.278,2.659,6.697,5.414,D
119,Female,Yes,43.0,Yes,Artist,1.0,High,2.0,7.0,7.051,3.318,3.955,4.94,A
120,Male,Yes,46.0,Yes,Executive,0.0,High,3.0,6.0,5.206,1.4569999999999999,7.399,7.952999999999999,C
121,Male,Yes,55.0,No,Executive,1.0,High,4.0,3.0,6.711,5.263999999999999,2.063,-0.987,B
122,Female,Yes,47.0,No,Engineer,9.0,Average,4.0,4.0,1.092,-0.705,0.207,1.119,B
123,Female,No,28.0,Yes,Healthcare,1.0,Low,3.0,3.0,13.225999999999999,4.176,8.09,8.955,D
124,Male,Yes,39.0,No,Entertainment,9.0,Low,2.0,3.0,13.870999999999999,8.853,7.615,2.46,D
125,Female,Yes,27.0,No,Marketing,1.0,Low,2.0,6.0,7.521,6.065,3.8310000000000004,4.398,A
126,Female,Yes,42.0,No,Engineer,0.0,Low,3.0,6.0,2.2359999999999998,3.512,1.236,6.335,A
129,Male,No,35.0,Yes,Entertainment,8.0,Low,5.0,6.0,16.113,6.617999999999999,5.736000000000001,8.294,C
130,Male,Yes,39.0,Yes,Executive,9.0,High,5.0,2.0,4.113,7.34,8.026,2.7510000000000003,A
131,Female,Yes,69.0,Yes,Lawyer,0.0,High,2.0,6.0,20.62,5.266,18.636,5.932,C
132,Male,No,18.0,No,Healthcare,6.0,Low,4.0,4.0,13.51,9.067,7.362,5.7170000000000005,D
133,Male,Yes,46.0,Yes,Artist,1.0,Low,1.0,6.0,3.6660000000000004,3.952,3.1719999999999997,3.109,A
134,Female,Yes,50.0,Yes,Engineer,1.0,High,2.0,4.0,1.604,-2.804,-6.528,2.291,B
135,Male,No,30.0,No,Executive,5.0,Low,5.0,6.0,4.504,3.005,0.124,4.127,A
136,Female,No,41.0,No,Artist,1.0,Low,2.0,6.0,2.588,-0.327,3.1919999999999997,7.372999999999999,B
137,Female,No,39.0,Yes,Artist,3.0,Low,4.0,6.0,16.988,6.106,10.005,8.531,D
138,Female,No,29.0,No,Marketing,8.0,Low,4.0,6.0,9.033,-0.221,8.617,7.053999999999999,D
139,Female,Yes,37.0,Yes,Artist,4.0,Low,4.0,5.0,-0.484,7.164,3.5410000000000004,4.303,B
140,Female,Yes,39.0,Yes,Engineer,0.0,Average,2.0,6.0,5.513999999999999,2.13,3.77,1.554,A
141,Female,Yes,48.0,Yes,Artist,0.0,Average,5.0,7.0,14.341,8.603,3.417,6.273,C
142,Female,No,32.0,Yes,Doctor,0.0,Low,3.0,6.0,9.402000000000001,11.049000000000001,11.959000000000001,12.436,C
143,Male,Yes,78.0,No,Lawyer,1.0,Low,3.0,6.0,8.459,3.6839999999999997,2.946,-0.42100000000000004,B
145,Male,No,29.0,No,Marketing,8.0,Low,5.0,6.0,14.524000000000001,12.867,14.495,8.869,C
147,Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,6.0,2.211,6.678,-4.534,-1.54,B
148,Female,No,28.0,Yes,Healthcare,7.0,Low,4.0,6.0,1.3940000000000001,4.987,5.327000000000001,10.027000000000001,D
149,Male,Yes,71.0,Yes,Artist,6.0,Average,3.0,6.0,8.613999999999999,14.140999999999998,10.761,0.027999999999999997,C
150,Male,Yes,67.0,No,Lawyer,0.0,High,9.0,4.0,7.422000000000001,5.245,4.771,4.715,A
151,Female,No,26.0,No,Engineer,0.0,Low,1.0,2.0,9.118,7.808,3.53,3.863,A
152,Female,Yes,47.0,Yes,Engineer,0.0,Average,2.0,6.0,13.38,11.038,14.235999999999999,9.872,C
153,Female,Yes,43.0,Yes,Artist,2.0,Average,2.0,6.0,4.121,-0.135,1.574,4.836,B
154,Female,No,27.0,Yes,Healthcare,0.0,Low,4.0,6.0,10.644,11.583,10.845999999999998,10.205,C
156,Male,Yes,76.0,No,Executive,1.0,Low,1.0,6.0,18.639,11.432,13.083,1.02,C
157,Female,Yes,43.0,Yes,Artist,3.0,Average,4.0,6.0,14.89,1.599,9.292,8.016,C
158,Female,Yes,78.0,Yes,Lawyer,1.0,High,2.0,6.0,-0.406,0.17,0.426,4.888,B
159,Male,Yes,35.0,Yes,Artist,3.0,Average,3.0,6.0,12.318,19.408,13.722999999999999,14.606,C
160,Female,No,49.0,Yes,Artist,1.0,Low,1.0,6.0,16.519000000000002,7.148,5.087,3.1689999999999996,C
162,Male,Yes,37.0,No,Executive,0.0,Average,5.0,6.0,5.9510000000000005,2.2969999999999997,5.113,1.675,A
164,Male,Yes,60.0,Yes,Doctor,0.0,Average,2.0,6.0,6.007000000000001,15.905999999999999,16.987000000000002,6.0760000000000005,C
165,Female,Yes,45.0,Yes,Artist,5.0,Average,3.0,6.0,14.295,9.042,12.138,10.965,C
166,Female,Yes,49.0,Yes,Homemaker,9.0,Average,3.0,6.0,6.864,8.809,1.767,14.466,C
167,Male,No,32.0,Yes,Artist,0.0,Low,5.0,6.0,11.062999999999999,6.86,9.523,8.889,D
169,Male,Yes,59.0,No,Artist,2.0,Average,2.0,4.0,18.668,8.607000000000001,11.218,4.3469999999999995,C
170,Male,Yes,48.0,Yes,Artist,3.0,Low,5.0,6.0,-0.621,5.006,-0.502,2.835,B
171,Male,Yes,82.0,Yes,Executive,0.0,High,2.0,6.0,15.054,6.432,7.816,7.492999999999999,C
172,Female,Yes,70.0,Yes,Lawyer,0.0,Low,2.0,6.0,-0.433,9.387,2.332,4.555,B
173,Male,No,31.0,Yes,Artist,5.0,Low,2.0,6.0,3.617,0.154,-2.3369999999999997,4.3469999999999995,B
174,Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0,6.0,19.517,3.59,8.096,4.474,C
175,Male,Yes,50.0,Yes,Artist,3.0,Average,4.0,6.0,9.425,11.54,11.475,1.49,C
176,Female,No,23.0,No,Engineer,11.0,Low,1.0,3.0,5.324,1.493,8.785,9.59,D
177,Female,No,20.0,No,Healthcare,2.0,Low,6.0,6.0,3.69,9.247,12.700999999999999,4.0760000000000005,D
178,Female,No,22.0,No,Healthcare,4.0,Low,3.0,6.0,13.046,7.795,7.007999999999999,9.494,D
179,Female,No,31.0,Yes,Engineer,8.0,Low,1.0,6.0,5.617000000000001,4.64,4.062,-0.665,A
181,Male,Yes,52.0,No,Entertainment,1.0,Average,5.0,4.0,4.165,4.842,-4.026,3.662,B
182,Female,No,29.0,Yes,Artist,1.0,Low,1.0,4.0,4.112,-3.9139999999999997,-4.876,2.497,B
183,Male,Yes,40.0,Yes,Artist,4.0,Average,4.0,6.0,13.125,10.370999999999999,6.266,9.21,C
184,Female,No,40.0,Yes,Artist,1.0,Low,1.0,6.0,2.363,4.105,3.3689999999999998,1.983,A
185,Male,Yes,38.0,Yes,Artist,1.0,Low,2.0,6.0,2.22,8.46,15.247,2.214,C
187,Female,No,21.0,No,Doctor,1.0,Low,3.0,7.0,8.634,3.255,5.521,5.016,A
188,Female,Yes,43.0,No,Engineer,4.0,Average,2.0,6.0,9.001,5.465,6.047000000000001,2.356,D
189,Male,Yes,40.0,Yes,Artist,0.0,Low,2.0,6.0,3.585,3.032,-5.251,1.787,B
190,Male,Yes,53.0,Yes,Artist,1.0,Average,3.0,6.0,5.818,3.97,2.8810000000000002,9.927,B
191,Female,Yes,42.0,Yes,Artist,5.0,Low,2.0,6.0,19.054000000000002,17.683,18.121,11.01,C
192,Male,Yes,42.0,No,Executive,8.0,Low,2.0,6.0,14.245999999999999,5.251,12.38,9.235,D
193,Male,Yes,48.0,Yes,Artist,1.0,Average,4.0,7.0,10.655,11.618,12.93,14.231,C
194,Male,Yes,59.0,Yes,Artist,7.0,Low,2.0,6.0,14.046,8.972999999999999,14.2,7.167999999999999,C
195,Male,Yes,41.0,Yes,Executive,1.0,Average,3.0,6.0,5.791,4.729,1.788,2.175,A
196,Female,Yes,31.0,Yes,Artist,0.0,Average,2.0,6.0,7.605,0.7,-0.423,3.3930000000000002,A
197,Female,Yes,49.0,Yes,Artist,1.0,High,5.0,6.0,2.512,-1.375,0.8390000000000001,6.796,B
198,Male,Yes,67.0,Yes,Executive,1.0,Low,2.0,6.0,6.978,3.435,8.391,5.022,A
199,Male,Yes,35.0,No,Artist,4.0,Average,2.0,6.0,3.2460000000000004,4.408,0.755,2.2769999999999997,B
200,Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,6.0,9.829,13.522,13.925,15.472000000000001,C
202,Female,Yes,25.0,No,Engineer,6.0,Average,8.0,4.0,9.994,3.085,12.694,3.825,D
203,Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,6.0,7.885,-0.102,1.895,3.803,A
206,Female,No,23.0,No,Healthcare,0.0,Low,3.0,3.0,4.999,1.383,9.032,6.827999999999999,D
207,Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,6.0,12.288,10.4,2.365,1.558,C
208,Male,No,33.0,Yes,Doctor,0.0,Low,2.0,6.0,6.767,2.2159999999999997,-2.685,6.0,B
209,Female,Yes,50.0,No,Engineer,1.0,Average,4.0,2.0,10.614,3.2310000000000003,-2.8339999999999996,2.371,B
212,Female,No,20.0,No,Marketing,3.0,Low,4.0,7.0,10.198,15.540999999999999,11.105,5.529,C
214,Female,Yes,43.0,Yes,Doctor,1.0,Average,4.0,6.0,15.345999999999998,4.001,15.497,16.034000000000002,C
215,Male,No,18.0,No,Healthcare,0.0,Low,3.0,3.0,11.940999999999999,-1.5630000000000002,9.533,-0.645,D
217,Male,Yes,25.0,No,Doctor,1.0,Average,2.0,4.0,4.895,3.4789999999999996,2.017,2.477,B
218,Male,Yes,56.0,No,Executive,1.0,High,2.0,6.0,9.257,4.3919999999999995,-0.132,4.654,A
221,Male,Yes,28.0,Yes,Engineer,0.0,Average,2.0,6.0,3.2319999999999998,0.9440000000000001,1.829,1.974,A
222,Female,No,28.0,Yes,Artist,7.0,Low,3.0,6.0,3.799,3.048,5.047,3.366,A
223,Male,No,20.0,No,Healthcare,0.0,Low,5.0,7.0,9.001,-3.0180000000000002,9.888,12.212,D
224,Female,No,27.0,No,Homemaker,1.0,Low,1.0,3.0,9.818,8.197000000000001,7.728,3.8539999999999996,D
226,Male,Yes,45.0,Yes,Artist,4.0,Average,4.0,6.0,-1.499,0.335,4.797,7.631,B
227,Male,No,25.0,Yes,Healthcare,1.0,Low,4.0,4.0,1.329,0.27,0.625,2.262,B
228,Male,No,40.0,No,Marketing,1.0,Low,1.0,4.0,4.712,5.459,3.72,1.732,D
229,Female,Yes,25.0,Yes,Healthcare,1.0,Low,2.0,6.0,16.750999999999998,4.427,12.575,9.315,D
230,Female,Yes,74.0,No,Lawyer,1.0,High,2.0,6.0,11.915,-2.2969999999999997,4.133,9.17,D
232,Female,Yes,67.0,Yes,Lawyer,0.0,High,2.0,6.0,5.556,2.164,0.6779999999999999,8.911,B
234,Female,No,38.0,Yes,Artist,9.0,Low,1.0,3.0,5.949,4.091,6.2379999999999995,6.059,A
235,Male,No,28.0,No,Healthcare,0.0,Low,4.0,2.0,10.794,7.242000000000001,20.843000000000004,6.506,C
238,Female,Yes,56.0,No,Lawyer,1.0,High,4.0,4.0,4.36,5.341,-1.423,3.0869999999999997,B
239,Female,Yes,53.0,Yes,Artist,1.0,Low,2.0,6.0,9.774,4.263999999999999,11.275,3.513,C
240,Male,Yes,57.0,No,Executive,1.0,High,5.0,6.0,17.117,10.213,13.583,2.674,C
241,Female,Yes,59.0,Yes,Artist,0.0,Average,3.0,6.0,9.368,10.453,6.994,1.5319999999999998,C
243,Male,Yes,59.0,Yes,Artist,0.0,Average,6.0,6.0,9.676,-1.91,7.182,10.968,C
244,Female,Yes,36.0,Yes,Artist,0.0,Low,4.0,6.0,10.562000000000001,7.468,8.193999999999999,5.3420000000000005,C
245,Male,Yes,37.0,Yes,Entertainment,7.0,Low,2.0,6.0,2.576,3.127,3.4360000000000004,3.1510000000000002,A
246,Male,No,22.0,No,Doctor,1.0,Low,3.0,2.0,2.3930000000000002,9.961,9.488999999999999,1.29,D
247,Male,Yes,43.0,Yes,Artist,1.0,Low,2.0,6.0,3.435,-1.306,-1.083,6.773,B
248,Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,4.0,6.056,6.167000000000001,1.896,4.308,A
249,Female,No,21.0,No,Engineer,0.0,Low,5.0,2.0,3.42,4.61,7.082000000000001,4.276,B
250,Female,No,49.0,No,Engineer,1.0,Low,3.0,7.0,7.845,3.543,4.124,2.7119999999999997,A
251,Male,No,38.0,Yes,Doctor,8.0,Low,1.0,2.0,7.287000000000001,-0.005,-1.5130000000000001,3.37,B
253,Male,Yes,70.0,Yes,Lawyer,1.0,High,3.0,6.0,11.356,18.435,4.229,-2.231,C
255,Female,Yes,82.0,No,Lawyer,0.0,Average,2.0,6.0,6.787999999999999,4.928999999999999,3.667,0.44,A
256,Female,Yes,51.0,No,Executive,1.0,Low,1.0,6.0,7.811,2.864,6.428999999999999,5.697,A
257,Female,No,42.0,No,Homemaker,11.0,Low,3.0,6.0,4.566,4.227,2.311,5.256,A
258,Male,No,38.0,Yes,Artist,8.0,Low,3.0,2.0,4.466,7.151,4.9910000000000005,4.243,A
259,Male,Yes,18.0,No,Executive,0.0,High,4.0,6.0,7.496,1.1420000000000001,4.97,2.7460000000000004,A
261,Female,No,46.0,Yes,Doctor,1.0,Low,3.0,3.0,7.961,3.023,6.32,4.9830000000000005,A
262,Female,Yes,72.0,No,Lawyer,1.0,High,3.0,6.0,15.081,6.341,5.107,15.324000000000002,D
263,Female,No,33.0,No,Engineer,1.0,Low,4.0,6.0,15.662,8.745,4.843999999999999,16.382,C
264,Female,No,25.0,No,Homemaker,1.0,Low,7.0,4.0,1.0070000000000001,2.6519999999999997,-3.279,4.423,B
265,Female,Yes,75.0,No,Entertainment,2.0,High,2.0,2.0,8.304,3.135,11.169,13.41,D
266,Male,No,72.0,Yes,Artist,1.0,Low,1.0,6.0,10.925,2.395,1.295,6.903,B
267,Female,Yes,72.0,Yes,Artist,0.0,Average,3.0,4.0,18.034000000000002,-2.184,9.603,11.065999999999999,C
268,Male,Yes,36.0,Yes,Entertainment,6.0,Low,6.0,4.0,7.4879999999999995,7.735,8.168,2.909,A
269,Male,Yes,40.0,Yes,Artist,1.0,Low,2.0,6.0,6.486000000000001,4.181,7.297000000000001,2.7510000000000003,A
270,Female,No,43.0,Yes,Entertainment,0.0,Low,4.0,6.0,20.187,12.01,3.787,-3.228,C
271,Female,No,28.0,Yes,Doctor,0.0,Low,3.0,6.0,7.23,-0.12300000000000001,4.788,12.93,D
274,Female,Yes,35.0,Yes,Artist,1.0,Average,2.0,6.0,2.697,0.08900000000000001,-5.1080000000000005,2.864,B
275,Male,Yes,65.0,Yes,Lawyer,1.0,High,2.0,6.0,-2.752,-0.498,0.43700000000000006,3.275,B
276,Male,Yes,52.0,Yes,Executive,7.0,High,4.0,4.0,14.728,17.281,7.39,-4.127,C
278,Female,Yes,69.0,No,Engineer,9.0,Low,3.0,6.0,2.522,3.035,3.6519999999999997,1.168,A
279,Female,No,22.0,No,Healthcare,3.0,Low,3.0,6.0,4.4830000000000005,9.243,3.7710000000000004,2.7710000000000004,D
280,Male,Yes,47.0,Yes,Executive,1.0,Average,4.0,6.0,6.742000000000001,0.922,12.489,4.5360000000000005,C
281,Male,Yes,29.0,Yes,Marketing,1.0,High,2.0,3.0,9.37,4.852,4.35,2.549,A
282,Male,Yes,46.0,Yes,Artist,1.0,Average,3.0,3.0,15.097000000000001,11.508,1.7480000000000002,7.795,C
285,Male,Yes,59.0,Yes,Artist,0.0,Low,1.0,6.0,1.197,2.6060000000000003,0.32799999999999996,0.629,B
286,Female,No,26.0,Yes,Entertainment,1.0,Low,1.0,6.0,9.046,0.35,3.76,5.962999999999999,D
287,Male,No,26.0,Yes,Healthcare,1.0,Low,2.0,3.0,11.434000000000001,1.5430000000000001,5.752999999999999,9.137,A
