fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
7.4,0.2,2.16,1.2,0.038,160.0,111.0,2.0,3.36,0.34,9.9,6,0.0
6.8,0.3391686330029889,1.44,4.9,0.092,152.0,115.61731664259348,3.0,3.03,0.46,8.6,6,0.0
6.0,0.19,1.56,12.4,0.048,174.0,115.61731664259348,4.0,3.3,0.36,8.9,6,0.0
7.0,0.47,0.35,1.1,0.035,123.0,151.0,1.0,3.02,0.34,10.5,5,0.0
6.6,0.38,0.9,4.6,0.044,147.0,78.0,2.0,3.11,0.38,10.2,6,0.0
7.2,0.24,1.62,1.4,0.038,147.0,122.0,2.0,3.15,0.46,10.3,6,0.0
6.2,0.35,0.15,1.2,0.064,127.0,120.0,2.0,3.22,0.54,9.1,5,0.0
6.4,0.26,1.68,6.4,0.04,165.0,124.0,1.0,3.22,0.49,12.6,7,0.0
6.7,0.25,0.65,1.2,0.041,183.0,174.0,1.0,3.14,0.42,9.8,5,0.0
7.4,0.24,1.45,10.1,0.05,121.0,105.0,3.0,3.13,0.35,9.5,5,0.0
6.2,0.27,2.58,7.8,0.056,166.0,244.0,3.0,3.1,0.51,9.0,6,0.0
6.8,0.3,1.15,4.6,0.061,154.5,238.5,3.0,3.32,0.6,9.5,5,0.0
6.0,0.27,1.4,4.8,0.063,133.0,201.0,3.0,3.69,0.71,10.0,5,0.0
8.6,0.23,2.76,1.0,0.054,133.0,72.0,2.0,2.95,0.49,9.1,6,0.0
7.4,0.24,1.45,10.1,0.05,123.0,105.0,3.0,3.13,0.35,9.5,5,0.0
7.1,0.18,2.52,1.4,0.043,171.0,87.0,1.0,3.26,0.37,12.7,7,0.0
7.0,0.32,2.38,1.3,0.042,162.0,69.0,1.0,3.31,0.65,12.0,7,0.0
7.4,0.18,1.5,8.8,0.064,122.0,103.0,3.0,2.94,0.56,9.3,5,0.0
6.7,0.54,1.4,5.4,0.06,121.0,105.0,3.0,3.27,0.37,9.0,5,0.0
6.8,0.22,1.86,1.4,0.053,152.0,114.0,2.0,3.39,0.77,10.6,6,0.0
7.1,0.2,2.04,16.0,0.05,171.0,166.0,4.0,3.21,0.6,9.2,6,0.0
7.1,0.34,1.0,6.1,0.063,147.0,164.0,2.0,3.17,0.42,10.0,5,0.0
7.3,0.22,1.8,8.2,0.047,160.0,207.0,3.0,3.33,0.46,9.5,6,0.0
7.1,0.43,3.05,11.8,0.045,156.0,155.0,4.0,3.11,0.45,8.7,5,0.0
7.1,0.44,3.72,11.8,0.044,172.0,152.0,4.0,3.12,0.46,8.7,6,0.0
7.2,0.39,3.78,11.0,0.044,173.0,156.0,4.0,3.09,0.44,8.7,6,0.0
6.8,0.25,1.86,13.3,0.05,189.0,202.0,4.0,3.22,0.48,9.7,6,0.0
7.1,0.3391686330029889,3.05,11.8,0.045,150.0,155.0,4.0,3.11,0.45,8.7,5,0.0
7.1,0.44,3.72,11.8,0.044,172.0,152.0,4.0,3.12,0.46,8.7,6,0.0
7.2,0.39,3.78,11.0,0.044,179.0,156.0,4.0,3.09,0.44,8.7,6,0.0
6.1,0.27,2.15,7.5,0.049,163.0,243.0,3.0,3.12,0.47,9.0,5,0.0
6.9,0.24,2.31,1.7,0.035,185.0,136.0,1.0,3.26,0.4,12.6,7,0.0
6.9,0.21,2.31,1.8,0.034,188.0,115.61731664259348,1.0,3.25,0.41,12.6,7,0.0
7.5,0.17,2.24,1.7,0.04,195.0,148.0,1.0,3.21,0.44,11.5,7,0.0
7.1,0.26,1.74,12.4,0.044,178.0,240.0,3.0,3.04,0.42,9.2,6,0.0
6.0,0.34,3.96,15.9,0.046,150.0,164.0,4.0,3.14,0.5,8.8,6,0.0
8.6,0.265,2.52,1.2,0.034,155.0,80.0,1.0,2.95,0.36,11.4,7,0.0
9.8,0.36,1.84,10.5,0.038,82.0,83.0,3.0,2.89,0.3,10.1,4,0.0
6.0,0.34,3.96,15.9,0.046,146.0,164.0,4.0,3.14,0.5,8.8,6,0.0
7.4,0.25,1.85,13.5,0.06,150.0,192.0,4.0,3.0,0.44,9.1,5,0.0
7.1,0.12,1.6,9.6,0.054,160.0,162.0,3.0,3.4,0.41,9.4,5,0.0
6.0,0.21,1.2,12.1,0.05,151.0,164.0,4.0,3.34,0.39,9.4,5,0.0
7.5,0.305,2.0,18.9,0.059,146.0,170.0,4.0,2.99,0.46,9.0,5,0.0
7.4,0.25,1.85,13.5,0.06,156.0,192.0,4.0,3.0,0.44,9.1,5,0.0
7.3,0.13,1.92,14.4,0.051,152.0,109.0,4.0,3.2,0.35,9.2,6,0.0
7.1,0.12,1.6,9.6,0.054,166.0,162.0,3.0,3.4,0.41,9.4,5,0.0
7.1,0.23,2.1,16.5,0.04,178.0,171.0,4.0,3.16,0.59,9.1,6,0.0
7.1,0.23,2.1,16.5,0.04,184.0,171.0,4.0,3.16,0.59,9.1,6,0.0
6.9,0.33,1.4,1.3,0.051,137.0,187.0,2.0,3.27,0.6,10.3,5,0.0
6.5,0.17,3.24,8.5,0.082,182.0,163.0,3.0,2.89,0.39,8.8,6,0.0
7.2,0.27,2.3,18.75,0.052,141.0,255.0,4.0,3.04,0.52,8.9,5,0.0
7.2,0.31,2.5,13.3,0.056,166.0,195.0,4.0,3.01,0.47,9.2,5,0.0
6.7,0.41,1.7,9.2,0.049,127.0,150.0,3.0,3.22,0.51,9.1,5,0.0
6.7,0.41,1.7,9.2,0.049,125.0,150.0,3.0,3.22,0.51,9.1,5,0.0
5.5,0.485,0.0,1.5,0.065,90.0,103.0,2.0,3.63,0.4,9.7,4,0.0
6.0,0.31,1.44,3.3,0.041,147.0,143.0,1.0,3.31,0.44,11.3,6,0.0
7.0,0.14,2.4,1.7,0.035,138.0,115.61731664259348,1.0,3.19,0.42,11.8,6,0.0
7.2,0.31,2.5,13.3,0.056,174.0,195.0,4.0,3.01,0.47,9.2,5,0.0
7.3,0.32,2.4,13.3,0.06,157.0,196.0,4.0,3.04,0.5,9.2,5,0.0
5.9,0.36,0.2,5.7,0.046,119.0,87.0,2.0,3.22,0.51,10.2,5,0.0
7.8,0.24,1.6,12.2,0.054,136.0,138.0,4.0,3.01,0.54,8.8,5,0.0
7.4,0.16,1.55,6.85,0.059,131.0,131.0,3.0,3.29,0.34,9.7,5,0.0
6.9,0.19,1.68,5.0,0.058,138.0,146.0,3.0,3.29,0.36,9.1,6,0.0
6.4,0.3391686330029889,2.82,1.6,0.092,160.0,158.0,2.0,3.21,0.36,9.8,6,0.0
6.7,0.19,2.16,1.1,0.026,181.0,143.0,1.0,3.27,0.48,11.0,6,0.0
7.4,0.39,1.15,7.0,0.033,125.0,126.0,2.0,3.14,0.42,10.5,5,0.0
6.5,0.24,2.24,7.6,0.038,190.0,203.0,3.0,3.45,0.54,9.7,7,0.0
6.1,0.3,3.92,2.8,0.044,189.0,179.0,2.0,3.3,0.57,10.9,7,0.0
6.1,0.3,3.36,2.7,0.046,168.0,184.0,2.0,3.31,0.57,10.9,6,0.0
5.7,0.26,1.25,10.4,0.02,107.0,57.0,2.0,3.39,0.37,10.6,5,0.0
6.5,0.24,2.24,7.6,0.038,188.0,203.0,3.0,3.45,0.54,9.7,7,0.0
6.5,0.425,2.0,13.1,0.038,159.0,241.0,4.0,3.23,0.57,9.0,5,0.0
6.6,0.24,1.35,15.8,0.035,148.0,188.0,4.0,3.24,0.51,9.2,5,0.0
6.8,0.27,1.1,8.1,0.034,155.0,203.0,3.0,3.19,0.52,8.9,5,0.0
6.7,0.27,1.55,15.7,0.036,146.0,179.0,4.0,3.26,0.56,9.6,5,0.0
8.2,0.23,2.4,1.2,0.027,158.0,121.0,1.0,3.12,0.38,10.7,6,0.0
7.1,0.37,3.35,10.5,0.045,149.0,155.0,4.0,3.16,0.44,8.7,5,0.0
6.8,0.19,2.52,1.9,0.035,168.0,96.0,1.0,3.15,0.54,10.8,7,0.0
8.1,0.28,2.34,1.9,0.029,142.0,79.0,1.0,3.23,0.52,11.8,6,0.0
6.3,0.31,1.7,2.2,0.045,126.0,77.0,2.0,3.3,0.43,10.2,5,0.0
7.1,0.37,3.35,10.5,0.045,151.0,155.0,4.0,3.16,0.44,8.7,5,0.0
7.9,0.21,2.4,1.2,0.039,156.0,107.0,1.0,3.21,0.54,10.8,6,0.0
8.5,0.21,2.46,4.3,0.036,146.0,99.0,2.0,3.18,0.53,9.7,6,0.0
8.1,0.2,2.4,2.0,0.037,139.0,87.0,1.0,3.12,0.54,11.2,6,0.0
6.3,0.255,2.22,1.1,0.04,155.0,114.0,1.0,3.0,0.39,10.9,6,0.0
5.6,0.16,1.62,1.4,0.044,171.0,168.0,1.0,3.28,0.37,10.1,6,0.0
6.4,0.595,0.56,5.2,0.058,95.0,97.0,3.0,3.38,0.36,9.0,4,0.0
6.9,0.25,1.8,4.1,0.054,143.0,116.0,2.0,2.99,0.38,9.4,6,0.0
7.9,0.22,2.66,8.0,0.043,190.0,152.0,2.0,3.12,0.32,11.5,7,0.0
7.6,0.18,2.76,10.2,0.055,182.0,135.0,3.0,3.14,0.43,9.9,6,0.0
6.9,0.25,1.8,4.1,0.054,141.0,116.0,2.0,2.99,0.38,9.4,6,0.0
7.2,0.18,2.05,1.2,0.048,141.0,97.0,1.0,3.14,0.45,10.4,5,0.0
8.2,0.23,2.4,7.5,0.049,130.0,76.0,3.0,3.2353386767248153,0.84,9.7,6,0.0
7.4,0.24,2.52,14.0,0.066,166.0,198.0,4.0,2.89,0.42,8.9,6,0.0
7.4,0.24,2.52,14.0,0.066,160.0,198.0,4.0,2.89,0.42,8.9,6,0.0
6.1,0.32,1.68,1.5,0.036,182.0,124.0,1.0,3.29,0.42,12.4,7,0.0
6.1,0.32,1.68,1.5,0.036,180.0,124.0,1.0,3.29,0.42,12.4,7,0.0
6.4,0.22,2.8,14.5,0.055,123.0,159.0,4.0,2.98,0.4,9.1,5,0.0
6.3,0.36,1.5,4.8,0.049,116.0,85.0,2.0,3.28,0.39,10.6,5,0.0
7.4,0.24,2.52,14.0,0.066,166.0,198.0,4.0,2.89,0.42,8.9,6,0.0
6.7,0.24,1.75,13.1,0.05,168.0,205.0,4.0,3.15,0.5,9.5,5,0.0
7.0,0.23,1.8,13.0,0.051,168.0,177.0,4.0,3.16,0.49,9.8,5,0.0
8.4,0.27,2.76,8.7,0.048,161.0,197.0,4.0,3.14,0.59,9.6,6,0.0
6.7,0.46,1.26,2.4,0.034,165.0,98.0,1.0,3.08,0.44,12.6,7,0.0
7.5,0.29,1.55,8.95,0.055,120.0,151.0,3.0,3.08,0.54,9.3,5,0.0
9.8,0.42,2.4,9.85,0.034,103.0,110.0,3.0,2.87,0.29,10.0,5,0.0
7.1,0.3,2.76,1.5,0.066,151.0,133.0,1.0,3.12,0.54,12.7,6,0.0
7.9,0.19,2.7,1.5,0.045,133.0,96.0,1.0,3.13,0.39,11.0,6,0.0
7.6,0.48,1.48,0.8,0.037,88.0,100.0,1.0,3.03,0.39,11.4,4,0.0
6.3,0.22,3.01,4.55,0.038,173.0,130.0,1.0,3.35,0.33,11.5,7,0.0
7.5,0.27,1.55,17.7,0.051,137.0,173.0,4.0,3.09,0.64,10.2,5,0.0
6.9,0.23,2.4,7.5,0.04,168.0,151.0,2.0,3.11,0.27,11.4,6,0.0
7.2,0.32,1.88,5.1,0.044,99.0,65.0,1.0,3.03,0.41,12.6,4,0.0
5.9,0.23,1.5,12.9,0.054,157.0,170.0,4.0,3.28,0.39,9.4,5,0.0
6.0,0.67,0.28,1.2,0.06,91.0,108.0,2.0,3.11,0.35,8.7,4,0.0
6.4,0.25,1.92,5.5,0.049,159.0,176.0,3.0,3.19,0.68,9.2,6,0.0
6.4,0.33,1.86,5.5,0.048,162.0,173.0,3.0,3.19,0.66,9.3,6,0.0
7.1,0.34,0.75,1.2,0.053,161.0,183.0,2.0,3.09,0.43,9.2,5,0.0
6.9,0.27,2.4,14.0,0.05,182.0,227.0,4.0,3.18,0.58,9.6,6,0.0
6.8,0.26,2.8,11.9,0.043,166.0,226.0,4.0,3.02,0.63,9.3,5,0.0
6.8,0.29,2.8,11.9,0.043,162.0,230.0,4.0,3.02,0.63,9.3,5,0.0
6.7,0.3391686330029889,2.46,9.4,0.04,175.0,166.0,3.0,3.12,0.61,9.9,6,0.0
5.9,0.3,1.15,4.2,0.038,140.0,119.0,2.0,3.15,0.5,11.0,5,0.0
6.5,0.28,1.12,8.5,0.047,136.0,210.0,3.0,3.09,0.54,8.9,4,0.0
6.6,0.28,1.68,8.5,0.052,175.0,211.0,3.0,3.09,0.55,8.9,6,0.0
6.8,0.28,2.16,8.0,0.045,146.0,123.0,2.0,3.02,0.37,11.4,6,0.0
6.6,0.15,1.7,5.1,0.055,130.0,125.0,2.0,3.36,0.42,9.6,5,0.0
6.4,0.29,2.2,3.6,0.2,175.0,181.0,2.0,3.02,0.41,9.1,5,0.0
6.4,0.3,2.7,3.5,0.197,192.0,180.0,2.0,3.02,0.39,9.1,6,0.0
6.4,0.29,2.2,3.6,0.197,175.0,115.61731664259348,2.0,3.01,0.38,9.1,5,0.0
6.8,0.26,1.2,7.8,0.052,154.0,214.0,3.0,3.13,0.47,8.9,5,0.0
7.1,0.32,1.2,13.1,0.05,148.0,204.0,4.0,3.1,0.49,8.8,5,0.0
6.8,0.26,1.2,7.8,0.052,144.0,214.0,3.0,3.13,0.47,8.9,5,0.0
6.8,0.27,1.3,16.1,0.049,157.0,196.0,4.0,3.15,0.5,9.3,5,0.0
7.1,0.32,1.2,13.1,0.05,154.0,204.0,4.0,3.1,0.49,8.8,5,0.0
6.9,0.54,1.6,13.2,0.05,147.0,236.0,4.0,3.2,0.5,9.6,5,0.0
6.8,0.26,2.04,13.9,0.034,157.0,134.0,3.0,3.33,0.53,12.0,6,0.0
5.8,0.28,1.4,2.3,0.053,120.0,114.0,2.0,3.28,0.5,10.2,4,0.0
6.4,0.21,2.5,11.6,0.042,147.0,153.0,4.0,3.15,0.43,8.8,5,0.0
7.0,0.16,1.6,8.3,0.045,144.0,126.0,3.0,3.21,0.34,9.2,5,0.0
10.2,0.44,3.52,6.2,0.049,96.0,124.0,3.0,2.99,0.51,9.9,4,0.0
6.8,0.57,1.45,2.2,0.04,121.0,77.0,2.0,3.32,0.74,10.2,5,0.0
6.1,0.4,1.86,0.9,0.048,145.0,170.0,2.0,3.22,0.77,9.5,6,0.0
5.6,0.245,1.25,9.7,0.032,114.0,68.0,2.0,3.31,0.34,10.5,5,0.0
6.8,0.18,2.66,1.4,0.038,171.0,111.0,1.0,3.32,0.59,11.2,7,0.0
7.0,0.16,1.6,8.3,0.045,138.0,126.0,3.0,3.21,0.34,9.2,5,0.0
6.7,0.13,1.74,5.3,0.051,155.0,122.0,2.0,3.44,0.37,9.7,6,0.0
6.2,0.25,1.75,1.4,0.03,169.0,105.0,1.0,3.3,0.44,11.1,7,0.0
5.8,0.26,1.2,9.2,0.044,157.0,152.0,3.0,3.31,0.38,9.4,5,0.0
7.5,0.27,1.8,7.0,0.036,145.0,164.0,2.0,3.03,0.33,11.0,5,0.0
5.8,0.26,1.2,9.2,0.044,155.0,152.0,3.0,3.31,0.38,9.4,5,0.0
5.7,0.28,1.2,17.5,0.044,164.0,167.0,4.0,3.31,0.44,9.4,5,0.0
7.5,0.23,1.8,7.0,0.036,139.0,161.0,2.0,3.04,0.32,11.0,5,0.0
7.5,0.27,1.8,7.0,0.036,145.0,164.0,2.0,3.03,0.33,11.0,5,0.0
7.2,0.685,1.26,9.5,0.07,155.0,172.0,4.0,3.0,0.55,9.1,6,0.0
6.2,0.25,1.75,1.4,0.03,179.0,105.0,1.0,3.3,0.44,11.1,7,0.0
6.3,0.495,1.32,1.8,0.046,151.0,140.0,2.0,3.39,0.54,10.4,6,0.0
7.1,0.24,2.05,17.8,0.046,135.0,145.0,4.0,3.32,0.39,8.7,5,0.0
6.4,0.17,1.92,2.4,0.048,157.0,200.0,2.0,3.5,0.5,9.7,6,0.0
6.4,0.17,1.92,2.4,0.048,161.0,115.61731664259348,2.0,3.5,0.5,9.7,6,0.0
7.1,0.24,2.05,17.8,0.046,137.0,145.0,4.0,3.32,0.39,8.7,5,0.0
6.8,0.64,0.32,9.7,0.062,102.0,142.0,4.0,3.37,0.46,8.9,4,0.0
8.3,0.28,2.4,7.8,0.041,164.0,194.0,4.0,3.34,0.51,9.6,6,0.0
8.2,0.27,2.34,7.8,0.039,167.0,208.0,4.0,3.31,0.51,9.5,6,0.0
7.2,0.23,2.28,14.3,0.058,173.0,194.0,4.0,3.09,0.44,9.0,6,0.0
7.2,0.23,2.28,14.3,0.058,173.0,194.0,4.0,3.09,0.44,9.0,6,0.0
7.2,0.23,2.28,14.3,0.058,177.0,194.0,4.0,3.09,0.44,9.0,6,0.0
7.2,0.23,2.28,14.3,0.058,181.0,194.0,4.0,3.09,0.44,9.0,6,0.0
6.8,0.52,1.92,13.2,0.044,176.0,221.0,4.0,3.27,0.5,9.6,6,0.0
7.0,0.26,4.13,1.4,0.037,180.0,115.61731664259348,1.0,3.34,0.41,11.1,7,0.0
6.2,0.25,1.26,15.55,0.039,146.0,159.0,4.0,3.48,0.64,9.6,6,0.0
7.3,0.32,1.15,13.7,0.05,145.0,197.0,4.0,3.2,0.46,8.7,5,0.0
7.7,0.31,1.3,7.8,0.031,123.0,90.0,2.0,3.13,0.5,10.4,5,0.0
7.1,0.21,2.59,2.4,0.026,163.0,100.0,1.0,3.15,0.38,11.4,7,0.0
6.8,0.24,2.04,2.7,0.047,180.5,218.5,2.0,3.3,0.58,9.7,6,0.0
6.9,0.4,2.8,11.2,0.043,142.0,142.0,4.0,3.14,0.46,8.7,5,0.0
6.1,0.18,2.16,2.0,0.038,136.0,249.5,1.0,3.2353386767248153,0.79,11.3,6,0.0
6.8,0.21,1.89,2.1,0.03,170.0,139.0,1.0,3.16,0.61,12.6,7,0.0
5.8,0.2,1.89,1.4,0.031,152.0,77.0,1.0,3.25,0.36,10.9,7,0.0
5.6,0.19,1.82,1.4,0.03,158.0,76.0,1.0,3.25,0.37,10.9,7,0.0
6.1,0.41,0.7,10.4,0.037,114.0,119.0,3.0,3.38,0.45,10.0,5,0.0
5.9,0.21,1.12,4.6,0.053,118.0,199.0,3.0,3.72,0.7,10.0,4,0.0
6.9,0.4,2.8,11.2,0.043,142.0,142.0,4.0,3.14,0.46,8.7,5,0.0
5.8,0.24,2.34,1.5,0.054,149.0,158.0,2.0,3.21,0.52,9.3,6,0.0
6.3,0.35,2.1,5.7,0.035,148.0,97.0,2.0,3.27,0.41,11.0,7,0.0
6.3,0.35,2.1,5.7,0.035,146.0,97.0,2.0,3.27,0.41,11.0,7,0.0
6.4,0.23,2.34,1.8,0.032,145.0,118.0,1.0,3.32,0.5,11.8,6,0.0
5.8,0.36,1.52,0.9,0.037,81.0,115.61731664259348,1.0,3.28,0.34,11.4,4,0.0
6.9,0.115,2.1,5.4,0.048,152.0,108.0,2.0,3.32,0.42,10.2,6,0.0
6.9,0.29,2.0,19.45,0.043,136.0,156.0,4.0,2.93,0.47,8.9,5,0.0
6.9,0.28,2.0,8.2,0.036,117.0,95.0,2.0,3.17,0.33,10.2,5,0.0
7.2,0.29,2.4,13.6,0.045,186.0,231.0,4.0,3.08,0.59,9.6,6,0.0
6.2,0.24,2.1,1.2,0.038,140.0,167.0,1.0,3.1,0.48,10.6,6,0.0
6.9,0.29,2.0,19.45,0.043,136.0,156.0,4.0,2.93,0.47,8.9,5,0.0
6.9,0.32,1.56,8.3,0.053,156.0,180.0,3.0,3.25,0.51,9.2,6,0.0
5.3,0.58,0.35,6.9,0.043,138.0,149.0,2.0,3.34,0.57,9.7,5,0.0
5.3,0.585,0.42,7.1,0.044,158.0,145.0,2.0,3.34,0.57,9.7,6,0.0
5.4,0.59,0.42,7.0,0.045,158.0,115.61731664259348,2.0,3.34,0.57,9.7,6,0.0
6.9,0.32,1.56,8.3,0.053,154.0,180.0,3.0,3.25,0.51,9.2,6,0.0
5.2,0.6,0.35,7.0,0.044,133.0,147.0,2.0,3.33,0.58,9.7,5,0.0
5.8,0.25,1.3,13.1,0.051,142.0,148.0,4.0,3.29,0.38,9.3,5,0.0
6.6,0.58,1.5,5.1,0.057,140.0,123.0,3.0,3.24,0.38,9.0,5,0.0
7.0,0.29,2.7,10.7,0.046,159.0,234.0,3.0,3.05,0.61,9.5,5,0.0
6.6,0.19,2.46,8.9,0.046,169.0,169.0,3.0,3.14,0.57,9.8,6,0.0
6.7,0.2,2.46,9.1,0.044,166.0,166.0,3.0,3.14,0.58,9.8,6,0.0
7.7,0.26,2.0,1.1,0.042,107.0,60.0,1.0,2.89,0.5,10.6,5,0.0
6.8,0.32,1.36,1.2,0.044,100.0,67.0,1.0,3.05,0.47,10.6,4,0.0
7.0,0.3,3.43,4.7,0.036,159.0,105.0,1.0,3.26,0.68,12.4,7,0.0
6.8,0.44,1.48,5.1,0.047,122.0,201.0,2.0,3.08,0.65,10.5,4,0.0
6.7,0.34,1.5,15.6,0.054,155.0,196.0,4.0,3.19,0.49,9.3,5,0.0
7.1,0.35,1.2,15.4,0.055,146.0,115.61731664259348,4.0,3.12,0.49,8.8,5,0.0
7.3,0.32,1.25,7.2,0.056,145.0,180.0,3.0,3.08,0.47,8.8,5,0.0
6.5,0.28,1.98,15.7,0.053,173.0,190.0,4.0,3.22,0.51,9.7,6,0.0
7.2,0.23,2.73,14.2,0.058,191.0,192.0,4.0,2.98,0.48,9.0,7,0.0
7.2,0.23,2.73,14.2,0.058,191.0,192.0,4.0,2.98,0.48,9.0,7,0.0
7.2,0.23,2.73,14.2,0.058,185.0,192.0,4.0,2.98,0.48,9.0,7,0.0
7.2,0.23,2.73,14.2,0.058,189.0,192.0,4.0,2.98,0.48,9.0,7,0.0
5.9,0.15,1.86,5.8,0.041,175.0,115.61731664259348,2.0,3.52,0.46,10.5,6,0.0
7.4,0.28,2.1,19.8,0.066,153.0,195.0,4.0,2.96,0.44,9.1,5,0.0
