sample,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
59,7.4,0.2,2.16,1.2,0.038,160,111,medium,3.36,0.34,9.9,6,white
60,6.8,,1.44,4.9,0.092,152,,high,3.03,0.46,8.6,6,white
61,6,0.19,1.56,12.4,0.048,174,,very high,3.3,0.36,8.9,6,white
62,7,0.47,0.35,1.1,0.035,123,151,low,3.02,0.34,10.5,5,white
63,6.6,0.38,0.9,4.6,0.044,147,78,medium,3.11,0.38,10.2,6,white
64,7.2,0.24,1.62,1.4,0.038,147,122,medium,3.15,0.46,10.3,6,white
65,6.2,0.35,0.15,1.2,0.064,127,120,medium,3.22,0.54,9.1,5,white
66,6.4,0.26,1.68,6.4,0.04,165,124,low,3.22,0.49,12.6,7,white
67,6.7,0.25,0.65,1.2,0.041,183,174,low,3.14,0.42,9.8,5,white
68,6.7,0.23,2.48,2.1,0.046,188,96,medium,3.33,0.64,10.7,8,white
69,7.4,0.24,1.45,10.1,0.05,121,105,high,3.13,0.35,9.5,5,white
70,6.2,0.27,2.58,7.8,0.056,166,244,high,3.1,0.51,9,6,white
71,6.8,0.3,1.15,4.6,0.061,154.5,238.5,high,3.32,0.6,9.5,5,white
72,6,0.27,1.4,4.8,0.063,133,201,high,3.69,0.71,10,5,white
73,8.6,0.23,2.76,1,0.054,133,72,medium,2.95,0.49,9.1,6,white
74,6.7,0.23,2.48,2.1,0.046,190,,medium,3.33,0.64,10.7,8,white
75,7.4,0.24,1.45,10.1,0.05,123,105,high,3.13,0.35,9.5,5,white
76,7.1,0.18,2.52,1.4,0.043,171,87,low,3.26,0.37,12.7,7,white
77,7,0.32,2.38,1.3,0.042,162,69,low,3.31,0.65,12,7,white
78,7.4,0.18,1.5,8.8,0.064,122,103,high,2.94,0.56,9.3,5,white
79,6.7,0.54,1.4,5.4,0.06,121,105,high,3.27,0.37,9,5,white
80,6.8,0.22,1.86,1.4,0.053,152,114,medium,3.39,0.77,10.6,6,white
81,7.1,0.2,2.04,16,0.05,171,166,very high,3.21,0.6,9.2,6,white
82,7.1,0.34,1,6.1,0.063,147,164,medium,3.17,0.42,10,5,white
83,7.3,0.22,1.8,8.2,0.047,160,207,high,3.33,0.46,9.5,6,white
84,7.1,0.43,3.05,11.8,0.045,156,155,very high,3.11,0.45,8.7,5,
85,7.1,0.44,3.72,11.8,0.044,172,152,very high,3.12,0.46,8.7,6,white
86,7.2,0.39,3.78,11,0.044,173,156,very high,3.09,0.44,8.7,6,white
87,6.8,0.25,1.86,13.3,0.05,189,202,very high,3.22,0.48,9.7,6,white
88,7.1,,3.05,11.8,0.045,150,155,very high,3.11,0.45,8.7,5,white
89,7.1,0.44,3.72,11.8,0.044,172,152,very high,3.12,0.46,8.7,6,white
90,7.2,0.39,3.78,11,0.044,179,156,very high,3.09,0.44,8.7,6,white
91,6.1,0.27,2.15,7.5,0.049,163,243,high,3.12,0.47,9,5,white
92,6.9,0.24,2.31,1.7,0.035,185,136,low,3.26,0.4,12.6,7,white
93,6.9,0.21,2.31,1.8,0.034,188,,low,3.25,0.41,12.6,7,white
94,7.5,0.17,2.24,1.7,0.04,195,148,low,3.21,0.44,11.5,7,white
95,7.1,0.26,1.74,12.4,0.044,178,240,high,3.04,0.42,9.2,6,white
96,6,0.34,3.96,15.9,0.046,150,164,very high,3.14,0.5,8.8,6,white
97,8.6,0.265,2.52,1.2,0.034,155,80,low,2.95,0.36,11.4,7,white
98,9.8,0.36,1.84,10.5,0.038,82,83,high,2.89,0.3,10.1,4,white
99,6,0.34,3.96,15.9,0.046,146,164,very high,3.14,0.5,8.8,6,white
100,7.4,0.25,1.85,13.5,0.06,150,192,very high,3,0.44,9.1,5,white
101,7.1,0.12,1.6,9.6,0.054,160,162,high,3.4,0.41,9.4,5,white
102,6,0.21,1.2,12.1,0.05,151,164,very high,3.34,0.39,9.4,5,white
103,7.5,0.305,2,18.9,0.059,146,170,very high,2.99,0.46,9,5,white
104,7.4,0.25,1.85,13.5,0.06,156,192,very high,3,0.44,9.1,5,white
105,7.3,0.13,1.92,14.4,0.051,152,109,very high,3.2,0.35,9.2,6,white
106,7.1,0.12,1.6,9.6,0.054,166,162,high,3.4,0.41,9.4,5,white
107,7.1,0.23,2.1,16.5,0.04,178,171,very high,3.16,0.59,9.1,6,white
108,7.1,0.23,2.1,16.5,0.04,184,171,very high,3.16,0.59,9.1,6,white
109,6.9,0.33,1.4,1.3,0.051,137,187,medium,3.27,0.6,10.3,5,white
110,6.5,0.17,3.24,8.5,0.082,182,163,high,2.89,0.39,8.8,6,white
111,7.2,0.27,2.3,18.75,0.052,141,255,very high,3.04,0.52,8.9,5,white
112,7.2,0.31,2.5,13.3,0.056,166,195,very high,3.01,0.47,9.2,5,white
113,6.7,0.41,1.7,9.2,0.049,127,150,high,3.22,0.51,9.1,5,white
114,6.7,0.41,1.7,9.2,0.049,125,150,high,3.22,0.51,9.1,5,white
115,5.5,0.485,0,1.5,0.065,90,103,medium,3.63,0.4,9.7,4,white
116,6,0.31,1.44,3.3,0.041,147,143,low,3.31,0.44,11.3,6,white
117,7,0.14,2.4,1.7,0.035,138,,low,3.19,0.42,11.8,6,white
118,7.2,0.31,2.5,13.3,0.056,174,195,very high,3.01,0.47,9.2,5,white
119,7.3,0.32,2.4,13.3,0.06,157,196,very high,3.04,0.5,9.2,5,white
120,5.9,0.36,0.2,5.7,0.046,119,87,medium,3.22,0.51,10.2,5,white
121,7.8,0.24,1.6,12.2,0.054,136,138,very high,3.01,0.54,8.8,5,white
122,7.4,0.16,1.55,6.85,0.059,131,131,high,3.29,0.34,9.7,5,white
123,6.9,0.19,1.68,5,0.058,138,146,high,3.29,0.36,9.1,6,white
124,6.4,,2.82,1.6,0.092,160,158,medium,3.21,0.36,9.8,6,white
125,6.7,0.19,2.16,1.1,0.026,181,143,low,3.27,0.48,11,6,white
126,7.4,0.39,1.15,7,0.033,125,126,medium,3.14,0.42,10.5,5,white
127,6.5,0.24,2.24,7.6,0.038,190,203,high,3.45,0.54,9.7,7,white
128,6.1,0.3,3.92,2.8,0.044,189,179,medium,3.3,0.57,10.9,7,white
129,6.1,0.3,3.36,2.7,0.046,168,184,medium,3.31,0.57,10.9,6,white
130,5.7,0.26,1.25,10.4,0.02,107,57,medium,3.39,0.37,10.6,5,white
131,6.5,0.24,2.24,7.6,0.038,188,203,high,3.45,0.54,9.7,7,white
132,6.5,0.425,2,13.1,0.038,159,241,very high,3.23,0.57,9,5,white
133,6.6,0.24,1.35,15.8,0.035,148,188,very high,3.24,0.51,9.2,5,white
134,6.8,0.27,1.1,8.1,0.034,155,203,high,3.19,0.52,8.9,5,white
135,6.7,0.27,1.55,15.7,0.036,146,179,very high,3.26,0.56,9.6,5,white
136,8.2,0.23,2.4,1.2,0.027,158,121,low,3.12,0.38,10.7,6,white
137,7.1,0.37,3.35,10.5,0.045,149,155,very high,3.16,0.44,8.7,5,white
138,6.8,0.19,2.52,1.9,0.035,168,96,low,3.15,0.54,10.8,7,white
139,8.1,0.28,2.34,1.9,0.029,142,79,low,3.23,0.52,11.8,6,white
140,6.3,0.31,1.7,2.2,0.045,126,77,medium,3.3,0.43,10.2,5,white
141,7.1,0.37,3.35,10.5,0.045,151,155,very high,3.16,0.44,8.7,5,white
142,7.9,0.21,2.4,1.2,0.039,156,107,low,3.21,0.54,10.8,6,white
143,8.5,0.21,2.46,4.3,0.036,146,99,medium,3.18,0.53,9.7,6,white
144,8.1,0.2,2.4,2,0.037,139,87,low,3.12,0.54,11.2,6,white
145,6.3,0.255,2.22,1.1,0.04,155,114,low,3,0.39,10.9,6,white
146,5.6,0.16,1.62,1.4,0.044,171,168,low,3.28,0.37,10.1,6,white
147,6.4,0.595,0.56,5.2,0.058,95,97,high,3.38,0.36,9,4,white
148,6.3,0.34,2.31,4.6,0.034,161,80,,3.38,0.58,12,7,white
149,6.9,0.25,1.8,4.1,0.054,143,116,medium,2.99,0.38,9.4,6,white
150,7.9,0.22,2.66,8,0.043,190,152,medium,3.12,0.32,11.5,7,white
151,7.6,0.18,2.76,10.2,0.055,182,135,high,3.14,0.43,9.9,6,white
152,6.9,0.25,1.8,4.1,0.054,141,116,medium,2.99,0.38,9.4,6,white
153,7.2,0.18,2.05,1.2,0.048,141,97,low,3.14,0.45,10.4,5,white
154,8.2,0.23,2.4,7.5,0.049,130,76,high,,0.84,9.7,6,white
155,7.4,0.24,2.52,14,0.066,166,198,very high,2.89,0.42,8.9,6,white
156,7.4,0.24,2.52,14,0.066,160,198,very high,2.89,0.42,8.9,6,white
157,6.1,0.32,1.68,1.5,0.036,182,124,low,3.29,0.42,12.4,7,white
158,5.2,0.44,0.32,1.4,0.036,203,119,low,3.36,0.33,12.1,8,white
159,5.2,0.44,0.32,1.4,0.036,203,119,low,3.36,0.33,12.1,8,white
160,6.1,0.32,1.68,1.5,0.036,180,124,low,3.29,0.42,12.4,7,white
161,6.4,0.22,2.8,14.5,0.055,123,159,very high,2.98,0.4,9.1,5,white
162,6.3,0.36,1.5,4.8,0.049,116,85,medium,3.28,0.39,10.6,5,white
163,7.4,0.24,2.52,14,0.066,166,198,very high,2.89,0.42,8.9,6,white
164,6.7,0.24,1.75,13.1,0.05,168,205,very high,3.15,0.5,9.5,5,white
165,7,0.23,1.8,13,0.051,168,177,very high,3.16,0.49,9.8,5,white
166,8.4,0.27,2.76,8.7,0.048,161,197,very high,3.14,0.59,9.6,6,white
167,6.7,0.46,1.26,2.4,0.034,165,98,low,3.08,0.44,12.6,7,white
168,7.5,0.29,1.55,8.95,0.055,120,151,high,3.08,0.54,9.3,5,white
169,9.8,0.42,2.4,9.85,0.034,103,110,high,2.87,0.29,10,5,white
170,7.1,0.3,2.76,1.5,0.066,151,133,low,3.12,0.54,12.7,6,white
171,7.9,0.19,2.7,1.5,0.045,133,96,low,3.13,0.39,11,6,white
172,7.6,0.48,1.48,0.8,0.037,88,100,low,3.03,0.39,11.4,4,white
173,6.3,0.22,3.01,4.55,0.038,173,130,low,3.35,0.33,11.5,7,white
174,7.5,0.27,1.55,17.7,0.051,137,173,very high,3.09,0.64,10.2,5,white
175,6.9,0.23,2.4,7.5,0.04,168,151,medium,3.11,0.27,11.4,6,white
176,7.2,0.32,1.88,5.1,0.044,99,65,low,3.03,0.41,12.6,4,white
177,5.9,0.23,1.5,12.9,0.054,157,170,very high,3.28,0.39,9.4,5,white
178,6,0.67,0.28,1.2,0.06,91,108,medium,3.11,0.35,8.7,4,white
179,6.4,0.25,1.92,5.5,0.049,159,176,high,3.19,0.68,9.2,6,white
180,6.4,0.33,1.86,5.5,0.048,162,173,high,3.19,0.66,9.3,6,white
181,7.1,0.34,0.75,1.2,0.053,161,183,medium,3.09,0.43,9.2,5,white
182,6.8,0.28,2,22,0.048,146,167,very high,2.93,0.5,8.7,5,white
183,6.9,0.27,2.4,14,0.05,182,227,very high,3.18,0.58,9.6,6,white
184,6.8,0.26,2.8,11.9,0.043,166,226,very high,3.02,0.63,9.3,5,white
185,6.8,0.29,2.8,11.9,0.043,162,230,very high,3.02,0.63,9.3,5,white
186,6.7,,2.46,9.4,0.04,175,166,high,3.12,0.61,9.9,6,white
187,5.9,0.3,1.15,4.2,0.038,140,119,medium,3.15,0.5,11,5,white
188,6.8,0.53,2.8,3.8,0.034,186,109,low,3.26,0.57,12.7,8,white
189,6.5,0.28,1.12,8.5,0.047,136,210,high,3.09,0.54,8.9,4,white
190,6.6,0.28,1.68,8.5,0.052,175,211,high,3.09,0.55,8.9,6,white
191,6.8,0.28,2,22,0.048,148,167,very high,2.93,0.5,8.7,5,white
192,6.8,0.28,2.16,8,0.045,146,123,medium,3.02,0.37,11.4,6,white
193,6.6,0.15,1.7,5.1,0.055,130,125,medium,3.36,0.42,9.6,5,white
194,6.4,0.29,2.2,3.6,0.2,175,181,medium,3.02,0.41,9.1,5,white
195,6.4,0.3,2.7,3.5,0.197,192,180,medium,3.02,0.39,9.1,6,white
196,6.4,0.29,2.2,3.6,0.197,175,,medium,3.01,0.38,9.1,5,white
197,6.8,0.26,1.2,7.8,0.052,154,214,high,3.13,0.47,8.9,5,white
198,7.1,0.32,1.2,13.1,0.05,148,204,very high,3.1,0.49,8.8,5,white
199,6.8,0.26,1.2,7.8,0.052,144,214,high,3.13,0.47,8.9,5,white
200,6.8,0.27,1.3,16.1,0.049,157,196,very high,3.15,0.5,9.3,5,white
201,7.1,0.32,1.2,13.1,0.05,154,204,very high,3.1,0.49,8.8,5,white
202,6.9,0.54,1.6,13.2,0.05,147,236,very high,3.2,0.5,9.6,5,white
203,6.8,0.26,2.04,13.9,0.034,157,134,high,3.33,0.53,12,6,white
204,5.8,0.28,1.4,2.3,0.053,120,114,medium,3.28,0.5,10.2,4,white
205,6.4,0.21,2.5,11.6,0.042,147,153,very high,3.15,0.43,8.8,5,white
206,7,0.16,1.6,8.3,0.045,144,126,high,3.21,0.34,9.2,5,white
207,10.2,0.44,3.52,6.2,0.049,96,124,high,2.99,0.51,9.9,4,white
208,6.8,0.57,1.45,2.2,0.04,121,77,medium,3.32,0.74,10.2,5,white
209,6.1,0.4,1.86,0.9,0.048,145,170,medium,3.22,0.77,9.5,6,white
210,5.6,0.245,1.25,9.7,0.032,114,68,medium,3.31,0.34,10.5,5,
211,6.8,0.18,2.66,1.4,0.038,171,111,low,3.32,0.59,11.2,7,
212,7,0.16,1.6,8.3,0.045,138,126,high,3.21,0.34,9.2,5,white
213,6.7,0.13,1.74,5.3,0.051,155,122,medium,3.44,0.37,9.7,6,white
214,6.2,0.25,1.75,1.4,0.03,169,105,low,3.3,0.44,11.1,7,white
215,5.8,0.26,1.2,9.2,0.044,157,152,high,3.31,0.38,9.4,5,white
216,7.5,0.27,1.8,7,0.036,145,164,medium,3.03,0.33,11,5,white
217,5.8,0.26,1.2,9.2,0.044,155,152,high,3.31,0.38,9.4,5,white
218,5.7,0.28,1.2,17.5,0.044,164,167,very high,3.31,0.44,9.4,5,white
219,7.5,0.23,1.8,7,0.036,139,161,medium,3.04,0.32,11,5,white
220,7.5,0.27,1.8,7,0.036,145,164,medium,3.03,0.33,11,5,white
221,7.2,0.685,1.26,9.5,0.07,155,172,very high,3,0.55,9.1,6,white
222,6.2,0.25,1.75,1.4,0.03,179,105,low,3.3,0.44,11.1,7,white
223,6.5,0.19,1.8,0.8,0.043,147,144,,3.42,0.39,9.1,6,white
224,6.3,0.495,1.32,1.8,0.046,151,140,medium,3.39,0.54,10.4,6,white
225,7.1,0.24,2.05,17.8,0.046,135,145,very high,3.32,0.39,8.7,5,white
226,6.4,0.17,1.92,2.4,0.048,157,200,medium,3.5,0.5,9.7,6,white
227,7.1,0.25,1.92,10.3,0.041,184,272,high,3.17,0.52,9.1,6,white
228,6.4,0.17,1.92,2.4,0.048,161,,medium,3.5,0.5,9.7,6,white
229,7.1,0.24,2.05,17.8,0.046,137,145,very high,3.32,0.39,8.7,5,white
230,6.8,0.64,0.32,9.7,0.062,102,142,very high,3.37,0.46,8.9,4,white
231,8.3,0.28,2.4,7.8,0.041,164,194,very high,3.34,0.51,9.6,6,white
232,8.2,0.27,2.34,7.8,0.039,167,208,very high,3.31,0.51,9.5,6,white
233,7.2,0.23,2.28,14.3,0.058,173,194,very high,3.09,0.44,9,6,white
234,7.2,0.23,2.28,14.3,0.058,173,194,very high,3.09,0.44,9,6,white
235,7.2,0.23,2.28,14.3,0.058,177,194,very high,3.09,0.44,9,6,white
236,7.2,0.23,2.28,14.3,0.058,181,194,very high,3.09,0.44,9,6,white
237,6.8,0.52,1.92,13.2,0.044,176,221,very high,3.27,0.5,9.6,6,white
238,7,0.26,4.13,1.4,0.037,180,,low,3.34,0.41,11.1,7,white
239,6.2,0.25,1.26,15.55,0.039,146,159,very high,3.48,0.64,9.6,6,white
240,7.3,0.32,1.15,13.7,0.05,145,197,very high,3.2,0.46,8.7,5,white
241,7.7,0.31,1.3,7.8,0.031,123,90,medium,3.13,0.5,10.4,5,white
242,7.1,0.21,2.59,2.4,0.026,163,100,low,3.15,0.38,11.4,7,white
243,6.8,0.24,2.04,2.7,0.047,180.5,218.5,medium,3.3,0.58,9.7,6,white
244,6.9,0.4,2.8,11.2,0.043,142,142,very high,3.14,0.46,8.7,5,white
245,6.1,0.18,2.16,2,0.038,136,249.5,low,,0.79,11.3,6,white
246,6.8,0.21,1.89,2.1,0.03,170,139,low,3.16,0.61,12.6,7,white
247,5.8,0.2,1.89,1.4,0.031,152,77,low,3.25,0.36,10.9,7,white
248,5.6,0.19,1.82,1.4,0.03,158,76,low,3.25,0.37,10.9,7,white
249,6.1,0.41,0.7,10.4,0.037,114,119,high,3.38,0.45,10,5,white
250,5.9,0.21,1.12,4.6,0.053,118,199,high,3.72,0.7,10,4,white
251,8.5,0.26,0.63,16.2,0.074,99,197,very high,3.02,0.5,9.8,3,white
252,6.9,0.4,2.8,11.2,0.043,142,142,very high,3.14,0.46,8.7,5,white
253,5.8,0.24,1.32,3.5,0.029,69,,low,3.53,0.43,11.7,3,white
254,5.8,0.24,2.34,1.5,0.054,149,158,medium,3.21,0.52,9.3,6,white
255,6.7,0.26,3.12,1.1,0.04,205,147,medium,3.32,0.58,9.6,8,white
256,6.3,0.35,2.1,5.7,0.035,148,97,medium,3.27,0.41,11,7,white
257,6.3,0.35,2.1,5.7,0.035,146,97,medium,3.27,0.41,11,7,white
258,6.4,0.23,2.34,1.8,0.032,145,118,low,3.32,0.5,11.8,6,white
259,5.8,0.36,1.52,0.9,0.037,81,,low,3.28,0.34,11.4,4,white
260,6.9,0.115,2.1,5.4,0.048,152,108,medium,3.32,0.42,10.2,6,white
261,6.9,0.29,2,19.45,0.043,136,156,very high,2.93,0.47,8.9,5,white
262,6.9,0.28,2,8.2,0.036,117,95,medium,3.17,0.33,10.2,5,white
263,7.2,0.29,2.4,13.6,0.045,186,231,very high,3.08,0.59,9.6,6,white
264,6.2,0.24,2.1,1.2,0.038,140,167,low,3.1,0.48,10.6,6,white
265,6.9,0.29,2,19.45,0.043,136,156,very high,2.93,0.47,8.9,5,white
266,6.9,0.32,1.56,8.3,0.053,156,180,high,3.25,0.51,9.2,6,white
267,5.3,0.58,0.35,6.9,0.043,138,149,medium,3.34,0.57,9.7,5,white
268,5.3,0.585,0.42,7.1,0.044,158,145,medium,3.34,0.57,9.7,6,white
269,5.4,0.59,0.42,7,0.045,158,,medium,3.34,0.57,9.7,6,white
270,6.9,0.32,1.56,8.3,0.053,154,180,high,3.25,0.51,9.2,6,white
271,5.2,0.6,0.35,7,0.044,133,147,medium,3.33,0.58,9.7,5,white
272,5.8,0.25,1.3,13.1,0.051,142,148,very high,3.29,0.38,9.3,5,white
273,6.6,0.58,1.5,5.1,0.057,140,123,high,3.24,0.38,9,5,white
274,7,0.29,2.7,10.7,0.046,159,234,high,3.05,0.61,9.5,5,white
275,6.6,0.19,2.46,8.9,0.046,169,169,high,3.14,0.57,9.8,6,white
276,6.7,0.2,2.46,9.1,0.044,166,166,high,3.14,0.58,9.8,6,white
277,7.7,0.26,2,1.1,0.042,107,60,low,2.89,0.5,10.6,5,white
278,6.8,0.32,1.36,1.2,0.044,100,67,low,3.05,0.47,10.6,4,white
279,7,0.3,3.43,4.7,0.036,159,105,low,3.26,0.68,12.4,7,white
280,7,0.24,2.88,2.8,0.034,180,112,low,,0.38,12.6,8,white
281,6.1,0.31,4.64,5,0.039,200,114,low,3.3,0.6,12.3,8,white
282,6.8,0.44,1.48,5.1,0.047,122,201,medium,3.08,0.65,10.5,4,white
283,6.7,0.34,1.5,15.6,0.054,155,196,very high,3.19,0.49,9.3,5,white
284,7.1,0.35,1.2,15.4,0.055,146,,very high,3.12,0.49,8.8,5,white
285,7.3,0.32,1.25,7.2,0.056,145,180,high,3.08,0.47,8.8,5,white
286,6.5,0.28,1.98,15.7,0.053,173,190,very high,3.22,0.51,9.7,6,white
287,7.2,0.23,2.73,14.2,0.058,191,192,very high,2.98,0.48,9,7,white
288,7.2,0.23,2.73,14.2,0.058,191,192,very high,2.98,0.48,9,7,white
289,7.2,0.23,2.73,14.2,0.058,185,192,very high,2.98,0.48,9,7,white
290,7.2,0.23,2.73,14.2,0.058,189,192,very high,2.98,0.48,9,7,white
291,5.9,0.15,1.86,5.8,0.041,175,,medium,3.52,0.46,10.5,6,white
292,7.4,0.28,2.1,19.8,0.066,153,195,very high,2.96,0.44,9.1,5,white
293,6.2,0.28,1.54,7.3,0.041,168,157,high,3.44,0.64,9.8,7,white
294,9.1,0.59,1.14,1.6,0.066,96,182,high,3.23,0.38,8.5,3,white
295,6.3,0.33,1.62,1.2,0.046,154,175,medium,3.37,0.54,9.4,6,white
296,8.3,0.39,3.5,10.6,0.045,135,169,very high,3.09,0.57,9.4,5,white
297,7.2,0.19,3.22,3.8,0.041,220,187,medium,3.19,0.6,11.2,7,white
298,7.5,0.17,2.64,11.3,0.046,187,146,very high,3.17,0.45,10,6,white
299,6.7,0.17,3,2.1,0.043,149,122,low,3.15,0.45,10.3,6,white
300,6.1,0.41,0,1.6,0.063,154,87,low,3.27,0.67,10.8,6,white
301,8.3,0.2,2.1,0.9,0.05,130,74,low,3.13,0.38,10.5,6,white
302,6.1,0.41,0,1.6,0.063,164,87,low,3.27,0.67,10.8,6,white
303,6,0.29,1.26,1.3,0.055,160,,low,3.32,0.43,11.1,6,white
304,7.3,0.41,1.44,6.8,0.057,161,163,high,3.2,0.41,9.9,6,white
305,7.3,0.41,1.44,6.8,0.057,163,163,,3.2,0.41,9.9,6,white
306,7.2,0.43,1.2,6.7,0.058,136,163,high,3.2,0.41,9.9,5,white
307,7.3,0.4,1.44,6.7,0.058,163,166,high,3.2,0.41,9.9,6,white
308,6.2,0.33,1.89,4.9,0.036,168,134,medium,3.2,0.42,10.4,7,white
309,6.2,0.31,1.56,4.8,0.037,154,148,medium,3.21,0.41,10.4,6,white
310,6.1,0.36,1.89,2.1,0.035,160,100,low,3.4,0.71,11.5,7,white
311,5,0.55,1.12,8.3,0.032,195,164,low,3.53,0.51,12.5,8,white
312,7.8,0.25,2.46,3.7,0.042,151,149,high,3.36,0.45,10,6,white
313,5.7,0.36,1.26,6.7,0.038,175,166,medium,3.29,0.63,10,6,white
314,5.8,0.34,1.05,6.6,0.04,148,167,medium,3.29,0.62,10,5,white
315,6.8,0.28,3.6,1.1,0.132,162,127,medium,3.09,0.44,9.1,6,
316,6.8,0.25,2.04,4.7,0.031,156,134,medium,3.21,0.38,10.6,6,white
