sample,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
22,6.8,0.26,3.36,1.7,0.049,201,122,mediu,3.47,0.48,10.5,8,white
23,7.6,0.67,0.7,1.5,0.074,127,168,mediu,3.05,0.51,9.3,5,white
24,6.6,0.27,2.46,1.3,0.052,138,142,hig,3.42,0.47,10,6,white
25,7,0.25,1.92,9,0.046,174,245,hig,3.25,0.5,10.4,6,white
26,6.9,0.24,2.1,1,0.052,155,146,mediu,3.45,0.44,10,6,white
27,7,0.28,2.34,8.7,0.051,154,141,hig,3.38,0.53,10.5,6,white
28,7.4,0.27,2.88,1.1,0.047,133,132,lo,3.19,0.49,11.6,6,white
29,7.2,0.32,2.52,2,0.033,183,114,lo,3.1,0.71,12.3,7,white
30,8.5,0.24,2.34,10.4,0.044,140,142,very hig,3.2,0.53,,6,white
31,8.3,0.14,2.04,1.1,0.042,129,47,mediu,3.47,0.4,10.2,6,white
32,7.4,0.25,2.16,2.05,0.05,155,100,lo,3.19,0.44,10.8,6,white
33,6.2,0.12,2.04,1.5,0.045,165,117,mediu,3.42,0.51,,6,white
34,5.8,0.27,1,14.95,0.044,122,179,hig,3.37,0.37,10.2,5,white
35,7.3,0.28,2.15,1.7,0.08,119,123,lo,3.19,0.42,12.8,5,white
36,6.5,0.39,1.15,5.4,0.051,129,149,mediu,3.24,0.35,10,5,white
37,7,0.33,1.92,1.2,0.053,158,138,lo,3.13,0.28,11.2,6,white
38,7.3,0.24,1.95,17.95,0.057,137,149,very hig,3.21,0.36,8.6,5,white
39,7.3,0.24,1.95,17.95,0.057,143,149,very hig,3.21,0.36,8.6,5,white
40,6.7,0.23,2.34,2.5,0.172,181,158,mediu,3.11,0.36,9.4,6,white
41,6.7,0.24,2.34,2.9,0.173,179,157,mediu,3.1,0.34,9.4,6,white
42,7,0.31,1.56,7.4,0.069,150,160,hig,3.13,0.46,,6,white
43,6.6,0.24,1.62,1.4,0.057,149,152,,3.22,0.56,9.5,6,white
44,6.7,0.23,1.56,1.4,0.06,157,154,mediu,3.24,0.56,9.5,6,white
45,7.4,0.18,2.17,1.4,0.058,170,167,,3.16,0.53,10,7,white
46,6.2,0.45,1.04,4.4,0.063,143,206,mediu,3.27,0.52,9.8,4,white
47,6.2,0.46,1.25,4.4,0.066,164,207,mediu,3.25,0.52,9.8,5,white
48,7,0.31,1.56,7.4,0.069,146,160,hig,3.13,0.46,9.8,6,white
49,6.9,0.19,1.75,5,0.067,132,150,hig,3.36,0.48,9.8,5,white
50,7.2,0.19,1.86,1.6,0.062,147,173,lo,3.35,0.44,11.7,6,white
51,6.6,0.25,2.03,1.1,0.068,181,124,lo,3.34,0.58,11,7,white
52,6.2,0.16,2.31,1.1,0.057,163,82,lo,3.32,0.46,,7,white
53,6.4,0.18,2.1,1,0.045,161,108,lo,3.31,0.35,10.9,6,white
54,6.8,0.2,3.54,0.9,0.147,158,132,mediu,3.05,0.38,9.1,6,white
55,6.9,0.25,2.1,1.3,0.039,153,191,lo,3.13,0.52,11,6,white
56,7.2,0.21,2.04,11.9,0.043,159,213,hig,3.09,0.5,9.6,6,white
57,6,0.19,1.56,12.4,0.048,170,147,very hig,3.3,0.36,8.9,6,white
58,6.6,0.38,0.9,4.6,0.044,143,78,mediu,3.11,0.38,10.2,6,white
59,7.4,0.2,2.16,1.2,0.038,162,111,,3.36,0.34,9.9,6,white
60,6.8,0.22,1.44,4.9,0.092,150,123,hig,3.03,0.46,,6,white
61,6,0.19,1.56,12.4,0.048,174,147,very hig,3.3,0.36,8.9,6,white
62,7,0.47,0.35,1.1,0.035,,151,lo,3.02,0.34,,5,white
63,6.6,0.38,0.9,4.6,0.044,139,78,mediu,3.11,0.38,10.2,6,white
64,7.2,0.24,1.62,1.4,0.038,153,122,mediu,3.15,0.46,10.3,6,white
65,6.2,0.35,0.15,1.2,0.064,131,120,mediu,3.22,0.54,9.1,5,white
66,6.4,0.26,1.68,6.4,0.04,161,124,,3.22,0.49,12.6,7,white
67,6.7,0.25,0.65,1.2,0.041,177,174,lo,3.14,0.42,9.8,5,white
68,6.7,0.23,2.48,2.1,0.046,188,96,mediu,3.33,0.64,10.7,8,white
69,7.4,0.24,1.45,10.1,0.05,119,105,hig,3.13,0.35,9.5,5,white
70,6.2,0.27,2.58,7.8,0.056,172,244,,3.1,0.51,9,6,white
71,6.8,0.3,1.15,4.6,0.061,152.5,238.5,hig,3.32,0.6,9.5,5,white
72,6,0.27,1.4,4.8,0.063,129,201,hig,3.69,0.71,10,5,white
73,8.6,0.23,2.76,1,0.054,127,72,mediu,2.95,0.49,9.1,6,white
74,6.7,0.23,2.48,2.1,0.046,188,96,mediu,3.33,0.64,10.7,8,white
75,7.4,0.24,1.45,10.1,0.05,123,105,hig,3.13,0.35,9.5,5,white
76,7.1,0.18,2.52,1.4,0.043,171,87,lo,3.26,0.37,12.7,7,white
77,7,0.32,2.38,1.3,0.042,158,69,lo,3.31,0.65,12,7,white
78,7.4,0.18,1.5,8.8,0.064,,103,hig,2.94,0.56,9.3,5,white
79,6.7,0.54,1.4,5.4,0.06,117,105,hig,3.27,0.37,9,5,white
80,6.8,0.22,1.86,1.4,0.053,156,114,mediu,3.39,0.77,10.6,6,white
81,7.1,0.2,2.04,16,0.05,169,166,very hig,3.21,0.6,9.2,6,white
82,7.1,0.34,1,6.1,0.063,147,164,mediu,3.17,0.42,10,5,white
83,7.3,0.22,1.8,8.2,0.047,162,207,,3.33,0.46,9.5,6,white
84,7.1,0.43,3.05,11.8,0.045,160,155,,3.11,0.45,,5,white
85,7.1,0.44,3.72,11.8,0.044,168,152,,3.12,0.46,,6,white
86,7.2,0.39,3.78,11,0.044,171,156,very hig,3.09,0.44,8.7,6,white
87,6.8,0.25,1.86,13.3,0.05,187,202,very hig,3.22,0.48,9.7,6,
88,7.1,0.43,3.05,11.8,0.045,158,155,very hig,3.11,0.45,8.7,5,white
89,7.1,0.44,3.72,11.8,0.044,170,152,very hig,3.12,0.46,8.7,6,white
90,7.2,0.39,3.78,11,0.044,173,156,very hig,3.09,0.44,8.7,6,white
91,6.1,0.27,2.15,7.5,0.049,163,243,hig,3.12,0.47,9,5,white
92,6.9,0.24,2.31,1.7,0.035,189,136,lo,3.26,0.4,12.6,7,white
93,6.9,0.21,2.31,1.8,0.034,190,136,lo,3.25,0.41,12.6,7,white
94,7.5,0.17,2.24,1.7,0.04,191,148,lo,3.21,0.44,11.5,7,white
95,7.1,0.26,1.74,12.4,0.044,180,240,hig,3.04,0.42,9.2,6,white
96,6,0.34,3.96,15.9,0.046,144,164,very hig,3.14,0.5,8.8,6,white
97,8.6,0.265,2.52,1.2,0.034,151,80,lo,2.95,0.36,11.4,7,white
98,9.8,0.36,1.84,10.5,0.038,82,83,hig,2.89,0.3,,4,white
99,6,0.34,3.96,15.9,0.046,144,164,very hig,3.14,0.5,8.8,6,white
100,7.4,0.25,1.85,13.5,0.06,152,192,very hig,3,0.44,9.1,5,white
101,7.1,0.12,1.6,9.6,0.054,162,162,hig,3.4,0.41,9.4,5,white
102,6,0.21,1.2,12.1,0.05,153,164,very hig,3.34,0.39,9.4,5,white
103,7.5,0.305,2,18.9,0.059,142,170,very hig,2.99,0.46,9,5,white
104,7.4,0.25,1.85,13.5,0.06,154,192,very hig,3,0.44,9.1,5,white
105,7.3,0.13,1.92,14.4,0.051,152,109,,3.2,0.35,9.2,6,white
106,7.1,0.12,1.6,9.6,0.054,166,162,hig,3.4,0.41,9.4,5,white
107,7.1,0.23,2.1,16.5,0.04,180,171,very hig,3.16,0.59,9.1,6,white
108,7.1,0.23,2.1,16.5,0.04,180,171,,3.16,0.59,9.1,6,white
109,6.9,0.33,1.4,1.3,0.051,139,187,mediu,3.27,0.6,10.3,5,white
110,6.5,0.17,3.24,8.5,0.082,178,163,hig,2.89,0.39,,6,white
111,7.2,0.27,2.3,18.75,0.052,141,255,very hig,3.04,0.52,8.9,5,white
112,7.2,0.31,2.5,13.3,0.056,170,195,very hig,3.01,0.47,9.2,5,white
113,6.7,0.41,1.7,9.2,0.049,131,150,hig,3.22,0.51,9.1,5,white
114,6.7,0.41,1.7,9.2,0.049,131,150,hig,3.22,0.51,9.1,5,white
115,5.5,0.485,0,1.5,0.065,92,103,mediu,3.63,0.4,9.7,4,white
116,6,0.31,1.44,3.3,0.041,149,143,lo,3.31,0.44,11.3,6,white
117,7,0.14,2.4,1.7,0.035,136,85,lo,3.19,0.42,11.8,6,white
118,7.2,0.31,2.5,13.3,0.056,166,195,very hig,3.01,0.47,9.2,5,white
119,7.3,0.32,2.4,13.3,0.06,,196,very hig,3.04,0.5,9.2,5,white
120,5.9,0.36,0.2,5.7,0.046,,87,mediu,3.22,0.51,10.2,5,white
121,7.8,0.24,1.6,12.2,0.054,142,138,very hig,3.01,0.54,8.8,5,white
122,7.4,0.16,1.55,6.85,0.059,127,131,hig,3.29,0.34,9.7,5,white
123,6.9,0.19,1.68,5,0.058,134,146,hig,3.29,0.36,9.1,6,white
124,6.4,0.13,2.82,1.6,0.092,152,158,mediu,3.21,0.36,9.8,6,white
125,6.7,0.19,2.16,1.1,0.026,185,143,lo,3.27,0.48,11,6,white
126,7.4,0.39,1.15,7,0.033,131,126,mediu,3.14,0.42,10.5,5,white
127,6.5,0.24,2.24,7.6,0.038,188,203,hig,3.45,0.54,,7,white
128,6.1,0.3,3.92,2.8,0.044,187,179,mediu,3.3,0.57,10.9,7,white
129,6.1,0.3,3.36,2.7,0.046,168,184,mediu,3.31,0.57,10.9,6,white
130,5.7,0.26,1.25,10.4,0.02,105,57,mediu,3.39,0.37,10.6,5,white
131,6.5,0.24,2.24,7.6,0.038,186,203,hig,3.45,0.54,9.7,7,white
132,6.5,0.425,2,13.1,0.038,163,241,very hig,3.23,0.57,9,5,white
133,6.6,0.24,1.35,15.8,0.035,146,188,very hig,,0.51,9.2,5,white
134,6.8,0.27,1.1,8.1,0.034,155,203,hig,3.19,0.52,8.9,5,white
135,6.7,0.27,1.55,15.7,0.036,148,179,very hig,3.26,0.56,9.6,5,white
136,8.2,0.23,2.4,1.2,0.027,156,121,lo,3.12,0.38,10.7,6,white
137,7.1,0.37,3.35,10.5,0.045,149,155,very hig,3.16,0.44,8.7,5,white
138,6.8,0.19,2.52,1.9,0.035,174,96,lo,3.15,0.54,10.8,7,white
139,8.1,0.28,2.34,1.9,0.029,140,79,lo,3.23,0.52,11.8,6,white
140,6.3,0.31,1.7,2.2,0.045,120,77,mediu,,0.43,10.2,5,white
141,7.1,0.37,3.35,10.5,0.045,145,155,very hig,3.16,0.44,8.7,5,white
142,7.9,0.21,2.4,1.2,0.039,162,107,lo,3.21,0.54,10.8,6,white
143,8.5,0.21,2.46,4.3,0.036,142,99,mediu,3.18,0.53,9.7,6,white
144,8.1,0.2,2.4,2,0.037,137,87,lo,3.12,0.54,11.2,6,white
145,6.3,0.255,2.22,1.1,0.04,151,114,lo,3,0.39,10.9,6,white
146,5.6,0.16,1.62,1.4,0.044,173,168,lo,3.28,0.37,10.1,6,white
147,6.4,0.595,0.56,5.2,0.058,95,97,hig,3.38,0.36,9,4,white
148,6.3,0.34,2.31,4.6,0.034,161,80,lo,3.38,0.58,12,7,white
149,6.9,0.25,1.8,4.1,0.054,147,116,mediu,2.99,0.38,9.4,6,white
150,7.9,0.22,2.66,8,0.043,184,152,mediu,3.12,0.32,11.5,7,white
151,7.6,0.18,2.76,10.2,0.055,180,135,hig,3.14,0.43,9.9,6,white
152,6.9,0.25,1.8,4.1,0.054,143,116,mediu,2.99,0.38,9.4,6,white
153,7.2,0.18,2.05,1.2,0.048,143,97,,3.14,0.45,10.4,5,white
154,8.2,0.23,2.4,7.5,0.049,128,76,hig,3.06,0.84,9.7,6,white
155,7.4,0.24,2.52,14,0.066,168,198,very hig,2.89,0.42,,6,white
156,7.4,0.24,2.52,14,0.066,166,198,very hig,2.89,0.42,8.9,6,white
157,6.1,0.32,1.68,1.5,0.036,180,124,lo,3.29,0.42,12.4,7,white
158,5.2,0.44,0.32,1.4,0.036,203,119,lo,3.36,0.33,12.1,8,white
159,5.2,0.44,0.32,1.4,0.036,193,119,lo,3.36,0.33,12.1,8,white
160,6.1,0.32,1.68,1.5,0.036,176,124,lo,3.29,0.42,12.4,7,white
161,6.4,0.22,2.8,14.5,0.055,123,159,very hig,2.98,0.4,9.1,5,white
162,6.3,0.36,1.5,4.8,0.049,122,85,,3.28,0.39,10.6,5,
163,7.4,0.24,2.52,14,0.066,168,198,very hig,2.89,0.42,8.9,6,white
164,6.7,0.24,1.75,13.1,0.05,164,205,very hig,3.15,0.5,9.5,5,white
165,7,0.23,1.8,13,0.051,166,177,,3.16,0.49,9.8,5,
166,8.4,0.27,2.76,8.7,0.048,159,197,very hig,3.14,0.59,,6,white
167,6.7,0.46,1.26,2.4,0.034,165,98,,3.08,0.44,12.6,7,white
168,7.5,0.29,1.55,8.95,0.055,112,151,hig,3.08,0.54,9.3,5,white
169,9.8,0.42,2.4,9.85,0.034,99,110,hig,2.87,0.29,10,5,white
170,7.1,0.3,2.76,1.5,0.066,151,133,lo,3.12,0.54,12.7,6,white
171,7.9,0.19,2.7,1.5,0.045,139,96,lo,3.13,0.39,11,6,white
172,7.6,0.48,1.48,0.8,0.037,82,100,,3.03,0.39,11.4,4,white
173,6.3,0.22,3.01,4.55,0.038,173,130,lo,3.35,0.33,11.5,7,white
174,7.5,0.27,1.55,17.7,0.051,137,173,very hig,3.09,0.64,10.2,5,white
175,6.9,0.23,2.4,7.5,0.04,166,151,mediu,3.11,0.27,11.4,6,white
176,7.2,0.32,1.88,5.1,0.044,101,65,lo,3.03,0.41,12.6,4,white
177,5.9,0.23,1.5,12.9,0.054,,170,very hig,3.28,0.39,9.4,5,white
178,6,0.67,0.28,1.2,0.06,87,108,mediu,3.11,0.35,8.7,4,white
179,6.4,0.25,1.92,5.5,0.049,161,176,hig,3.19,0.68,9.2,6,white
180,6.4,0.33,1.86,5.5,0.048,162,173,hig,3.19,0.66,9.3,6,white
181,7.1,0.34,0.75,1.2,0.053,161,183,mediu,3.09,0.43,,5,white
182,6.8,0.28,2,22,0.048,150,167,very hig,2.93,0.5,8.7,5,white
183,6.9,0.27,2.4,14,0.05,180,227,very hig,3.18,0.58,9.6,6,white
184,6.8,0.26,2.8,11.9,0.043,164,226,,3.02,0.63,9.3,5,white
185,6.8,0.29,2.8,11.9,0.043,168,230,very hig,3.02,0.63,9.3,5,white
186,6.7,0.24,2.46,9.4,0.04,171,166,hig,3.12,0.61,9.9,6,white
187,5.9,0.3,1.15,4.2,0.038,138,119,mediu,3.15,0.5,11,5,white
188,6.8,0.53,2.8,3.8,0.034,190,109,,3.26,0.57,12.7,8,white
189,6.5,0.28,1.12,8.5,0.047,134,210,hig,3.09,0.54,8.9,4,white
190,6.6,0.28,1.68,8.5,0.052,173,211,hig,3.09,0.55,8.9,6,white
191,6.8,0.28,2,22,0.048,152,167,very hig,2.93,0.5,8.7,5,white
192,6.8,0.28,2.16,8,0.045,148,123,mediu,3.02,0.37,11.4,6,white
193,6.6,0.15,1.7,5.1,0.055,134,125,mediu,3.36,0.42,9.6,5,white
194,6.4,0.29,2.2,3.6,0.2,173,181,,3.02,0.41,9.1,5,white
195,6.4,0.3,2.7,3.5,0.197,198,180,mediu,3.02,0.39,9.1,6,white
196,6.4,0.29,2.2,3.6,0.197,181,183,mediu,3.01,0.38,9.1,5,white
197,6.8,0.26,1.2,7.8,0.052,152,214,hig,3.13,0.47,8.9,5,white
198,7.1,0.32,1.2,13.1,0.05,152,204,very hig,3.1,0.49,8.8,5,white
199,6.8,0.26,1.2,7.8,0.052,154,214,hig,3.13,0.47,8.9,5,white
200,6.8,0.27,1.3,16.1,0.049,149,196,very hig,3.15,0.5,9.3,5,
201,7.1,0.32,1.2,13.1,0.05,150,204,very hig,3.1,0.49,8.8,5,white
202,6.9,0.54,1.6,13.2,0.05,151,236,very hig,3.2,0.5,9.6,5,white
203,6.8,0.26,2.04,13.9,0.034,161,134,hig,3.33,0.53,12,6,white
204,5.8,0.28,1.4,2.3,0.053,120,114,mediu,3.28,0.5,,4,white
205,6.4,0.21,2.5,11.6,0.042,143,153,very hig,3.15,0.43,8.8,5,white
206,7,0.16,1.6,8.3,0.045,140,126,hig,3.21,0.34,9.2,5,white
207,10.2,0.44,3.52,6.2,0.049,94,124,hig,2.99,0.51,9.9,4,white
208,6.8,0.57,1.45,2.2,0.04,111,77,mediu,3.32,0.74,,5,white
209,6.1,0.4,1.86,0.9,0.048,141,170,,3.22,0.77,,6,white
210,5.6,0.245,1.25,9.7,0.032,112,68,mediu,3.31,0.34,,5,white
211,6.8,0.18,2.66,1.4,0.038,173,111,,3.32,0.59,,7,white
212,7,0.16,1.6,8.3,0.045,132,126,hig,3.21,0.34,9.2,5,white
213,6.7,0.13,1.74,5.3,0.051,,122,mediu,3.44,0.37,,6,white
214,6.2,0.25,1.75,1.4,0.03,175,105,lo,3.3,0.44,11.1,7,white
215,5.8,0.26,1.2,9.2,0.044,153,152,hig,3.31,0.38,9.4,5,white
216,7.5,0.27,1.8,7,0.036,145,164,mediu,3.03,0.33,11,5,white
217,5.8,0.26,1.2,9.2,0.044,153,152,hig,3.31,0.38,9.4,5,white
218,5.7,0.28,1.2,17.5,0.044,160,167,very hig,3.31,0.44,9.4,5,white
219,7.5,0.23,1.8,7,0.036,141,161,mediu,3.04,0.32,11,5,white
220,7.5,0.27,1.8,7,0.036,147,164,,3.03,0.33,11,5,white
221,7.2,0.685,1.26,9.5,0.07,149,172,very hig,3,0.55,9.1,6,white
222,6.2,0.25,1.75,1.4,0.03,177,105,lo,3.3,0.44,11.1,7,white
223,6.5,0.19,1.8,0.8,0.043,157,144,mediu,3.42,0.39,9.1,6,white
224,6.3,0.495,1.32,1.8,0.046,155,140,mediu,3.39,0.54,10.4,6,white
225,7.1,0.24,2.05,17.8,0.046,137,145,very hig,3.32,0.39,8.7,5,white
226,6.4,0.17,1.92,2.4,0.048,165,200,mediu,3.5,0.5,9.7,6,white
227,7.1,0.25,1.92,10.3,0.041,184,272,,3.17,0.52,9.1,6,white
228,6.4,0.17,1.92,2.4,0.048,165,200,mediu,3.5,0.5,9.7,6,white
229,7.1,0.24,2.05,17.8,0.046,139,145,very hig,3.32,0.39,8.7,5,white
230,6.8,0.64,0.32,9.7,0.062,106,142,very hig,3.37,0.46,8.9,4,white
231,8.3,0.28,2.4,7.8,0.041,154,194,very hig,3.34,0.51,,6,white
232,8.2,0.27,2.34,7.8,0.039,167,208,very hig,3.31,0.51,9.5,6,white
233,7.2,0.23,2.28,14.3,0.058,,194,very hig,3.09,0.44,9,6,white
234,7.2,0.23,2.28,14.3,0.058,173,194,very hig,3.09,0.44,9,6,white
235,7.2,0.23,2.28,14.3,0.058,173,194,very hig,3.09,0.44,9,6,white
236,7.2,0.23,2.28,14.3,0.058,175,194,very hig,3.09,0.44,9,6,white
237,6.8,0.52,1.92,13.2,0.044,176,221,very hig,3.27,0.5,9.6,6,white
238,7,0.26,4.13,1.4,0.037,180,120,lo,3.34,0.41,11.1,7,white
239,6.2,0.25,1.26,15.55,0.039,150,159,,3.48,0.64,9.6,6,white
240,7.3,0.32,1.15,13.7,0.05,153,197,very hig,3.2,0.46,8.7,5,white
241,7.7,0.31,1.3,7.8,0.031,123,90,mediu,3.13,0.5,10.4,5,white
242,7.1,0.21,2.59,2.4,0.026,163,100,lo,3.15,0.38,11.4,7,white
243,6.8,0.24,2.04,2.7,0.047,186.5,218.5,,3.3,0.58,9.7,6,white
244,6.9,0.4,2.8,11.2,0.043,138,142,very hig,3.14,0.46,8.7,5,white
245,6.1,0.18,2.16,2,0.038,140,249.5,lo,3.37,0.79,11.3,6,white
246,6.8,0.21,1.89,2.1,0.03,160,139,lo,,0.61,12.6,7,white
247,5.8,0.2,1.89,1.4,0.031,152,77,lo,3.25,0.36,10.9,7,white
248,5.6,0.19,1.82,1.4,0.03,154,76,lo,3.25,0.37,10.9,7,white
249,6.1,0.41,0.7,10.4,0.037,122,119,hig,3.38,0.45,10,5,white
250,5.9,0.21,1.12,4.6,0.053,122,199,hig,3.72,0.7,10,4,white
251,8.5,0.26,0.63,16.2,0.074,101,197,,3.02,0.5,9.8,3,white
252,6.9,0.4,2.8,11.2,0.043,140,142,very hig,3.14,0.46,8.7,5,white
253,5.8,0.24,1.32,3.5,0.029,63,109,lo,3.53,0.43,11.7,3,white
254,5.8,0.24,2.34,1.5,0.054,159,158,mediu,3.21,0.52,9.3,6,white
255,6.7,0.26,3.12,1.1,0.04,203,147,mediu,3.32,0.58,9.6,8,white
256,6.3,0.35,2.1,5.7,0.035,152,97,mediu,3.27,0.41,11,7,white
257,6.3,0.35,2.1,5.7,0.035,144,97,,3.27,0.41,11,7,
258,6.4,0.23,2.34,1.8,0.032,141,118,,3.32,0.5,11.8,6,white
259,5.8,0.36,1.52,0.9,0.037,85,75,lo,3.28,0.34,11.4,4,white
260,6.9,0.115,2.1,5.4,0.048,160,108,mediu,3.32,0.42,,6,white
261,6.9,0.29,2,19.45,0.043,134,156,,2.93,0.47,,5,white
262,6.9,0.28,2,8.2,0.036,119,95,mediu,3.17,0.33,10.2,5,white
263,7.2,0.29,2.4,13.6,0.045,190,231,very hig,3.08,0.59,9.6,6,white
264,6.2,0.24,2.1,1.2,0.038,,167,lo,3.1,0.48,10.6,6,white
265,6.9,0.29,2,19.45,0.043,132,156,very hig,2.93,0.47,8.9,5,white
266,6.9,0.32,1.56,8.3,0.053,154,180,,3.25,0.51,9.2,6,white
267,5.3,0.58,0.35,6.9,0.043,134,149,mediu,3.34,0.57,9.7,5,white
268,5.3,0.585,0.42,7.1,0.044,152,145,mediu,3.34,0.57,9.7,6,white
269,5.4,0.59,0.42,7,0.045,156,147,mediu,3.34,0.57,9.7,6,white
270,6.9,0.32,1.56,8.3,0.053,152,180,hig,3.25,0.51,9.2,6,white
271,5.2,0.6,0.35,7,0.044,135,147,mediu,3.33,0.58,9.7,5,white
272,5.8,0.25,1.3,13.1,0.051,142,148,very hig,3.29,0.38,,5,white
273,6.6,0.58,1.5,5.1,0.057,132,123,hig,3.24,0.38,9,5,white
274,7,0.29,2.7,10.7,0.046,161,234,hig,3.05,0.61,9.5,5,white
275,6.6,0.19,2.46,8.9,0.046,171,169,hig,3.14,0.57,9.8,6,white
276,6.7,0.2,2.46,9.1,0.044,170,166,,3.14,0.58,9.8,6,white
277,7.7,0.26,2,1.1,0.042,107,60,lo,2.89,0.5,10.6,5,white
278,6.8,0.32,1.36,1.2,0.044,90,67,lo,3.05,0.47,10.6,4,white
279,7,0.3,3.43,4.7,0.036,159,105,lo,3.26,0.68,12.4,7,white
280,7,0.24,2.88,2.8,0.034,186,112,lo,3.19,0.38,12.6,8,white
281,6.1,0.31,4.64,5,0.039,,114,lo,3.3,0.6,12.3,8,white
282,6.8,0.44,1.48,5.1,0.047,126,201,mediu,3.08,0.65,10.5,4,white
283,6.7,0.34,1.5,15.6,0.054,149,196,very hig,3.19,0.49,9.3,5,white
284,7.1,0.35,1.2,15.4,0.055,146,198,very hig,3.12,0.49,8.8,5,
285,7.3,0.32,1.25,7.2,0.056,147,180,hig,3.08,0.47,8.8,5,white
286,6.5,0.28,1.98,15.7,0.053,167,190,very hig,3.22,0.51,9.7,6,white
287,7.2,0.23,2.73,14.2,0.058,191,192,very hig,2.98,0.48,,7,white
288,7.2,0.23,2.73,14.2,0.058,191,192,very hig,2.98,0.48,9,7,white
289,7.2,0.23,2.73,14.2,0.058,189,192,,2.98,0.48,9,7,white
290,7.2,0.23,2.73,14.2,0.058,187,192,very hig,2.98,0.48,9,7,white
291,5.9,0.15,1.86,5.8,0.041,173,155,mediu,3.52,0.46,10.5,6,white
292,7.4,0.28,2.1,19.8,0.066,155,195,very hig,2.96,0.44,9.1,5,white
293,6.2,0.28,1.54,7.3,0.041,166,157,hig,3.44,0.64,,7,white
294,9.1,0.59,1.14,1.6,0.066,90,182,hig,3.23,0.38,8.5,3,white
295,6.3,0.33,1.62,1.2,0.046,154,175,mediu,3.37,0.54,9.4,6,white
296,8.3,0.39,3.5,10.6,0.045,127,169,,3.09,0.57,9.4,5,white
297,7.2,0.19,3.22,3.8,0.041,218,187,mediu,3.19,0.6,,7,white
298,7.5,0.17,2.64,11.3,0.046,187,146,very hig,3.17,0.45,10,6,white
299,6.7,0.17,3,2.1,0.043,145,122,lo,3.15,0.45,10.3,6,white
300,6.1,0.41,0,1.6,0.063,,87,lo,3.27,0.67,10.8,6,white
301,8.3,0.2,2.1,0.9,0.05,134,74,lo,3.13,0.38,10.5,6,white
302,6.1,0.41,0,1.6,0.063,152,87,lo,3.27,0.67,10.8,6,white
303,6,0.29,1.26,1.3,0.055,160,168,lo,3.32,0.43,11.1,6,white
304,7.3,0.41,1.44,6.8,0.057,159,163,hig,3.2,0.41,9.9,6,white
305,7.3,0.41,1.44,6.8,0.057,161,163,hig,3.2,0.41,9.9,6,white
306,7.2,0.43,1.2,6.7,0.058,142,163,hig,3.2,0.41,9.9,5,white
307,7.3,0.4,1.44,6.7,0.058,163,166,hig,3.2,0.41,9.9,6,white
308,6.2,0.33,1.89,4.9,0.036,170,134,mediu,3.2,0.42,10.4,7,white
309,6.2,0.31,1.56,4.8,0.037,162,148,mediu,3.21,0.41,10.4,6,white
310,6.1,0.36,1.89,2.1,0.035,154,100,lo,3.4,0.71,11.5,7,white
311,5,0.55,1.12,8.3,0.032,197,164,lo,3.53,0.51,12.5,8,white
312,7.8,0.25,2.46,3.7,0.042,163,149,hig,3.36,0.45,10,6,white
